State,Year,Name,Active,Industry,Number of Lobbyists
ALABAMA,2006,1-800 CONTACTS,yes,HEALTH SERVICES,7
ALABAMA,2006,"A&M UNIVERSITY, ALABAMA",no,,2
ALABAMA,2006,AAA - ALABAMA MOTORISTS ASSOCIATION,no,INSURANCE,1
ALABAMA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,3
ALABAMA,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,3
ALABAMA,2006,"ACADEMY OF OPHTHALMOLOGY, ALABAMA",no,,1
ALABAMA,2006,"ACC CAPITAL HOLDINGS, INC",no,,1
ALABAMA,2006,ACHIEVEMENT BUILDERS CORPORATION,no,,1
ALABAMA,2006,"ACTION RESOURCES, INC",no,,1
ALABAMA,2006,ADAMS & ASSOCIATES LLC,yes,,2
ALABAMA,2006,"ADMINISTRATIVE OFFICE OF COURTS, ALABAMA",no,,1
ALABAMA,2006,ADTRAN,no,,1
ALABAMA,2006,"ADVANCED TECHNOLOGY SYSTEMS, INC",no,,1
ALABAMA,2006,ADVANTAGE CAPITAL MANAGEMENT CORP,yes,SECURITIES & INVESTMENT,1
ALABAMA,2006,"AFFINITY HEALTH SYSTEMS, LLC",no,,1
ALABAMA,2006,"AGRICULTURE & INDUSTRIES, ALABAMA DEPARTMENT OF",no,,3
ALABAMA,2006,AIDS ALABAMA,no,WELFARE/SOCIAL WORK,1
ALABAMA,2006,AIR MED INTERNATIONAL,no,,2
ALABAMA,2006,ALABAMA AFL-CIO,yes,GENERAL TRADE UNIONS,2
ALABAMA,2006,ALABAMA ALARM ASSOCIATION,no,BUSINESS SERVICES,1
ALABAMA,2006,ALABAMA ALLIANCE,no,,1
ALABAMA,2006,ALABAMA APPLESEED CENTER FOR LAW & JUSTICE,no,OTHER/SINGLE ISSUE GROUPS,1
ALABAMA,2006,ALABAMA ARISE,no,OTHER/SINGLE ISSUE GROUPS,3
ALABAMA,2006,ALABAMA ASSOCIATION OF CHIEFS OF POLICE,no,,1
ALABAMA,2006,ALABAMA ASSOCIATION OF REALTORS,yes,REAL ESTATE,3
ALABAMA,2006,ALABAMA ASSOCIATION OF SCHOOL BOARDS,yes,CIVIL SERVANTS/PUBLIC OFFICIALS,5
ALABAMA,2006,ALABAMA BANKERS ASSOCIATION,yes,COMMERCIAL BANKS,3
ALABAMA,2006,ALABAMA BEVERAGE ASSOCIATION,yes,FOOD & BEVERAGE,3
ALABAMA,2006,ALABAMA CATTLEMENS ASSOCIATION,yes,LIVESTOCK,1
ALABAMA,2006,ALABAMA CHRISTIAN EDUCATION ASSOCIATION,no,EDUCATION,1
ALABAMA,2006,ALABAMA COAL ASSOCIATION,yes,MINING,1
ALABAMA,2006,ALABAMA CONCRETE INDUSTRIES ASSOCIATION,yes,BUILDING MATERIALS & EQUIPMENT,2
ALABAMA,2006,ALABAMA DEMOCRATIC PARTY,yes,PARTY COMMITTEES,1
ALABAMA,2006,ALABAMA DISTRICT ATTORNEYS ASSOCIATION,no,,2
ALABAMA,2006,ALABAMA EDUCATION ASSOCIATION,yes,PUBLIC SECTOR UNIONS,9
ALABAMA,2006,ALABAMA FARMERS FEDERATION,yes,AGRICULTURAL SERVICES & PRODUCTS,5
ALABAMA,2006,ALABAMA FINANCIAL SERVICES ASSOCIATION,yes,MISCELLANEOUS FINANCE,2
ALABAMA,2006,ALABAMA HIGH SCHOOL ATHLETIC ASSOCIATION,no,EDUCATION,1
ALABAMA,2006,ALABAMA INDEPENDENT AUTO DEALERS ASSOCIATION,yes,AUTOMOTIVE,1
ALABAMA,2006,ALABAMA INDEPENDENT INSURANCE AGENTS,yes,INSURANCE,1
ALABAMA,2006,ALABAMA INDUSTRY & MANUFACTURERS,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,4
ALABAMA,2006,ALABAMA INTERIOR DESIGN COALITION,no,MISCELLANEOUS SERVICES,1
ALABAMA,2006,ALABAMA LEAGUE OF MUNICIPALITIES,no,CIVIL SERVANTS/PUBLIC OFFICIALS,5
ALABAMA,2006,ALABAMA NURSING HOME ASSOCIATION,yes,HOSPITALS & NURSING HOMES,6
ALABAMA,2006,ALABAMA PAWNBROKERS ASSOCIATION,yes,PAYDAY/TITLE LOANS,1
ALABAMA,2006,ALABAMA PETROLEUM COUNCIL,yes,OIL & GAS,1
ALABAMA,2006,ALABAMA PODIATRIC MEDICAL ASSOCIATION,yes,,1
ALABAMA,2006,ALABAMA PRESS ASSOCIATION,no,PRINTING & PUBLISHING,3
ALABAMA,2006,ALABAMA RAILWAY ASSOCIATION,no,RAILROADS,1
ALABAMA,2006,ALABAMA SOCIETY OF CPAS,yes,ACCOUNTANTS,1
ALABAMA,2006,ALABAMA STATE EMPLOYEES ASSOCIATION,yes,PUBLIC SECTOR UNIONS,4
ALABAMA,2006,ALABAMA STATE UNIVERSITY,no,EDUCATION,1
ALABAMA,2006,ALABAMA SUPERCOMPUTER AUTHORITY,no,COMPUTER EQUIPMENT & SERVICES,2
ALABAMA,2006,ALABAMA TOURISM PARTNERSHIP,no,,3
ALABAMA,2006,ALABAMA TRIAL LAWYERS ASSOCIATION,no,,4
ALABAMA,2006,"ALABAMA WATCH, ALABAMA CONSUMER NETWORK",no,,1
ALABAMA,2006,ALABAMA WILDLIFE FEDERATION,yes,PRO-ENVIRONMENTAL POLICY,2
ALABAMA,2006,"ALATAX, INC",no,,1
ALABAMA,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
ALABAMA,2006,ALLTEL COMMUNICATIONS,no,,1
ALABAMA,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,1
ALABAMA,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF ALABAMA (ACECA / ALABAMA),no,,2
ALABAMA,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,2
ALABAMA,2006,AMERICAN DIABETES ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
ALABAMA,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
ALABAMA,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
ALABAMA,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
ALABAMA,2006,AMERICAN INSTITUTE OF ARCHITECTS ALABAMA,yes,CONSTRUCTION SERVICES,1
ALABAMA,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,2
ALABAMA,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",7
ALABAMA,2006,AMERICAN MEMORIAL LIFE INSURANCE COMPANY,no,,3
ALABAMA,2006,AMERICAN PHARMACY COOPERATIVE,yes,RETAIL SALES,1
ALABAMA,2006,AMERICAN SUBCONTRACTORS UNIDENTIFIED,yes,GENERAL CONTRACTORS,1
ALABAMA,2006,"AMERICAN SWEEPING, INC",no,,1
ALABAMA,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,1
ALABAMA,2006,AMSOUTH BANK,yes,COMMERCIAL BANKS,2
ALABAMA,2006,AMY HERRING & ASSOCIATES,yes,LAWYERS & LOBBYISTS,1
ALABAMA,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
ALABAMA,2006,ANDRE L REID & ASSOCIATES,yes,,2
ALABAMA,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",1
ALABAMA,2006,ARAMARK CORP,yes,MISCELLANEOUS SERVICES,1
ALABAMA,2006,"ARONOV REALTY MANAGEMENT, INC",no,,1
ALABAMA,2006,ASSOCIATED BUILDERS & CONTRACTORS OF ALABAMA,yes,GENERAL CONTRACTORS,1
ALABAMA,2006,ASSOCIATED GENERAL CONTRACTORS OF AMERICA INC,no,,1
ALABAMA,2006,ASSOCIATION OF ALABAMA CAMPS,no,LODGING & TOURISM,1
ALABAMA,2006,ASSOCIATION OF COUNTY COMMISSIONS OF ALABAMA,no,,3
ALABAMA,2006,ASSURANT,yes,INSURANCE,1
ALABAMA,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
ALABAMA,2006,AT&T,yes,TELECOM SERVICES & EQUIPMENT,12
ALABAMA,2006,ATHENS STATE UNIVERSITY,no,,3
ALABAMA,2006,"ATTORNEYS LIABILITY ASSURANCE SOCIETY, INC",no,,1
ALABAMA,2006,AUBURN UNIVERSITY,yes,,1
ALABAMA,2006,AUBURN UNIVERSITY AT MONTGOMERY,no,,1
ALABAMA,2006,"AUDITORS OFFICE, ALABAMA STATE",no,,2
ALABAMA,2006,"AUSTIN GROUP, THE, LLC",no,,2
ALABAMA,2006,AUTOMOBILE DEALERS ASSOCIATION OF ALABAMA,yes,AUTOMOTIVE,2
ALABAMA,2006,AUTOMOTIVE AFTERMARKET ASSOCIATION,yes,AUTOMOTIVE,1
ALABAMA,2006,AYCOX & AYCOX INC,no,,1
ALABAMA,2006,AZALEA CITY RACING CLUB,no,,1
ALABAMA,2006,"BANKER ASSOCIATION, ALABAMA",no,,1
ALABAMA,2006,"BANKING DEPARTMENT, ALABAMA STATE",no,,1
ALABAMA,2006,BAPTIST HEALTH SYSTEM INC,yes,,5
ALABAMA,2006,BAPTIST HEALTH SYSTEMS INC,no,,1
ALABAMA,2006,"BAR, ALABAMA STATE",no,,1
ALABAMA,2006,BARBER COMPANIES,no,,1
ALABAMA,2006,BARBER VINTAGE MOTORSPORTS MUSEUM,no,,2
