State,Year,Name,Active,Industry,Number of Lobbyists
ALASKA,2006,1-800 CONTACTS,yes,HEALTH SERVICES,1
ALASKA,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
ALASKA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,1
ALASKA,2006,ACLU OF ALASKA,yes,OTHER/SINGLE ISSUE GROUPS,1
ALASKA,2006,ADVANCED MEDICAL CENTERS OF AK,no,,1
ALASKA,2006,AETNA,yes,INSURANCE,1
ALASKA,2006,AGC OF AK,no,,2
ALASKA,2006,AGRIUM U S INC,no,,2
ALASKA,2006,AIRCRAFT OWNERS & PILOT ASSOCIATION,yes,AIR TRANSPORT,1
ALASKA,2006,AK ASSOC OF MORTGAGE BROKERS,no,,1
ALASKA,2006,AK ASSOCIATION OF REALTORS INC,no,,1
ALASKA,2006,AK BANKERS ASSOC,no,,1
ALASKA,2006,AK BAR ASSOC,no,,1
ALASKA,2006,AK BROADCASTERS ASSOC,no,,1
ALASKA,2006,AK CONFERENCE OF CATHOLIC BISHOPS,no,,1
ALASKA,2006,AK ELECTRIC LIGHT & POWER CO,no,,1
ALASKA,2006,AK FEDERATION OF NATIVES,no,,1
ALASKA,2006,AK INTERNATIONAL MARKETING,no,,1
ALASKA,2006,AK LAND & TITLE ASSOC,no,,1
ALASKA,2006,AK LIBRARY ASSOC,no,,1
ALASKA,2006,AK LOGGERS ASSOC RETIREMENT TRUST,no,,1
ALASKA,2006,AK MINERS ASSOCIATION,yes,,1
ALASKA,2006,AK MOVING IMAGE PRESERVATION,no,,1
ALASKA,2006,AK NATIVE HEALTH BOARD,no,,1
ALASKA,2006,AK NURSES ASSOCIATION,no,,1
ALASKA,2006,AK OIL & GAS ASSOC,no,,3
ALASKA,2006,AK OPEN IMAGING CENTER LLC,no,,1
ALASKA,2006,AK PHARMACISTS ASSOC,no,,1
ALASKA,2006,AK PHYSICAL THERAPY ASSOC,no,,1
ALASKA,2006,AK PRIMARY CARE ASSOC,no,,1
ALASKA,2006,AK PROFESSIONAL HUNTERS ASSOC,no,,1
ALASKA,2006,AK PSYCHIATRIC ASSOC,no,,1
ALASKA,2006,AK PSYCHOLOGICAL ASSOC,no,,1
ALASKA,2006,AK RAILROAD CORP,no,,1
ALASKA,2006,AK RESTAURANT & BEVERAGE ASSOC,no,,1
ALASKA,2006,AK SEALIFE CENTER,no,,1
ALASKA,2006,AK SHIP & DRYDOCK INC,no,,1
ALASKA,2006,AK SOC OF INDEPENDENT ACCOUNTANTS,no,,1
ALASKA,2006,AK SOCIETY OF RADIOLOGIC TECHNOLOGISTS,no,,1
ALASKA,2006,AK ST CHAMBER OF COMMERCE,no,,2
ALASKA,2006,AK ST MEDICAL ASSOC,no,,1
ALASKA,2006,AK SUPPLY CHAIN INTEGRATORS,no,,2
ALASKA,2006,AK TRUST COMPANY,no,,1
ALASKA,2006,AK VILLAGE ELECTRIC COOPERATIVE,no,,1
ALASKA,2006,ALASKA AIRLINES,yes,AIR TRANSPORT,1
ALASKA,2006,ALASKA AUTO DEALERS ASSOCIATION,yes,AUTOMOTIVE,1
ALASKA,2006,ALASKA BINGO SUPPLY,yes,GAMBLING & CASINOS,1
ALASKA,2006,ALASKA CABARET HOTEL RESTAURANT & RETAILERS ASSOCIATION,yes,LODGING & TOURISM,1
