State,Year,Name,Active,Industry,Number of Lobbyists
ARIZONA,2006,2ND SPOKEN VOICE,no,,1
ARIZONA,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,2
ARIZONA,2006,49ER MINERALS INC,no,,2
ARIZONA,2006,7-ELEVEN,yes,OIL & GAS,2
ARIZONA,2006,A G EDWARDS & SONS INC,yes,,3
ARIZONA,2006,A T STILL UNIVERSITY,no,EDUCATION,4
ARIZONA,2006,A-55 LP,no,,1
ARIZONA,2006,AAA CAB SERVICE,no,MISCELLANEOUS TRANSPORT,1
ARIZONA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,1
ARIZONA,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,6
ARIZONA,2006,ABITIBI CONSOLIDATED INC,no,,3
ARIZONA,2006,ABRAMS AIRBORNE MANUFACTURING INC,no,,1
ARIZONA,2006,ACCENTURE,yes,,4
ARIZONA,2006,ACCIPITER COMMUNICATIONS INC,no,,1
ARIZONA,2006,ACLU OF ARIZONA,yes,OTHER/SINGLE ISSUE GROUPS,1
ARIZONA,2006,ACTIVATOR HEALTH CENTERS PC,no,,1
ARIZONA,2006,ACTIVATOR METHODS INTERNATIONAL,no,,3
ARIZONA,2006,ADELITAS DEL VALLE,no,,1
ARIZONA,2006,ADVANCE CERAMICS RESEARCH,no,,1
ARIZONA,2006,ADVANCED CORRECTIONAL MANAGEMENT LLC,no,,1
ARIZONA,2006,ADVANTAGE CAPITAL MANAGEMENT CORP,yes,SECURITIES & INVESTMENT,2
ARIZONA,2006,ADVOCATES FOR SCHOOL CHOICE,yes,,2
ARIZONA,2006,AEA ARIZONA,no,,2
ARIZONA,2006,AETNA,yes,INSURANCE,1
ARIZONA,2006,AGRI-BUSINESS COUNCIL OF AZ INC,no,,1
ARIZONA,2006,AGUILA IRRIGATION DISTRICT,no,,3
ARIZONA,2006,AIRCRAFT OWNERS & PILOT ASSOCIATION,yes,AIR TRANSPORT,1
ARIZONA,2006,AIZ CORR PEACE OFFICERS ASSOCIATION,no,,3
ARIZONA,2006,ALCOR LIFE EXTENSION FOUNDATION,no,,2
ARIZONA,2006,ALECA AKA AZ LOCAL EXCHANGE CARRIERS ASSOC,no,,2
ARIZONA,2006,ALGODON CENTER LLLP,no,,6
ARIZONA,2006,ALL ARIZONAS SCHOOL RETIREES ASSN,no,,8
ARIZONA,2006,ALLERGAN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
ARIZONA,2006,ALLIANCE BEVERAGE DISTRIBUTING,no,,4
ARIZONA,2006,ALLIANCE FOR MARRIAGE FOUNDATION,yes,,1
ARIZONA,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
ARIZONA,2006,ALLIED WASTE INDUSTRIES INC,yes,,1
ARIZONA,2006,ALLSTATE INSURANCE,yes,INSURANCE,3
ARIZONA,2006,ALLTEL COMMUNICATIONS,no,,1
ARIZONA,2006,ALZHEIMERS ASSOCIATION,yes,HEALTH & WELFARE POLICY,6
ARIZONA,2006,AMBULATORY & URGENT CARE ASSN OF AZ,no,,9
ARIZONA,2006,AMD INC,no,,2
ARIZONA,2006,AMERICAN ACADEMY OF PEDIATRICS-AZ CHAPTER,no,,5
ARIZONA,2006,AMERICAN ASSN FOR NUDE RECREATION (AANR),no,,2
ARIZONA,2006,AMERICAN ASSN OF UNIVERSITY WOMEN,no,,2
ARIZONA,2006,AMERICAN ASSOCIATION OF PUBLISHERS,yes,PRINTING & PUBLISHING,1
ARIZONA,2006,AMERICAN BROTHERHOOD AIMED TOWARD EDUCATION (ABATE) INC,no,,2
ARIZONA,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,4
ARIZONA,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF AZ (ACEC / AZ),no,,3
ARIZONA,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,3
ARIZONA,2006,AMERICAN DIABETES ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
ARIZONA,2006,AMERICAN ENTREPRENEURS,no,,1
ARIZONA,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",6
ARIZONA,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,4
ARIZONA,2006,AMERICAN GREYHOUND RACING,yes,GAMBLING & CASINOS,2
ARIZONA,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
ARIZONA,2006,AMERICAN HOME INSPECTION ASSOCIATION,yes,REAL ESTATE,1
ARIZONA,2006,AMERICAN INSTITUTE OF ARCHITECTS ARIZONA,yes,CONSTRUCTION SERVICES,5
ARIZONA,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,3
ARIZONA,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",4
ARIZONA,2006,AMERICAN LEGION DEPARTMENT OF ARIZONA,no,,6
ARIZONA,2006,AMERICAN LIFE STAR,no,,4
ARIZONA,2006,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,3
ARIZONA,2006,AMERICAN PARK N SWAP INC,no,,3
ARIZONA,2006,AMERICAN RESORT DEVELOPMENT ASSOCIATION,yes,,1
ARIZONA,2006,AMERICAN SUBCONTRACTORS ASSOCIATION OF ARIZONA,no,,3
ARIZONA,2006,AMERICAN TRAFFIC SOLUTIONS,yes,MISCELLANEOUS TRANSPORT,2
ARIZONA,2006,AMERICANS FOR TAX REFORM,yes,,2
ARIZONA,2006,AMERICANS UNITED FOR SEPARATION OF CHURCH & STATE,yes,,1
ARIZONA,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,3
ARIZONA,2006,AMERICROWN,no,,1
ARIZONA,2006,AMIGOS TRADE ASSOCIATION,no,,1
ARIZONA,2006,AMITY INC,no,,2
ARIZONA,2006,AMPHITHEATER SCHOOL DISTRICT NO 10,no,,36
ARIZONA,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,3
ARIZONA,2006,ANA ADVERTISING SERVICES INC,no,,2
ARIZONA,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",3
ARIZONA,2006,ANIMAL DEFENSE LEAGUE OF ARIZONA,yes,ANIMAL RIGHTS,3
ARIZONA,2006,ANTI DEFAMATION LEAGUE AZ OFFICE,no,,1
ARIZONA,2006,ANY RAT RESCUE,no,,1
ARIZONA,2006,APACHE COUNTY,no,,3
ARIZONA,2006,APACHE JUNCTION CITY OF,no,,18
ARIZONA,2006,APACHE JUNCTION FIRE DISTRICT,no,,1
ARIZONA,2006,APACHE NITROGEN PRODUCTS INC,no,,3
ARIZONA,2006,APIPA,no,,4
ARIZONA,2006,APOLLO GROUP,yes,EDUCATION,10
ARIZONA,2006,APOTHECARY SHOPS,no,,1
ARIZONA,2006,APPLE INC,yes,COMPUTER EQUIPMENT & SERVICES,3
ARIZONA,2006,AREA AGENCY ON AGING REGION ONE INC,no,,1
ARIZONA,2006,ARIZONA ACADEMY OF FAMILY PHYSICIANS,yes,HEALTH PROFESSIONALS,2
ARIZONA,2006,ARIZONA ADVOCAY GROUP LLC,no,,1
ARIZONA,2006,ARIZONA ASSISTED LIVING FEDERATION OF AMERICA,yes,,2
ARIZONA,2006,ARIZONA ASSOCIATION OF CHIEFS OF POLICE,no,,6
ARIZONA,2006,ARIZONA ASSOCIATION OF HOMES & HOUSING FOR THE AGING,yes,HOSPITALS & NURSING HOMES,6
ARIZONA,2006,ARIZONA ASSOCIATION OF INDUSTRIES,yes,BUSINESS ASSOCIATIONS,3
ARIZONA,2006,ARIZONA ASSOCIATION OF REALTORS,yes,REAL ESTATE,10
ARIZONA,2006,ARIZONA AUTOMOTIVE RECYCLERS ASSOCIATION,no,,1
ARIZONA,2006,ARIZONA BANKERS ASSOCIATION,yes,COMMERCIAL BANKS,7
