State,Year,Name,Active,Industry,Number of Lobbyists
ARKANSAS,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
ARKANSAS,2006,AAA INSURANCE,no,,1
ARKANSAS,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
ARKANSAS,2006,ACE INA HOLDINGS,yes,,1
ARKANSAS,2006,ACXIOM CORP,yes,BUSINESS SERVICES,1
ARKANSAS,2006,ADVOCATES FOR NURSING HOME RESIDENTS,no,,1
ARKANSAS,2006,AEGON SPECIAL MARKETS GROUP INC,no,,1
ARKANSAS,2006,AETNA,yes,INSURANCE,1
ARKANSAS,2006,AGRICULTURAL COUNCIL OF ARKANSAS,yes,,1
ARKANSAS,2006,ALBERMARLE CORPORATION,no,,1
ARKANSAS,2006,ALCOA,yes,,1
ARKANSAS,2006,ALEXANDER DEVELOPMENT,no,,2
ARKANSAS,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,2
ARKANSAS,2006,ALLSTATE INSURANCE,yes,INSURANCE,1
ARKANSAS,2006,ALLTEL COMMUNICATIONS,yes,TELECOM SERVICES & EQUIPMENT,5
ARKANSAS,2006,ALMA SCHOOL DISTRICT,no,,1
ARKANSAS,2006,ALMATIS INC,no,,1
ARKANSAS,2006,ALUMINUM COMPANY OF AMERICA,no,,2
ARKANSAS,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,1
ARKANSAS,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,4
ARKANSAS,2006,AMERICAN ELECTRIC POWER,yes,ELECTRIC UTILITIES,6
ARKANSAS,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
ARKANSAS,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
ARKANSAS,2006,AMERICAN HEALTHCARE SPECIALTY INSURANCE COMPANY,no,,1
ARKANSAS,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
ARKANSAS,2006,AMERICAN INSTITUTE OF ARCHITECTS ARKANSAS,yes,CONSTRUCTION SERVICES,2
ARKANSAS,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
ARKANSAS,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",3
ARKANSAS,2006,AMERICAN MANAGEMENT ADMINISTRATIVE SERVICES,yes,,3
ARKANSAS,2006,AMERICAN THYROID ASSOCIATION,no,,1
ARKANSAS,2006,AMERICAS CAR-MART,yes,AUTOMOTIVE,3
ARKANSAS,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,1
ARKANSAS,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
ARKANSAS,2006,APS HEALTHCARE INNOVATIVE RESOURCES GROUP,no,,1
ARKANSAS,2006,AREA AGENCIES ON AGING ASSOCIATION,no,,1
ARKANSAS,2006,AREA AGENCY ON AGING OF NORTHWEST ARKANSAS,no,,3
ARKANSAS,2006,AREA AGENCY ON AGING OF SOUTHEAST ARKANSAS INC,no,,1
ARKANSAS,2006,ARKANSANS FOR THE 21ST CENTURY,no,,1
ARKANSAS,2006,ARKANSAS ADVOCATES FOR CHILDREN & FAMILIES,no,,6
ARKANSAS,2006,ARKANSAS ADVOCATES FOR PUBLIC LIBRARIRES,no,,1
ARKANSAS,2006,ARKANSAS AFL-CIO,yes,GENERAL TRADE UNIONS,3
ARKANSAS,2006,ARKANSAS AGRICULTURAL AVIATION ASSOCIATION,no,,1
ARKANSAS,2006,ARKANSAS ALCOHOL & DRUG SUBSTANCE ABUSE COUNSELERS ASSOC,no,,2
ARKANSAS,2006,ARKANSAS ALLIANCE BOYS & GIRLS,no,,1
ARKANSAS,2006,ARKANSAS AMBULANCE ASSOCIATION,yes,,2
ARKANSAS,2006,ARKANSAS AMUSEMENT OPERATORS CMTE,yes,RECREATION & LIVE ENTERTAINMENT,1
ARKANSAS,2006,ARKANSAS ARTS COUNCIL,no,,1
ARKANSAS,2006,ARKANSAS ASPHALT PAVEMENT ASSOCIATION,yes,GENERAL CONTRACTORS,1
ARKANSAS,2006,ARKANSAS ASSOCIATION OF CHIEFS OF POLICE,yes,,2
ARKANSAS,2006,ARKANSAS ASSOCIATION OF EDUCATIONAL ADMINISTRATORS,no,,2
ARKANSAS,2006,ARKANSAS ASSOCIATION OF INSURANCE COMPANIES,no,,5
ARKANSAS,2006,ARKANSAS ASSOCIATION OF LIFE COMPANIES,no,,1
ARKANSAS,2006,ARKANSAS ASSOCIATION OF NURSE ANESTHETICS,no,,2
ARKANSAS,2006,ARKANSAS ASSOCIATION OF TWO-YEAR COLLEGES,no,,1
ARKANSAS,2006,ARKANSAS ATHLETIC TRAINERS ASSOCIATION,yes,,2
ARKANSAS,2006,ARKANSAS AUTOMOBILE DEALERS ASSOCIATION,yes,AUTOMOTIVE,2
ARKANSAS,2006,ARKANSAS BANKERS ASSOCIATION,yes,COMMERCIAL BANKS,4
ARKANSAS,2006,ARKANSAS BAR ASSOCIATION,yes,LAWYERS & LOBBYISTS,2
ARKANSAS,2006,ARKANSAS BEVERAGE ASSOCIATION,yes,FOOD & BEVERAGE,1
ARKANSAS,2006,ARKANSAS BEVERAGE RETAILERS ASSOCIATION,yes,,1
ARKANSAS,2006,ARKANSAS BLUE CROSS BLUE SHIELD,yes,INSURANCE,26
ARKANSAS,2006,ARKANSAS CABLE TELECOMMUNICATIONS ASSOCIATION,yes,CABLE TV,4
ARKANSAS,2006,ARKANSAS CAPITAL CORPORATION GROUP,no,,2
ARKANSAS,2006,ARKANSAS CATTLEMENS ASSOCIATION,no,,2
ARKANSAS,2006,ARKANSAS CHAPTER OF NATIONAL ASSOCIATION OF HOUSING & REDEVELOPMENT,no,,1
ARKANSAS,2006,"ARKANSAS CHAPTER, AMERICAN ACADEMY OF PEDIATRICS",no,,1
ARKANSAS,2006,ARKANSAS CHARITABLE BINGO,no,,1
ARKANSAS,2006,ARKANSAS CHILDRENS HOSPITAL,yes,HOSPITALS & NURSING HOMES,1
ARKANSAS,2006,ARKANSAS CHINO SOCIETY,no,,1
ARKANSAS,2006,ARKANSAS CHIROPRACTIC ASSOCIATION,yes,HEALTH PROFESSIONALS,1
ARKANSAS,2006,ARKANSAS CHIROPRACTIC COUNCIL INC,no,,1
ARKANSAS,2006,ARKANSAS COMMUNITY BANKERS ASSOCIATION,yes,COMMERCIAL BANKS,1
ARKANSAS,2006,ARKANSAS COMMUNITY CARE INC,no,,1
ARKANSAS,2006,ARKANSAS COMPREHENSIVE HEALTH INSURANCE POOL,no,,2
ARKANSAS,2006,ARKANSAS COUNSELING ASSOCIATION,yes,,2
ARKANSAS,2006,ARKANSAS CREDIT UNION LEAGUE,yes,CREDIT UNIONS,1
ARKANSAS,2006,ARKANSAS DENTAL ASSOCIATION,yes,HEALTH PROFESSIONALS,2
ARKANSAS,2006,ARKANSAS DISTRICT JUDGES COUNCIL,no,,1
ARKANSAS,2006,ARKANSAS EARLY CHILDHOOD ASSOCIATION,yes,,3
ARKANSAS,2006,ARKANSAS EASTER SEALS,no,,1
ARKANSAS,2006,ARKANSAS EDUCATION ASSOCIATION,yes,PUBLIC SECTOR UNIONS,18
ARKANSAS,2006,ARKANSAS ELECTRIC COOPERATIVE,yes,ELECTRIC UTILITIES,7
ARKANSAS,2006,ARKANSAS ELECTRIC COOPERATIVE CORPORATION,no,,1
ARKANSAS,2006,ARKANSAS ELECTRIC COOPERATIVES CORPORATION,no,,1
ARKANSAS,2006,ARKANSAS ELECTRIC ENERGY CONSUMERS,yes,,3
ARKANSAS,2006,ARKANSAS ELECTRIC ENERGY CONSUMERS,no,,1
ARKANSAS,2006,ARKANSAS EMPLOYERS HEALTHCARE COALITION,no,,1
ARKANSAS,2006,ARKANSAS ENVIRONMENTAL FEDERATION,no,,2
ARKANSAS,2006,ARKANSAS FAITH & ETHICS COUNCIL,yes,,1
ARKANSAS,2006,ARKANSAS FAMILY COUNCIL,yes,CHRISTIAN CONSERVATIVE,3
ARKANSAS,2006,ARKANSAS FARM BUREAU,yes,FARM BUREAU,23
ARKANSAS,2006,ARKANSAS FINANCIAL SERVICES ASSOCIATION,yes,MISCELLANEOUS FINANCE,1
ARKANSAS,2006,ARKANSAS FORESTRY ASSOCIATION,yes,FORESTRY & FOREST PRODUCTS,1
ARKANSAS,2006,ARKANSAS FOUNDATION FOR MEDICAL CARE,yes,HEALTH SERVICES,3
ARKANSAS,2006,ARKANSAS GAS CONSUMERS INC,yes,,4
ARKANSAS,2006,ARKANSAS GRAPE GROWERS,no,,1
ARKANSAS,2006,ARKANSAS GREYHOUND OWNERS & BREEDERS ASSOCIATION,no,,1
ARKANSAS,2006,ARKANSAS GROCERS & RETAIL MERCHANTS ASSOCIATION,yes,FOOD PROCESSING & SALES,1
ARKANSAS,2006,ARKANSAS HEALTH CARE ASSOCIATION / ARKANSAS ASSISTED LIVING ASSOCIATION,yes,HOSPITALS & NURSING HOMES,4
ARKANSAS,2006,"ARKANSAS HEALTH CARE COALITION, INC",no,,2
ARKANSAS,2006,ARKANSAS HOME BUILDERS ASSOCIATION,yes,HOME BUILDERS,3
ARKANSAS,2006,ARKANSAS HOMEFURNISHINGS ASSOCIATION,no,,6
ARKANSAS,2006,ARKANSAS HOSPITAL ASSOCIATION,yes,HOSPITALS & NURSING HOMES,4
ARKANSAS,2006,ARKANSAS HOSPITALITY ASSOCIATION,yes,LODGING & TOURISM,5
