State,Year,Name,Active,Industry,Number of Lobbyists
COLORADO,2002,9TO5 NATIONAL ASSOCIATION OF WORKING WOMEN,yes,WOMEN'S ISSUES,1
COLORADO,2002,AARP,yes,ELDERLY/SOCIAL SECURITY,1
COLORADO,2002,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
COLORADO,2002,ACCENTURE,yes,BUSINESS SERVICES,1
COLORADO,2002,ACKERMAN INFORMATION CORP,yes,LAWYERS & LOBBYISTS,2
COLORADO,2002,ACORN,yes,OTHER/SINGLE ISSUE GROUPS,1
COLORADO,2002,ADAMS COUNTY,no,CIVIL SERVANTS/PUBLIC OFFICIALS,1
COLORADO,2002,ADAMS TWELVE FIVE STAR SCHOOLS,no,,1
COLORADO,2002,ADESA,no,,2
COLORADO,2002,ADP TOTALSOURCE,yes,BUSINESS SERVICES,2
COLORADO,2002,ADVANTAGE CAPITAL MANAGEMENT CORP,yes,SECURITIES & INVESTMENT,3
COLORADO,2002,ADVANTAGE CAPITAL PARTNERS,yes,SECURITIES & INVESTMENT,1
COLORADO,2002,ADVANTAGE RESOUCES,no,,1
COLORADO,2002,AEA INC,no,,2
COLORADO,2002,AETNA,yes,INSURANCE,1
COLORADO,2002,AFFILIATED COMPUTER,no,,2
COLORADO,2002,AFFILIATED COMPUTER SERVS INC,no,,1
COLORADO,2002,AFFILIATED COMPUTER SYSTEMS,no,,1
COLORADO,2002,AFFORDABLE RESIDENTIAL COMMS,no,,1
COLORADO,2002,AFFORDABLE RESIDENTIAL COMMUNITIES,no,,1
COLORADO,2002,AKL INC,yes,LAWYERS & LOBBYISTS,1
COLORADO,2002,ALLIANCE FOR RESPONSIBLE MINING,no,,2
COLORADO,2002,ALLIANCE OF AMERICAN INSURERS,yes,INSURANCE,1
COLORADO,2002,ALLIED JEWISH FEDERATION,yes,MINORITY & DISABILITY GROUPS,2
COLORADO,2002,ALLSTATE INSURANCE,yes,INSURANCE,1
COLORADO,2002,ALZHEIMERS ASSOCIATION,yes,,1
COLORADO,2002,AMALGAMATED TRANSIT UNION LOCAL 1001,yes,,1
