State,Year,Name,Active,Industry,Number of Lobbyists
CONNECTICUT,2006,21ST CENTURY PASSENGER RAIL COALITION,no,,1
CONNECTICUT,2006,21ST CENTURY PASSENGER RAIL COALITION,no,,2
CONNECTICUT,2006,3030 PARK HEALTH SYSTEMS INC,no,,3
CONNECTICUT,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,3
CONNECTICUT,2006,64 ADDISON MILL ROAD ASSOCIATES,no,,5
CONNECTICUT,2006,64 ADDISON MILL ROAD ASSOCIATES C / O LEXINGTON PRTNERS LLC,no,,4
CONNECTICUT,2006,95 / 7 VENTURES LLC,no,,9
CONNECTICUT,2006,A BETTER WAY,no,,1
CONNECTICUT,2006,AAA HARTFORD / CINCINNATI / KANSAS INC,no,,1
CONNECTICUT,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,3
CONNECTICUT,2006,AAUP / UCONN CHAPTER,no,,2
CONNECTICUT,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,3
CONNECTICUT,2006,ACC CAPITAL HOLDINGS,no,,5
CONNECTICUT,2006,ACCENTURE,yes,BUSINESS SERVICES,4
CONNECTICUT,2006,ACCREDITED SURETY & CASUALTY,yes,MISCELLANEOUS FINANCE,3
CONNECTICUT,2006,ACCREDITED SURETY & CASUALTY CO,yes,,2
CONNECTICUT,2006,ACLU OF CONNECTICUT,yes,OTHER/SINGLE ISSUE GROUPS,6
CONNECTICUT,2006,ACOG-CT CHAPTER,no,,3
CONNECTICUT,2006,ADP TOTALSOURCE,yes,BUSINESS SERVICES,3
CONNECTICUT,2006,ADVANCED BAHAVIORAL HEALTH INC,no,,1
CONNECTICUT,2006,ADVANCED BEHAVIORAL HEALTH INC,no,,2
CONNECTICUT,2006,ADVOCATES FOR CT CHILDEN & YOUTH,no,,5
CONNECTICUT,2006,ADVOCATES FOR CT CHILDREN & YOUTH,no,,6
CONNECTICUT,2006,AETNA,yes,INSURANCE,6
CONNECTICUT,2006,AFSCME COUNCIL 4,yes,PUBLIC SECTOR UNIONS,2
CONNECTICUT,2006,AHLSTROM WINDSOR LOCKS LLC,no,,5
CONNECTICUT,2006,AIRCRAFT FACILITIES GROUP LLC,no,,3
CONNECTICUT,2006,ALDI INC,no,,3
CONNECTICUT,2006,ALDI INC,yes,,2
CONNECTICUT,2006,ALGONQUIN POWER INCOME FUND,no,,1
CONNECTICUT,2006,ALGONQUIN POWER INCOME FUND,no,,1
CONNECTICUT,2006,ALGONQUIN POWER INCOME FUND,no,,1
CONNECTICUT,2006,ALGONQUIN POWER INCOME FUND,no,,5
CONNECTICUT,2006,ALGONQUIN POWER INCOME FUND,no,,1
CONNECTICUT,2006,ALL VISION LLC,no,,8
CONNECTICUT,2006,ALL VISION LLC,no,,5
CONNECTICUT,2006,ALL WASTE INC,yes,WASTE MANAGEMENT,2
CONNECTICUT,2006,ALLIANCE ENERGY CORP,yes,ELECTRIC UTILITIES,2
CONNECTICUT,2006,ALLIANCE ENERGY CORPORATION,no,,3
CONNECTICUT,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,9
CONNECTICUT,2006,ALLIANT RESOURCES GROUP,no,,2
CONNECTICUT,2006,ALLSTATE INSURANCE,yes,INSURANCE,5
CONNECTICUT,2006,ALTRIA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,5
CONNECTICUT,2006,ALZHEIMERS ASSOCIATION,yes,HEALTH & WELFARE POLICY,5
CONNECTICUT,2006,AMERICAN ACADEMY PEDIATRICS CT CHAPTER,no,,4
CONNECTICUT,2006,AMERICAN ASSOCIATION OF PUBLISHERS,yes,PRINTING & PUBLISHING,2
CONNECTICUT,2006,AMERICAN ASSOCIATION UNIVERSITY PROFESSORS,yes,,4
CONNECTICUT,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,7
CONNECTICUT,2006,AMERICAN CHEMISTRY COUNCIL,yes,CHEMICAL & RELATED MANUFACTURING,6
