State,Year,Name,Active,Industry,Number of Lobbyists
DELAWARE,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
DELAWARE,2006,A PHILIP RANDOLPH INSTITUTE OF DELAWARE INC,no,,1
DELAWARE,2006,AAA MID-ATLANTIC,yes,INSURANCE,2
DELAWARE,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,9
DELAWARE,2006,ACACIA CONSULTING,no,,1
DELAWARE,2006,ACLU OF DELAWARE,no,OTHER/SINGLE ISSUE GROUPS,1
DELAWARE,2006,ACS STATE & LOCAL SOLUTIONS INC,yes,,1
DELAWARE,2006,ADVANTAGE FINANCIAL SERVICES,no,,1
DELAWARE,2006,ADVOSERV,yes,HEALTH SERVICES,1
DELAWARE,2006,AIDS DELAWARE,no,,1
DELAWARE,2006,ALLIANCE FOR MARRIAGE FOUNDATION,yes,,1
DELAWARE,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
DELAWARE,2006,ALLIGATOR RIVER RECYCLING LLC,no,,1
DELAWARE,2006,ALLSTATE INSURANCE,yes,INSURANCE,1
DELAWARE,2006,AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,no,,1
DELAWARE,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,2
DELAWARE,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
DELAWARE,2006,AMERICAN DIABETES ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
DELAWARE,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
DELAWARE,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
DELAWARE,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,3
DELAWARE,2006,AMERICAN INSTITUTE OF ARCHITECTS DELAWARE,yes,CONSTRUCTION SERVICES,1
DELAWARE,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
DELAWARE,2006,AMERICAN LIFE INSURANCE CO,no,,1
DELAWARE,2006,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,3
DELAWARE,2006,AMERICAN RED CROSS,yes,OTHER/SINGLE ISSUE GROUPS,1
DELAWARE,2006,AMERICANS FOR CONSUMER EDUCATION & COMPETITION,no,,1
DELAWARE,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,2
DELAWARE,2006,"AMERIHEALTH INSURANCE CO OF DE / AMERIHEALTH HMO, INC",no,,1
DELAWARE,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",1
DELAWARE,2006,APOLLO GROUP,yes,EDUCATION,1
DELAWARE,2006,APPLE INC,yes,COMPUTER EQUIPMENT & SERVICES,1
DELAWARE,2006,APS HEALTHCARE INC,no,,1
DELAWARE,2006,ARROW POINT CAPITAL CORP,no,,1
DELAWARE,2006,ARTESIAN WATER,yes,WATER UTILITIES,8
DELAWARE,2006,ARTHUR J GALLAGHER & CO,yes,INSURANCE,1
DELAWARE,2006,ASSOCIATED BUILDERS & CONTRACTORS OF DELAWARE,yes,GENERAL CONTRACTORS,2
DELAWARE,2006,ASSOCIATED COMMUNITY TALENTS INC,no,,1
