State,Year,Name,Active,Industry,Number of Lobbyists
HAWAII,2006,24 HOUR FITNESS,yes,MISCELLANEOUS SERVICES,3
HAWAII,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,3
HAWAII,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
HAWAII,2006,ACLU OF HAWAII,no,OTHER/SINGLE ISSUE GROUPS,4
HAWAII,2006,ACS - STATE HEALTHCARE SOLUTIONS,no,,2
HAWAII,2006,ADULT FOSTER HOME ASSOCIATION OF HAWAII,yes,HEALTH SERVICES,1
HAWAII,2006,ADVANTAGE CAPITAL PARTNERS,yes,SECURITIES & INVESTMENT,1
HAWAII,2006,AEQUUS CORP ON BEHALF OF LENSCRAFTERS,no,,1
HAWAII,2006,AIG COMPANIES,no,,1
HAWAII,2006,ALEXANDER & BALDWIN,yes,REAL ESTATE,2
HAWAII,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,3
HAWAII,2006,ALOHA AIRLINES,yes,AIR TRANSPORT,1
HAWAII,2006,ALOHA PETROLEUM,yes,OIL & GAS,2
HAWAII,2006,ALOHACARE,yes,,3
HAWAII,2006,AMERICAN ACADEMY OF OPHTHAMOLOGY,no,,1
HAWAII,2006,AMERICAN ACADEMY OF OPTHAMOLOGY,no,,1
HAWAII,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,1
HAWAII,2006,AMERICAN CHEMISTRY COUNCIL,yes,CHEMICAL & RELATED MANUFACTURING,2
HAWAII,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,3
HAWAII,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",3
HAWAII,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,2
HAWAII,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,3
HAWAII,2006,AMERICAN INSTITUTE OF ARCHITECTS HAWAII,no,,1
HAWAII,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
HAWAII,2006,AMERICAN RESORT DEVELOPMENT ASSN,no,,3
HAWAII,2006,"AMERICAN SAVINGS BANK, FSB",no,,3
HAWAII,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,2
HAWAII,2006,AMERIQUEST MORTGAGE COMPANY,no,,1
HAWAII,2006,ANC LIQUIDATING TRUST,no,,1
HAWAII,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",1
HAWAII,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
HAWAII,2006,"BAKKEN, EARL E",no,,1
HAWAII,2006,BALLARD FAMILY MORTUARY INC,no,,2
HAWAII,2006,BANK OF HAWAII,yes,COMMERCIAL BANKS,2
HAWAII,2006,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
HAWAII,2006,BIOTECHNOLOGY INDUSTRY ORGANIZATION,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
HAWAII,2006,BISHOP MUSEUM,no,,4
HAWAII,2006,BOARD OF WATER SUPPLY,no,,2
HAWAII,2006,BOYD GAMING,yes,GAMBLING & CASINOS,1
HAWAII,2006,BRIGHAM YOUNG UNIVERSITY HAWAII CAMPUS,no,,2
HAWAII,2006,BROMINE SCIENCE & ENVIRONMENTAL FORUM,yes,OTHER/SINGLE ISSUE GROUPS,2
HAWAII,2006,BUILDING INDUSTRY ASSOCIATION OF HAWAII,no,,2
HAWAII,2006,BUILDING INDUSTRY ASSOCIATION OF HAWAII,no,,1
HAWAII,2006,"C & K BEACH SERVICES, INC",no,,1
HAWAII,2006,CANCER RESEARCH CENTER OF HAWAII,no,,1
HAWAII,2006,CASE MANAGEMENT COUNCIL,yes,,1
HAWAII,2006,CASH IN ADVANCE INC,no,,2
HAWAII,2006,CASTLE & COOK INC,yes,,1
HAWAII,2006,CASTLE & COOKE,yes,REAL ESTATE,13
HAWAII,2006,CATRALA - HAWAII,no,,1
HAWAII,2006,CENDANT,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",3
HAWAII,2006,CHAMBER OF COMMERCE OF HAWAII,no,,2
HAWAII,2006,CHEVRON CORP,yes,OIL & GAS,1
HAWAII,2006,CHUN KERR DODD BEAMAN & WONG,yes,LAWYERS & LOBBYISTS,1
HAWAII,2006,CIGAR ASSOCIATION OF AMERICA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
HAWAII,2006,CINGULAR WIRELESS,yes,TELECOM SERVICES & EQUIPMENT,1
HAWAII,2006,CLINICAL LABORATORIES OF HAWAII LLP,no,,2
HAWAII,2006,"CLINICAL LABORATORIES OF HAWAII, LLP",no,,3
HAWAII,2006,COALITION FOR A TOBACCO FREE HAWAII,no,,3
HAWAII,2006,COALITION OF CARE HOME ADMINISTRATORS,no,,2
HAWAII,2006,COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA,yes,PAYDAY/TITLE LOANS,2
HAWAII,2006,CONSUMER DATA INDUSTRY ASSOCIATION,yes,CONSUMER GROUPS,3
HAWAII,2006,CONSUMER HEALTHCARE PRODUCTS ASSOCIATION,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
HAWAII,2006,CONSUMER LAWYERS OF HAWAII,yes,LAWYERS & LOBBYISTS,1
HAWAII,2006,CONSUMERS UNION OF US INC,no,,1
HAWAII,2006,CONTINENTAL CASUALTY DBA CNA INSURANCE CORP,yes,INSURANCE,1
