State,Year,Name,Active,Industry,Number of Lobbyists
IDAHO,2006,AAA OREGON / IDAHO,no,,2
IDAHO,2006,AAA WASHINGTON / INLAND,no,,1
IDAHO,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,2
IDAHO,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
IDAHO,2006,ACLU OF IDAHO,yes,OTHER/SINGLE ISSUE GROUPS,3
IDAHO,2006,ACS GOVERNMENT SOLUTIONS,no,,1
IDAHO,2006,ACS GOVERNMENTAL,no,,1
IDAHO,2006,ADA COUNTY ASSOCIATION OF REALTORS,yes,,1
IDAHO,2006,ADA COUNTY DRAINAGE DISTRICT NO 3,no,,1
IDAHO,2006,ADA COUNTY HIGHWAY DISTRICT,no,,2
IDAHO,2006,ADVANTAGE DENTAL PLAN,yes,INSURANCE,1
IDAHO,2006,ADVANTAGE WORKERS COMP.,no,,2
IDAHO,2006,AFFLIATED COMPUTER SERVICES,no,,1
IDAHO,2006,ALADDIN BAIL BONDS,yes,MISCELLANEOUS FINANCE,1
IDAHO,2006,ALBERTSON'S INC.,no,,1
IDAHO,2006,ALBERTSONS INC,yes,FOOD PROCESSING & SALES,1
IDAHO,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
IDAHO,2006,AMALGAMATED SUGAR CO,yes,CROP PRODUCTION & BASIC PROCESSING,1
IDAHO,2006,AMERICAN ASSOCIATION OF PUBLISHERS,yes,PRINTING & PUBLISHING,1
IDAHO,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,1
IDAHO,2006,"AMERICAN COUNCIL OF ENGINEERING COMPANIES, ID",no,,2
IDAHO,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
IDAHO,2006,AMERICAN ECOLOGY CORP,yes,WASTE MANAGEMENT,1
IDAHO,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,2
IDAHO,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
IDAHO,2006,AMERICAN INSTITUTE OF ARCHITECTS IDAHO,no,,2
IDAHO,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
IDAHO,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
IDAHO,2006,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
IDAHO,2006,AMERICAN PROMOTIONAL EVENTS,yes,CHEMICAL & RELATED MANUFACTURING,2
IDAHO,2006,AMERICAN RED CROSS,yes,OTHER/SINGLE ISSUE GROUPS,3
IDAHO,2006,AMERICANS FOR BALANCED ENERGY CHOICES,no,,1
IDAHO,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,1
IDAHO,2006,AMGEN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
IDAHO,2006,AMI SEMICONDUCTOR INC,no,,2
IDAHO,2006,AMUSEMENT & MUSIC OWNERS OF IDAHO,yes,RECREATION & LIVE ENTERTAINMENT,2
IDAHO,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
IDAHO,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",4
IDAHO,2006,APPLE INC,yes,COMPUTER EQUIPMENT & SERVICES,1
IDAHO,2006,ASSOCIATED INNKEEPERS OF IDAHO,yes,LODGING & TOURISM,2
IDAHO,2006,ASSOCIATED LOGGERS EXCHANGE,no,,1
IDAHO,2006,ASSOCIATED LOGGING CONTRACTORS OF IDAHO,yes,FORESTRY & FOREST PRODUCTS,2
IDAHO,2006,ASSOCIATED STUDENTS OF ISU,no,,1
IDAHO,2006,ASSOCIATED STUDENTS UNIVERSITY OF IDAHO,no,,1
IDAHO,2006,ASSOCIATED TAXPAYERS OF IDAHO,no,,2
IDAHO,2006,ASSOCIATION OF IDAHO CITIES,yes,CIVIL SERVANTS/PUBLIC OFFICIALS,4
IDAHO,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
IDAHO,2006,ATLANTA GOLD CORP. OF AMERICA,no,,1
IDAHO,2006,AVENTIS PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
IDAHO,2006,AVISTA CORP,yes,ELECTRIC UTILITIES,2
IDAHO,2006,BANK OF AMERICA,yes,COMMERCIAL BANKS,1
IDAHO,2006,BASIC AMERICAN FOODS,yes,FOOD PROCESSING & SALES,1
IDAHO,2006,BATELLE ENERGY ALLIANCE,no,,2
IDAHO,2006,BATTELLE ENERGY ALLIANCE LLC,no,,2
IDAHO,2006,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
IDAHO,2006,BEN JOHNSON ASSOCIATION,no,,1
IDAHO,2006,BERLEX,no,,1
IDAHO,2006,BIO IDAHO,no,,1
IDAHO,2006,BLAINE COUNTY SCHOOL DISTRICT #61,no,,1
IDAHO,2006,BLUE CROSS OF IDAHO,yes,INSURANCE,6
IDAHO,2006,BLUE WATER TECHNOLOGIES INC,no,,1
IDAHO,2006,BMC WEST CORPORATION,yes,,1
IDAHO,2006,BNSF RAILWAY,yes,RAILROADS,2
IDAHO,2006,BOARD OF PROFESSIONAL ENGINEERS & PROF. LAND SURVEYORS,no,,1
IDAHO,2006,BOISE AIRPORT,no,,1
IDAHO,2006,BOISE CHAMBER OF COMMERCE,yes,BUSINESS ASSOCIATIONS,1
IDAHO,2006,BOISE STATE UNIVERSITY,yes,EDUCATION,3
IDAHO,2006,BOMA (BUILDING OWNERS),no,,1
IDAHO,2006,BRISTOL-MYERS SQUIBB,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
IDAHO,2006,BUILDING CONTRACTORS ASSN. OF SOUTHWESTERN IDAHO,no,,2
IDAHO,2006,BUILDING OWNERS & MANAGERS ASSOCIATES,no,,3
IDAHO,2006,BUREAU OF OCCUPATIONAL LICENSES,no,,2
IDAHO,2006,BUSINESS PSYCHOLOGY ASSOCIATES,yes,HEALTH PROFESSIONALS,1
IDAHO,2006,CAPITAL CITY DEVELOPMENT CORPORATION,no,,1
IDAHO,2006,"CATERPILLAR, INC / MULTISTATE ASSOCIATES, INC.",no,,1
IDAHO,2006,CENTER FOR COMMUNITY & JUSTICE,no,,3
IDAHO,2006,CENTER FOR ENERGY & ECONOMIC DEVELOPMENT,no,MINING,1
IDAHO,2006,CENTRACORE PROPERTIES TRUST,no,,1
IDAHO,2006,CENTURYLINK,yes,TELECOM SERVICES & EQUIPMENT,2
IDAHO,2006,CH2M HILL,yes,CONSTRUCTION SERVICES,2
IDAHO,2006,"CH2M WG IDAHO, LLP",no,,1
IDAHO,2006,CH2M-WG IDAHO LLC,no,,1
IDAHO,2006,"CH2M-WGI IDAHO, LLC",no,,3
IDAHO,2006,CHEVRON CORP,yes,OIL & GAS,1
IDAHO,2006,CHRISTIAN SCIENCE CHURCH,no,,1
IDAHO,2006,CIGAR ASSOCIATION OF AMERICA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
IDAHO,2006,CINGULAR WIRELESS,yes,TELECOM SERVICES & EQUIPMENT,1
IDAHO,2006,CITIGROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
IDAHO,2006,CITIZENS TELECOMMUNICATIONS COMPANY OF IDAHO,no,,1
IDAHO,2006,CLEAR SPRINGS FOODS,yes,FOOD PROCESSING & SALES,3
IDAHO,2006,CLEARWATER - POTLATCH TIMBER PROTECTIVE ASSOC.,no,,1
IDAHO,2006,CMS,no,,1
IDAHO,2006,CNA / WESTERN SURETY / MULTISTATE ASSOCIATES,no,,1
IDAHO,2006,"CO-AD, INC.",no,,1
IDAHO,2006,COALITION OF IDAHO CHARTER SCHOOL FAMILIES,no,,1
IDAHO,2006,COALITION OF RESIDENTIAL HABILITATION,no,,2
IDAHO,2006,COEUR D' ALENE RACING LTD,no,,1
IDAHO,2006,COEUR D'ALENE CHAMBER,no,,1
IDAHO,2006,COEUR D'ALENE MINES CORPORATION,no,,1
IDAHO,2006,COEUR DALENE TRIBE,yes,TRIBAL GOVERNMENTS,1
