State,Year,Name,Active,Industry,Number of Lobbyists
INDIANA,2006,1-800 CONTACTS,yes,HEALTH SERVICES,2
INDIANA,2006,1ST SOURCE BANK,yes,COMMERCIAL BANKS,2
INDIANA,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
INDIANA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,6
INDIANA,2006,ABATE OF IN,no,,1
INDIANA,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
INDIANA,2006,ACC CAPITAL HOLDINGS CORP,no,,1
INDIANA,2006,ACCENTURE,yes,BUSINESS SERVICES,5
INDIANA,2006,ACLU OF INDIANA,no,OTHER/SINGLE ISSUE GROUPS,1
INDIANA,2006,"ADAMS, LAURA",no,,1
INDIANA,2006,"ADDICTION RESOURCE NETWORK OF IN, INC",no,,1
INDIANA,2006,ADELS NATURALLY,no,,1
INDIANA,2006,ADVANCE AMERICA CASH ADVANCE CENTERS,yes,PAYDAY/TITLE LOANS,4
INDIANA,2006,ADVANTAGE WORKERS COMPENSATION INSURANCE CO,yes,INSURANCE,1
INDIANA,2006,ADVOCATES FOR SCHOOL CHOICE,no,,1
INDIANA,2006,AETNA,yes,INSURANCE,1
INDIANA,2006,AFFILIATED COMPUTER SERVICES,yes,COMPUTER EQUIPMENT & SERVICES,1
INDIANA,2006,AGRIBUSINESS COUNCIL OF IN,no,,1
INDIANA,2006,ALCOA,yes,,1
INDIANA,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
INDIANA,2006,ALLIANCE OF IN RURAL WATER INC,no,,1
INDIANA,2006,ALTRIA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,2
INDIANA,2006,AMEIC COUNCIL OF ENGINEERING CO S OF IN,no,,1
INDIANA,2006,AMERICAN ACADEMY OF PEDIATRICS IN CHAPTER,no,,1
INDIANA,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,3
INDIANA,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF INDIANA,yes,CONSTRUCTION SERVICES,2
INDIANA,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
INDIANA,2006,AMERICAN DIABETES ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
INDIANA,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
INDIANA,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
INDIANA,2006,AMERICAN FOREST & PAPER ASSOCIATION,yes,FORESTRY & FOREST PRODUCTS,1
INDIANA,2006,AMERICAN HEALTH NETWORK OF INDIANA,yes,HEALTH SERVICES,1
INDIANA,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,3
INDIANA,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,3
INDIANA,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
INDIANA,2006,"AMERICAN LUNG ASSN OF IN, INC",no,,1
INDIANA,2006,AMERICAN MASSAGE & THERAPY ASSN,no,,1
INDIANA,2006,AMERICAN PHYSICAL THERAPY ASSOCIATION,yes,HEALTH PROFESSIONALS,1
INDIANA,2006,AMERICAN PROMOTIONAL EVENTS,yes,CHEMICAL & RELATED MANUFACTURING,1
INDIANA,2006,AMERICAN SENIOR COMMUNITIES,yes,HOSPITALS & NURSING HOMES,1
INDIANA,2006,AMERICAN UNITED LIFE INS CO PAC,yes,INSURANCE,6
INDIANA,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,1
INDIANA,2006,AMGEN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
INDIANA,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",2
INDIANA,2006,ANTHEM INC,yes,INSURANCE,1
INDIANA,2006,"APARTMENT ASSOCIATION OF IN, INC",no,,1
INDIANA,2006,APOLLO GROUP,yes,EDUCATION,1
INDIANA,2006,APPRISS INC,yes,COMPUTER EQUIPMENT & SERVICES,1
INDIANA,2006,ARC OF IN,no,,2
INDIANA,2006,ASPHALT PAVEMENT ASSOCIATION OF IN,yes,,1
INDIANA,2006,ASSN OF IN CONVENTION & VISITORS BUREAU,no,,2
INDIANA,2006,ASSN OF IN COUNTIES,no,,1
INDIANA,2006,ASSN OF IN ENTERPRISE ZONES,no,,1
INDIANA,2006,ASSN OF IN HOME MEDICAL EQUIPMENT SERVICES,no,,1
INDIANA,2006,ASSN OF IN PROSECUTING ATTORNEYS,no,,1
INDIANA,2006,"ASSN OF IN SOLID WASTE MANAGEMENT DISTRICTS, INC",no,,1
INDIANA,2006,ASSOCIATED GENERAL CONTRACTORS OF IN INC,yes,,2
INDIANA,2006,ASSOCIATION OF IN COUNTIES INC,no,,4
INDIANA,2006,ASSOCIATION OF IN LIFE INSURANCE COMPANIES,yes,,1
INDIANA,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
INDIANA,2006,AT&T,yes,TELECOM SERVICES & EQUIPMENT,10
INDIANA,2006,ATT-IN,no,,1
INDIANA,2006,ATTAIN,no,,1
INDIANA,2006,AVIATION ASSN OF IN,no,,1
INDIANA,2006,"AZTAR IN GAMBLING, LL",no,,1
INDIANA,2006,"AZTAR IN GAMING CO, INC",no,,1
INDIANA,2006,BARNES & THORNBURG,yes,LAWYERS & LOBBYISTS,15
INDIANA,2006,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
INDIANA,2006,BC INITIATIVE INC,no,,1
INDIANA,2006,BEAM LONGEST & NEFF,yes,CONSTRUCTION SERVICES,2
INDIANA,2006,BEEBE SCHERER & ASSOCIATES,yes,LAWYERS & LOBBYISTS,2
INDIANA,2006,BELL HELICOPTER,no,,1
INDIANA,2006,BERNARDIN LOCHMUELLER & ASSOCIATES,yes,CONSTRUCTION SERVICES,1
INDIANA,2006,BEST BUDDIES INTERNATIONAL,no,,1
INDIANA,2006,BHC MEADOWS,no,,1
INDIANA,2006,BHC VALLE VISTA,no,,1
INDIANA,2006,BINGHAM & MCHALE,yes,LAWYERS & LOBBYISTS,3
INDIANA,2006,"BINGHAM MCHALE, LLP",no,,5
INDIANA,2006,"BINGHAM MCHALES, LLP",no,,1
INDIANA,2006,"BLISS IN, INC",no,,1
INDIANA,2006,BLUE & CO,yes,ACCOUNTANTS,2
INDIANA,2006,BLUE CHIP CASINO,no,,1
INDIANA,2006,"BLUE SKY CASINO, LLC",no,,1
INDIANA,2006,BOARD OF COMMISSIONERS OF HARRISON COUNTY IN,no,,1
INDIANA,2006,BOARD OF COMMISSIONERS OF RIPLEY COUNTY,no,,1
INDIANA,2006,BOARD OF COMMISSIONERS OF VANDERBURGH CO,no,,1
INDIANA,2006,BOONE COUNTY BOARD OF COMMISSIONERS,no,,1
INDIANA,2006,"BOPP, COLESON & BOSTROM",no,,1
INDIANA,2006,BOSETREACY ASSOCIATES,yes,,3
INDIANA,2006,BOSETREACY ASSOCIATES LLC CLIENTS,no,,1
INDIANA,2006,BOSETREACY LLC,no,,1
INDIANA,2006,"BOYD CENTRAL REGION, INC",no,,2
INDIANA,2006,BOYLE & ASSOCIATES,yes,BUSINESS SERVICES,1
INDIANA,2006,BP CORPORATION,no,,1
INDIANA,2006,BP NORTH AMERICA,yes,OIL & GAS,1
INDIANA,2006,BRISTOL-MYERS SQUIBB,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
INDIANA,2006,BROTHERHOOD OF MAINTENANCE OF WAY EMPLOYES / BMWED,yes,TRANSPORTATION UNIONS,1
INDIANA,2006,BUILD INDIANA COUNCIL,yes,GENERAL CONTRACTORS,2
INDIANA,2006,BUILDERS ASSN OF GRTR INDIANAPOLIS,no,,1
INDIANA,2006,"BUSINESS & ECONOMIC RESEARCH GROUP, LLC",no,,1
INDIANA,2006,CAESARS RIVERBOAT CASINO LLC,yes,,2
INDIANA,2006,"CAESARS RIVERBOAT CASINO, LLC",no,,1
INDIANA,2006,CAPITAL IMPROVEMENT BOARD OF MANAGERS,yes,,1
INDIANA,2006,CAPITAL IMPROVEMENT BOARD OF MANAGERS MARION COUNTY,no,,1
INDIANA,2006,CARESOURCE IN INC,no,,1
INDIANA,2006,"CARESOURCE INDIANA, INC",no,,1
INDIANA,2006,CASH AMERICA INTERNATIONAL,yes,PAYDAY/TITLE LOANS,1
INDIANA,2006,CASINO ASSN OF IN INC,no,,1
INDIANA,2006,"CD ENTERPRISES, LTD",yes,,1
INDIANA,2006,"CEC ENTERTAINMENT, INC",no,,1
INDIANA,2006,"CELEBRATION HALLOWEEN, INC",no,,1
INDIANA,2006,CENDANT,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
INDIANA,2006,CENTAUR,no,,2
INDIANA,2006,"CENTAUR, INC",no,,3
INDIANA,2006,CENTER FOR DIAGNOSTIC IMAGING,no,,1
INDIANA,2006,CENTER FOR INTERACTIVE LEARNING & COLLABORATION INC,no,,1
INDIANA,2006,CENTER TOWNSHIP OF MARION COUNTY,yes,,1
