State,Year,Name,Active,Industry,Number of Lobbyists
IOWA,2006,2006 APARTMENT OWNERS,no,,4
IOWA,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,5
IOWA,2006,6TH JUDICIAL DIST DEPT OF CORRECTIONAL SERV &COMM CORRECTION IMPROVEME,no,,1
IOWA,2006,A BROTHERHOOD AIMED TOWARD EDUCATION,yes,MISCELLANEOUS TRANSPORT,1
IOWA,2006,AAA MINNESOTA / IA,no,,2
IOWA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,4
IOWA,2006,ACADEMY OF OPTHAMOLOGY INC,no,,3
IOWA,2006,ACCOUNTANTS ASSOCIATION OF IOWA,no,ACCOUNTANTS,4
IOWA,2006,ACCOUNTANTS ASSOCIATION OF IOWA,no,,2
IOWA,2006,ACLU OF IOWA,no,OTHER/SINGLE ISSUE GROUPS,3
IOWA,2006,ACS STATE HEALTHCARE,no,,1
IOWA,2006,ADVANTAGE CAPITAL PARTNERS,yes,SECURITIES & INVESTMENT,3
IOWA,2006,AEAS OF IOWA,no,,1
IOWA,2006,AFSCME IOWA COUNCIL 61,yes,PUBLIC SECTOR UNIONS,1
IOWA,2006,AFSCME UNIDENTIFIED,yes,PUBLIC SECTOR UNIONS,2
IOWA,2006,AG PROCESSING INC,yes,AGRICULTURAL SERVICES & PRODUCTS,2
IOWA,2006,AGRIBUSINESS ASSN OF IOWA,no,,6
IOWA,2006,AHLERS LAW FIRM,no,LAWYERS & LOBBYISTS,4
IOWA,2006,ALCOA,yes,,5
IOWA,2006,ALLIANCE FOR FAIR COMPETITION,no,,3
IOWA,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,2
IOWA,2006,ALLIANCE PIPELINE,yes,OIL & GAS,1
IOWA,2006,ALLIANT ENERGY,yes,ELECTRIC UTILITIES,5
IOWA,2006,ALLIANT FOR FAIR COMPETITION,no,,1
IOWA,2006,ALLIED GROUP,yes,INSURANCE,4
IOWA,2006,ALTER TRADING,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
IOWA,2006,AMCI,no,,1
IOWA,2006,AMCI (AMERICAN MANAGEMENT & CONSULTANTS INC),no,,3
IOWA,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,8
IOWA,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES,yes,CONSTRUCTION SERVICES,1
IOWA,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
IOWA,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,3
IOWA,2006,AMERICAN GENERAL FINANCE MANAGEMENT CORP (AIG),no,,4
IOWA,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
IOWA,2006,AMERICAN INSTITUTE OF ARCHITECTS IOWA,no,CONSTRUCTION SERVICES,4
IOWA,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,6
IOWA,2006,AMERICAN INTERNATIONAL COMPANIES (AIG),no,,6
IOWA,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",7
IOWA,2006,AMERICAN PROSTHETICS & ORTHOTICS,no,,5
IOWA,2006,AMERICAN RED CROSS,yes,OTHER/SINGLE ISSUE GROUPS,1
IOWA,2006,AMERICAN SOCIETY OF LANDSCAPE ARCHITECTS IOWA CHAPT,no,,3
IOWA,2006,AMERICAN WATER WORKS ASSOCIATION,yes,WATER UTILITIES,1
IOWA,2006,AMERISTAR CASINOS,yes,GAMBLING & CASINOS,6
IOWA,2006,AMOS IOWA ORGANIZING STRATEGY,no,,1
IOWA,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
IOWA,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",4
IOWA,2006,ANIMAL RESCUE LEAGUE OF IA,no,,1
IOWA,2006,ANIMAL RESCUE LEAGUE OF IOWA,no,,1
IOWA,2006,ANKENY ART CENTER,no,,1
IOWA,2006,APPLE INC,yes,COMPUTER EQUIPMENT & SERVICES,4
IOWA,2006,APPRISS INC,yes,COMPUTER EQUIPMENT & SERVICES,4
IOWA,2006,AQUILA,yes,ELECTRIC UTILITIES,1
IOWA,2006,AREA EDUCATION AGENCIES OF IOWA,no,,1
IOWA,2006,ARTISTIC WASTE,no,,5
IOWA,2006,ASSOCIATED BUILDERS & CONTRACTORS OF IOWA,yes,GENERAL CONTRACTORS,2
IOWA,2006,ASSOCIATED GENERAL CONTRACTORS OF IOWA,yes,GENERAL CONTRACTORS,4
IOWA,2006,ASSOCIATED PETROLEUM INDUSTRIES,yes,OIL & GAS,1
