State,Year,Name,Active,Industry,Number of Lobbyists
KANSAS,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
KANSAS,2006,"A, T T",no,,1
KANSAS,2006,AAA ALLIED GROUP,yes,INSURANCE,9
KANSAS,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,4
KANSAS,2006,ABATE OF KANSAS INC,yes,MISCELLANEOUS TRANSPORT,1
KANSAS,2006,ACCESSIBLE ARTS INC,no,,1
KANSAS,2006,ADAMS-CARTER GROUP,no,LAWYERS & LOBBYISTS,2
KANSAS,2006,AFSCME UNIDENTIFIED,yes,PUBLIC SECTOR UNIONS,2
KANSAS,2006,ALLEN CONSULTING,yes,LAWYERS & LOBBYISTS,1
KANSAS,2006,ALLEN COUNTY HOSPITAL,no,,4
KANSAS,2006,ALLIANCE FOR AUTOMOBILE MANUFACTURERS,no,,4
KANSAS,2006,ALLIANCE FOR KANSANS WITH DEVELOPMENTAL DISABILITIES,no,,1
KANSAS,2006,ALLTEL COMMUNICATIONS,yes,TELECOM SERVICES & EQUIPMENT,4
KANSAS,2006,AM. COUNCIL ENGINEERING COMP.,yes,,4
KANSAS,2006,AMAZON.COM,yes,RETAIL SALES,2
KANSAS,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,2
KANSAS,2006,AMERICAN CENTURY INVESTMENT,no,,3
KANSAS,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
KANSAS,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,2
KANSAS,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
KANSAS,2006,AMERICAN INSTITUTE OF ARCHITECTS KANSAS,yes,,1
KANSAS,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,5
KANSAS,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",4
KANSAS,2006,AMERICAN INVESTORS LIFE INSURANCE,yes,INSURANCE,2
KANSAS,2006,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
KANSAS,2006,AMERICAN MASSAGE THERAPY ASSOCIATION KANSAS CHAPTER,no,,4
KANSAS,2006,AMERICAN MEDICAL RESPONSE,yes,HEALTH SERVICES,1
KANSAS,2006,AMERICAN RED CROSS,yes,OTHER/SINGLE ISSUE GROUPS,1
KANSAS,2006,AMERICAN SUBCONTRACTORS ASSOCIATION KANSAS CITY CHAPTER,no,,2
KANSAS,2006,AMERICANS FOR PROSPERITY,yes,CONSERVATIVE POLICY ORGANIZATION,2
KANSAS,2006,AMERICANS FOR PROSPERITY-KANSAS,no,,1
KANSAS,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,2
KANSAS,2006,AMERISTAR CASINOS,yes,GAMBLING & CASINOS,1
KANSAS,2006,AMERUS ANNUITY GROUP CORPORATION,no,,3
KANSAS,2006,AMGEN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
KANSAS,2006,AMNESTY INTERNATIONAL,yes,HUMAN RIGHTS,1
KANSAS,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
KANSAS,2006,ANADARKO PETROLEUM,yes,OIL & GAS,1
KANSAS,2006,ANDERSON COUNTY FARM BUREAU,no,,1
KANSAS,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",3
KANSAS,2006,APOLLO GROUP,yes,EDUCATION,1
KANSAS,2006,AQUILA CORP,no,,2
KANSAS,2006,ASA MARKETING GROUP,yes,BUSINESS SERVICES,1
KANSAS,2006,ASSOCIATED BUILDERS & CONTRACTORS HEART OF AMERICA CHAPTER,yes,GENERAL CONTRACTORS,4
KANSAS,2006,ASSOCIATED BUILDERS & CONTRACTORS OF KANSAS,yes,GENERAL CONTRACTORS,1
KANSAS,2006,ASSOCIATED PETROLEUM INDUSTRIES,yes,OIL & GAS,1
KANSAS,2006,ASSOCIATION OF CMHCS OF KANSAS,no,,1
KANSAS,2006,ASSOCIATION OF COMMUNITY MENTAL HEALTH CENTERS OF KANSAS,yes,,2
KANSAS,2006,ASSOCIATION OF ETHANOL PROCESSORS,yes,MISCELLANEOUS ENERGY,1
