State,Year,Name,Active,Industry,Number of Lobbyists
KENTUCKY,2006,4TH STREET LIVE LLC,no,,1
KENTUCKY,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
KENTUCKY,2006,ACC CAPITAL HOLDINGS,yes,REAL ESTATE,3
KENTUCKY,2006,ACCESS TO JUSTICE FOUNDATION,no,,1
KENTUCKY,2006,ACLU OF KENTUCKY,no,OTHER/SINGLE ISSUE GROUPS,4
KENTUCKY,2006,ACORDIA EMPLOYERS SERVICE,no,,1
KENTUCKY,2006,ACT INC,yes,REAL ESTATE,3
KENTUCKY,2006,AETNA,yes,INSURANCE,1
KENTUCKY,2006,AFSCME COUNCIL 62,yes,PUBLIC SECTOR UNIONS,3
KENTUCKY,2006,AIK COMP GROUP,no,,1
KENTUCKY,2006,AIR METHODS CORP,yes,HEALTH SERVICES,2
KENTUCKY,2006,AIR PRODUCTS & CHEMICALS,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,3
KENTUCKY,2006,AK STEEL CORPORATION,yes,,3
KENTUCKY,2006,ALCAN PRIMARY PRODUCTS CORPORATION,no,,5
KENTUCKY,2006,ALCOA,yes,,1
KENTUCKY,2006,ALL AMERICAN CIGARETTE WHOLESALE LLC,no,,4
KENTUCKY,2006,ALLIANCE COAL,yes,MINING,6
KENTUCKY,2006,ALLIANCE FOR RIGHTEOUSNESS INC,no,,1
KENTUCKY,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
KENTUCKY,2006,ALLSTATE INSURANCE,yes,INSURANCE,1
KENTUCKY,2006,ALLTEL COMMUNICATIONS,yes,TELECOM SERVICES & EQUIPMENT,4
KENTUCKY,2006,ALMOST FAMILY INC,yes,,3
KENTUCKY,2006,ALZHEIMERS ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
KENTUCKY,2006,AMAZON.COM,yes,RETAIL SALES,4
KENTUCKY,2006,AMERICAN ASSOCIATION OF PUBLISHERS,yes,PRINTING & PUBLISHING,3
KENTUCKY,2006,AMERICAN ASSOCIATION OF RETIRED PERSONS,no,,1
KENTUCKY,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,2
KENTUCKY,2006,AMERICAN CAPITAL HOLDINGS,no,,3
KENTUCKY,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
KENTUCKY,2006,AMERICAN DIABETES ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
KENTUCKY,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
