State,Year,Name,Active,Industry,Number of Lobbyists
LOUISIANA,2002,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,2
LOUISIANA,2002,A M A DISTRIBUTORS,no,,1
LOUISIANA,2002,AARP,yes,ELDERLY/SOCIAL SECURITY,1
LOUISIANA,2002,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
LOUISIANA,2002,ACADIAN AMBULANCE SERVICE,yes,HEALTH SERVICES,2
LOUISIANA,2002,ACE CASH EXPRESS,yes,PAYDAY/TITLE LOANS,2
LOUISIANA,2002,ACORN,yes,,1
LOUISIANA,2002,ADAMS & REESE,yes,LAWYERS & LOBBYISTS,10
LOUISIANA,2002,ADVANCE AMERICA CASH ADVANCE CENTERS,yes,PAYDAY/TITLE LOANS,2
LOUISIANA,2002,ADVANCED STRATEGIES INC,yes,,1
LOUISIANA,2002,ADVANTAGE CAPITAL MANAGEMENT CORP,yes,SECURITIES & INVESTMENT,2
LOUISIANA,2002,ADVANTAGE CAPITAL PARTNERS,yes,SECURITIES & INVESTMENT,2
LOUISIANA,2002,ADVISE & CONSENT,no,,3
LOUISIANA,2002,ADVISORY SERVICES INC,no,,1
LOUISIANA,2002,AFSCME LOUISIANA COUNCIL 17,yes,,2
LOUISIANA,2002,AIR PRODUCTS & CHEMICALS,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,5
LOUISIANA,2002,ALERT (ALLIANCE FOR LOWER ELECTRIC RATES TODAY),no,,2
LOUISIANA,2002,ALGIERS MUSIC,no,,1
LOUISIANA,2002,ALLIANCE OF AMERICAN INSURERS,no,,3
LOUISIANA,2002,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,5
LOUISIANA,2002,ALLSTATE INSURANCE,yes,INSURANCE,1
LOUISIANA,2002,ALLTEL COMMUNICATIONS,yes,TELECOM SERVICES & EQUIPMENT,2
LOUISIANA,2002,ALTERNATIVES TO INCARCERATION,no,,1
LOUISIANA,2002,ALTON OCHSNER MEDICAL FOUNDATION,no,,1
LOUISIANA,2002,ALTRIA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
LOUISIANA,2002,AMAX METALS RECOVERY INC,no,,1
LOUISIANA,2002,AMERICAN ACADEMY OF OPTHAMOLOGY,yes,,1
LOUISIANA,2002,AMERICAN ASSN OF ANESTHESIOLOGIST ASSISTANTS,no,,2
LOUISIANA,2002,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,5
LOUISIANA,2002,AMERICAN CLAIMS EXPEDITORS,no,,1
LOUISIANA,2002,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
LOUISIANA,2002,AMERICAN DENTAL PARTNERS,no,,2
LOUISIANA,2002,AMERICAN ELECTRIC POWER,yes,ELECTRIC UTILITIES,2
LOUISIANA,2002,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",2
LOUISIANA,2002,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
LOUISIANA,2002,AMERICAN GENERAL CORPORATION,yes,INSURANCE,1
LOUISIANA,2002,AMERICAN GENERAL FINANCE,yes,FINANCE & CREDIT COMPANIES,1
LOUISIANA,2002,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
LOUISIANA,2002,AMERICAN INSTITUTE OF ARCHITECTS LOUISIANA,yes,,1
LOUISIANA,2002,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,2
LOUISIANA,2002,AMERICAN MANAGEMENT SYSTEMS,yes,BUSINESS SERVICES,1
LOUISIANA,2002,AMERICAN MASSAGE THERAPY ASSN-LA CHAPTER,no,,1
LOUISIANA,2002,AMERICAN MULTI-CINEMA INC,no,,1
LOUISIANA,2002,AMERICAN OSTEOPATHIC ASSOCIATION,yes,,5
LOUISIANA,2002,AMERICAN RESORT DEVELOPMENT ASSOCIATION,yes,,6
LOUISIANA,2002,AMERIHEALTH MERCY,yes,HEALTH SERVICES,5
LOUISIANA,2002,AMF ASSN CONSULTING & GOVERNMENTAL RELATION,no,,1
LOUISIANA,2002,AMODISYS,no,,1
