State,Year,Name,Active,Industry,Number of Lobbyists
MAINE,2006,AAA NORTHERN NEW ENGLAND,no,,1
MAINE,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,2
MAINE,2006,ACADIA INSURANCE COMPANY,no,,1
MAINE,2006,ACLU OF MAINE,yes,OTHER/SINGLE ISSUE GROUPS,1
MAINE,2006,AETNA,yes,INSURANCE,2
MAINE,2006,AFFORDABLE RATE COALITION (ARC),no,,1
MAINE,2006,AFSCME COUNCIL 93,yes,PUBLIC SECTOR UNIONS,1
MAINE,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
MAINE,2006,ALPHA ONE,no,,1
MAINE,2006,ALZHEIMERS ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
MAINE,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,2
MAINE,2006,AMERICAN CHEMISTRY COUNCIL,yes,CHEMICAL & RELATED MANUFACTURING,2
MAINE,2006,AMERICAN COATINGS ASSOCIATION,yes,CHEMICAL & RELATED MANUFACTURING,1
MAINE,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
MAINE,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
MAINE,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
MAINE,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
MAINE,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
MAINE,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
MAINE,2006,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
MAINE,2006,AMERICAN RESORT DEVELOPMENT ASSOCIATION,yes,LODGING & TOURISM,1
MAINE,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,1
MAINE,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
MAINE,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",1
MAINE,2006,ANTHEM INC,yes,INSURANCE,2
MAINE,2006,APPLE INC,yes,COMPUTER EQUIPMENT & SERVICES,1
MAINE,2006,ASSOCATION OF HOME APPLIANCE MANUFACTURERS,no,,1
MAINE,2006,ASSOCIATED BUILDERS & CONTRACTORS OF MAINE,yes,GENERAL CONTRACTORS,1
MAINE,2006,ASSOCIATED GENERAL CONTRACTORS OF MAINE,yes,GENERAL CONTRACTORS,2
MAINE,2006,ASSOCIATED PETROLEUM INDUSTRIES,yes,OIL & GAS,1
MAINE,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
MAINE,2006,AT&T,yes,TELECOM SERVICES & EQUIPMENT,1
MAINE,2006,ATV MAINE,no,,1
MAINE,2006,BANGOR GAS COMPANY,no,,1
MAINE,2006,BANGOR HYDRO ELECTRIC CO,yes,ELECTRIC UTILITIES,1
MAINE,2006,BANK OF AMERICA,yes,COMMERCIAL BANKS,2
MAINE,2006,BATH IRON WORKS,yes,SEA TRANSPORT,3
MAINE,2006,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
MAINE,2006,BROOKEFIELD ASSET MANAGEMENT INC,no,,1
MAINE,2006,CAREMARK RX INC,yes,,1
MAINE,2006,CASELLA WASTE SYSTEMS,yes,WASTE MANAGEMENT,3
MAINE,2006,CATHOLIC CHARITIES OF MAINE,no,,1
MAINE,2006,CENDANT,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
MAINE,2006,CENTER FOR BEHAVIORAL HEALTH D / B / A DISCOVERY HOUSE,no,,1
MAINE,2006,CENTER FOR RESPONSIBLE LENDING,yes,,1
MAINE,2006,CENTRAL MAINE MEDICAL CENTER,no,,1
MAINE,2006,CENTRAL MAINE POWER,yes,ELECTRIC UTILITIES,4
MAINE,2006,CHEBEAGUE SECESSION ASSOCIATION,no,,1
MAINE,2006,CHILDRENS CAMP ALLIANCE OF MAINE,yes,,1
MAINE,2006,CHRISTAIN CIVIC LEAGUE OF MAINE,no,,1
MAINE,2006,CHRISTIAN SCIENCE COMMITTEE ON PUBLICATION,no,CHRISTIAN CONSERVATIVE,1
MAINE,2006,CIANBRO CORPORATION,yes,,1
MAINE,2006,CIGAR ASSOCIATION OF AMERICA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
MAINE,2006,CIGNA CORP,yes,INSURANCE,1
MAINE,2006,CINGULAR WIRELESS,yes,TELECOM SERVICES & EQUIPMENT,1
MAINE,2006,CITIGROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
MAINE,2006,CITY OF LEWISTON,no,,1
MAINE,2006,CITY OF OLD TOWN,no,,1
MAINE,2006,CITY OF PORTLAND,no,,1
MAINE,2006,COASTAL ENTERPRISES INC,yes,,1
MAINE,2006,COMMERCIAL PAVING & RECYCLING COMPANY,no,,1
MAINE,2006,COMMUNITY FINANCIAL SERVICES ASSOCIATION OF AMERICA,yes,PAYDAY/TITLE LOANS,1
MAINE,2006,CONSTELLATION ENERGY,yes,ELECTRIC UTILITIES,1
MAINE,2006,CONSTELLATION NEW ENERGY,yes,ELECTRIC UTILITIES,3
MAINE,2006,CONSTRUCTION SERVICES GROUP,no,,1
MAINE,2006,CONSUMERS FOR AFFORDABLE HEALTH CARE,no,,1
MAINE,2006,COVENTRY FIRST,yes,INSURANCE,1
MAINE,2006,DAY ONE,no,,1
MAINE,2006,DEHART & DARR ASSOCIATES INC,no,,1
MAINE,2006,DIAGEO,yes,"BEER, WINE & LIQUOR",2
MAINE,2006,DIRIGO ELECTRIC COOPERATIVE,no,,1
MAINE,2006,DISABILITY RIGHTS CENTER OF MAINE,no,,1
MAINE,2006,DISCOUNT BEVERAGE & REDEMPTION CENTER INC,yes,,1
MAINE,2006,DOMTAR INC,no,,1
MAINE,2006,EASTERN MAINE HEALTH CARE,no,,1
MAINE,2006,EASTERN MAINE HEALTHCARE,no,,1
MAINE,2006,EBAY,yes,COMPUTER EQUIPMENT & SERVICES,1
MAINE,2006,ELI LILLY & CO,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
MAINE,2006,EMERA INC,no,ELECTRIC UTILITIES,1
MAINE,2006,ENVIRONMENT MAINE,yes,PRO-ENVIRONMENTAL POLICY,1
MAINE,2006,EQUALITY MAINE,yes,,1
MAINE,2006,FAMILY PLANNING ASSOCIATION OF MAINE,yes,,1
MAINE,2006,FELD ENTERTAINMENT,yes,LIVE THEATER/OTHER ENTERTAINMENT PRODUCTIONS,1
MAINE,2006,FIRST ATLANTIC HEALTH CARE,no,,1
MAINE,2006,FOREST PRODUCTS GROUP TRUST,no,,1
MAINE,2006,FPL ENERGY,yes,MISCELLANEOUS ENERGY,1
MAINE,2006,GAS APPLIANCE MANUFACTURERS ASSOCIATION,yes,,1
MAINE,2006,GENERAL MOTORS,yes,AUTOMOTIVE,1
MAINE,2006,GENPOWER LLC,no,,1
MAINE,2006,GLAXOSMITHKLINE,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
MAINE,2006,GROCERY MANUFACTURERS ASSOCIATION,yes,FOOD PROCESSING & SALES,1
MAINE,2006,GROWSMART MAINE,yes,,1
MAINE,2006,HANNAFORD BROTHERS CO,yes,FOOD PROCESSING & SALES,2
MAINE,2006,HERTZ CORP,yes,AUTOMOTIVE,1
MAINE,2006,HOME BUILDERS & REMODELERS ASSOCIATION OF MAINE,no,,1
MAINE,2006,HONEYWELL INTERNATIONAL,yes,AIR TRANSPORT,1
MAINE,2006,ILLINOIS TOOL WORKS,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
MAINE,2006,INDEPENDENT ENERGY PRODUCERS OF MAINE,yes,MISCELLANEOUS ENERGY,2
MAINE,2006,INDUSTRIAL ENERGY CONSUMER GROUP,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,2
MAINE,2006,INTERNATIONAL PAPER,yes,FORESTRY & FOREST PRODUCTS,1
MAINE,2006,ISO NEW ENGLAND,no,MISCELLANEOUS ENERGY & NATURAL RESOURCES,1
MAINE,2006,JD IRVING,no,,1
MAINE,2006,JOBS FOR MAINES GRADUATES,no,,1
MAINE,2006,KENNEBEC VALLEY MENTAL HEALTH CENTER,no,,1
MAINE,2006,KRAFT FOODS GLOBAL INC,yes,,1
MAINE,2006,LEGAL SERVICES FOR THE ELDERLY INC,no,,1
MAINE,2006,LEWISTON AUBURN RAILROAD COMPANY,no,,1
MAINE,2006,LIFEFLIGHT OF MAINE,no,,1
MAINE,2006,LINCOLN PAPER & TISSUE,yes,FORESTRY & FOREST PRODUCTS,1
MAINE,2006,LL BEAN,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
MAINE,2006,LONG TERM CARE OMBUDSMAN PROGRAM,no,,1
MAINE,2006,MAINE ADULT EDUCATION ASSOCIATION,yes,EDUCATION,1
MAINE,2006,MAINE AFFORDABLE RENTAL HOUSING COALITION,no,,1
MAINE,2006,MAINE AFL-CIO,yes,GENERAL TRADE UNIONS,1
MAINE,2006,MAINE AGGREGATE ASSOCIATION,yes,BUILDING MATERIALS & EQUIPMENT,1
MAINE,2006,MAINE AMBULANCE ASSOCIATION,yes,HEALTH SERVICES,1
MAINE,2006,MAINE AQUACULTURE ASSOCIATION,yes,,1
MAINE,2006,MAINE ASC COALITION,no,,1
MAINE,2006,MAINE ASSOCIATION FOR CHARTER SCHOOLS,no,,1
MAINE,2006,MAINE ASSOCIATION FOR COMMUNITY SERVICE PROVIDERS,no,,1
MAINE,2006,MAINE ASSOCIATION OF AREA AGENCIES ON AGING,no,,1
MAINE,2006,MAINE ASSOCIATION OF BROADCASTERS,yes,,1
MAINE,2006,MAINE ASSOCIATION OF COMMUNITY BANKS,yes,,1
