State,Year,Name,Active,Industry,Number of Lobbyists
MARYLAND,2006,1000 FRIENDS OF MARYLAND,no,BUSINESS ASSOCIATIONS,2
MARYLAND,2006,1199SEIU UNITED HEALTHCARE WORKERS EAST MARYLAND-DC DIVISION,yes,GENERAL TRADE UNIONS,1
MARYLAND,2006,1199SEIU UNITED HEALTHCARE WORKERS NEW JERSEY DIVISION,yes,GENERAL TRADE UNIONS,1
MARYLAND,2006,7-ELEVEN,yes,OIL & GAS,1
MARYLAND,2006,A BETTER PLAN FOR 32 ASSOCIATION,no,,1
MARYLAND,2006,AAA MID-ATLANTIC,yes,INSURANCE,4
MARYLAND,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,4
MARYLAND,2006,ABATE OF MARYLAND,yes,MISCELLANEOUS TRANSPORT,1
MARYLAND,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
MARYLAND,2006,ABILITIES NETWORK,no,,4
MARYLAND,2006,ACA CAPITAL,no,,3
MARYLAND,2006,ACC CAPITAL HOLDINGS,yes,REAL ESTATE,3
MARYLAND,2006,ACCENTURE,yes,BUSINESS SERVICES,6
MARYLAND,2006,ACCESS,no,,1
MARYLAND,2006,ACLU OF MARYLAND,yes,OTHER/SINGLE ISSUE GROUPS,6
MARYLAND,2006,ACTIVE DAY INC,yes,,5
MARYLAND,2006,ADOPTIONS TOGETHER,no,,5
MARYLAND,2006,ADVANCED ENGINEERING & PLANNING CORPORATION INC,no,,1
MARYLAND,2006,ADVENTIST HEALTH CARE,yes,HOSPITALS & NURSING HOMES,3
MARYLAND,2006,ADVOCATES FOR CHILDREN & YOUTH,no,HUMAN RIGHTS,7
MARYLAND,2006,ADVOCATES FOR HIGHWAY & AUTO SAFETY,no,,1
MARYLAND,2006,ADVOCATES FOR TRANSPORTATION REFORM,no,OTHER/SINGLE ISSUE GROUPS,1
MARYLAND,2006,AES CORP,yes,ELECTRIC UTILITIES,2
MARYLAND,2006,"AES SPARROWS POINT LNG, LLC C / O AARON T SAMSON, PRESIDENT",no,,5
MARYLAND,2006,AETNA,yes,INSURANCE,2
MARYLAND,2006,AFFILIATED COMPUTER SERVICES,yes,COMPUTER EQUIPMENT & SERVICES,9
MARYLAND,2006,AFSCME COUNCIL 92,yes,PUBLIC SECTOR UNIONS,3
MARYLAND,2006,AGENCY INSURANCE CO OF MARYLAND,yes,INSURANCE,1
MARYLAND,2006,AGENCY SERVICES INC,yes,,2
MARYLAND,2006,AGL RESOURCES,yes,OIL & GAS,1
MARYLAND,2006,AIDS LEGISLATIVE COMMITTEE,no,,2
MARYLAND,2006,AIG VARIABLE ANNUITY LIFE INSURANCE COMPANY VALIC,no,,4
MARYLAND,2006,AIMCO,yes,REAL ESTATE,1
MARYLAND,2006,"AIR CONDITIONING CONTRACTORS OF AMERICA, NATIONAL CHAPTER",no,,1
MARYLAND,2006,AIR METHODS,no,,2
MARYLAND,2006,ALCOA,yes,,6
MARYLAND,2006,"ALEXANDER, CLEAVER P A",no,,1
MARYLAND,2006,ALL RISKS LIMITED,yes,INSURANCE,1
MARYLAND,2006,ALLEGANY COLLEGE OF MARYLAND,no,,1
MARYLAND,2006,ALLEGANY RACING LLC / OCEAN DOWNS RACE TRACK,no,,2
MARYLAND,2006,ALLEGHENY ENERGY,yes,ELECTRIC UTILITIES,3
MARYLAND,2006,ALLEGIS GROUP,yes,BUSINESS SERVICES,2
MARYLAND,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,2
MARYLAND,2006,ALLIANCE OF MARYLAND DENTAL PLANS C / O FUNK & BOLTON P A,no,,2
MARYLAND,2006,ALLSTATE CHECK CASHING,no,,1
MARYLAND,2006,ALLSTATE INSURANCE,yes,INSURANCE,1
MARYLAND,2006,ALTERNATIVE DIRECTIONS INC,yes,,1
MARYLAND,2006,ALTERNATIVE MEDICINE INTEGRATION OF MARYLAND LLC,no,,7
MARYLAND,2006,ALZHEIMERS ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
MARYLAND,2006,"AMERICAN ACADEMY OF PEDIATRICS, MARYLAND CHAPTER",no,,3
MARYLAND,2006,AMERICAN ASSOCIATION OF PUBLISHERS,yes,PRINTING & PUBLISHING,2
MARYLAND,2006,AMERICAN BOARD FOR CERTIFICATIONOF TEACHER EXCELLENCE,no,,1
MARYLAND,2006,AMERICAN BRIDGE COMPANY,no,,1
MARYLAND,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,5
MARYLAND,2006,AMERICAN CHEMISTRY COUNCIL,yes,CHEMICAL & RELATED MANUFACTURING,3
MARYLAND,2006,AMERICAN COLLEGE OF EMERGENCY PHYSICIANS / MARYLAND CHAPTER,no,,1
MARYLAND,2006,AMERICAN COLLEGE OF NURSE MIDWIVES MARYLAND CHAPTER,no,,1
MARYLAND,2006,AMERICAN COUNCIL FOR AN ENERGY-EFFICIENT ECONOMY,no,,1
MARYLAND,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF MARYLAND,yes,CONSTRUCTION SERVICES,4
MARYLAND,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
MARYLAND,2006,AMERICAN EUROPCOPER LLC,no,,3
MARYLAND,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
MARYLAND,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
MARYLAND,2006,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME,yes,PUBLIC SECTOR UNIONS,4
MARYLAND,2006,AMERICAN FOREST & PAPER ASSOCIATION,yes,FORESTRY & FOREST PRODUCTS,2
MARYLAND,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
MARYLAND,2006,AMERICAN INSTITUTE OF ARCHITECTS MARYLAND,yes,CONSTRUCTION SERVICES,3
MARYLAND,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,2
MARYLAND,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",2
MARYLAND,2006,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,7
MARYLAND,2006,AMERICAN MASSAGE THERAPY ASSOCIATION MARYLAND CHAPTER,yes,HEALTH PROFESSIONALS,1
MARYLAND,2006,AMERICAN PHYSICAL THERAPY ASSOCIATION OF MD INC,no,,1
MARYLAND,2006,AMERICAN SOCIETY OF COMPOSERS AUTHORS & PUBLISHERS ASCAP,yes,,1
MARYLAND,2006,AMERICAN SUBCONTRACTORS ASSOCIATION OF BALTIMORE,yes,GENERAL CONTRACTORS,3
MARYLAND,2006,AMERICAN TORT REFORM ASSOCIATION,yes,,2
MARYLAND,2006,AMERICAN TRAFFIC SOLUTIONS,yes,MISCELLANEOUS TRANSPORT,3
MARYLAND,2006,AMERICANS FOR BALANCED ENERGY CHOICES,no,,1
MARYLAND,2006,AMERICANS UNITED FOR SEPARATION OF CHURCH & STATE,yes,,1
MARYLAND,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,2
MARYLAND,2006,AMERICHOICE,yes,HEALTH SERVICES,1
MARYLAND,2006,AMERICHOICE HEALTH SERVICES INC,no,,2
MARYLAND,2006,AMERIGROUP CORP,yes,HEALTH SERVICES,4
MARYLAND,2006,AMERINATIONAL COMMUNITY SERVICES INC,no,,1
MARYLAND,2006,AMGEN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
MARYLAND,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",3
MARYLAND,2006,ANN ARUNDEL COUNTY MEDICAL SOCIETY,no,,1
MARYLAND,2006,ANNAPOLIS & ANNE ARUNDEL COUNTY CHAMBER OF COMMERCE,no,,1
MARYLAND,2006,ANNAPOLIS BUSINESS PARTNERSHIP,no,,1
MARYLAND,2006,ANNE ARUNDEL COUNTY ASSOCIATION OF REALTORS INC,yes,,1
MARYLAND,2006,ANNE ARUNDEL MEDICAL CENTER,no,,1
MARYLAND,2006,AOL TIME WARNER,yes,COMPUTER EQUIPMENT & SERVICES,6
MARYLAND,2006,APARTMENT & OFFICE BUILDING ASSOCIATION OF METROPOLITAN WASHINGTON,yes,,2
