State,Year,Name,Active,Industry,Number of Lobbyists
MASSACHUSETTS,2006,1199SEIU UNITED HEALTHCARE WORKERS NEW JERSEY DIVISION,yes,GENERAL TRADE UNIONS,6
MASSACHUSETTS,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,4
MASSACHUSETTS,2006,AAA SOUTHERN NEW ENGLAND,yes,,1
MASSACHUSETTS,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,3
MASSACHUSETTS,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,5
MASSACHUSETTS,2006,ACCENTURE,yes,BUSINESS SERVICES,1
MASSACHUSETTS,2006,ACCESS,no,,1
MASSACHUSETTS,2006,ACCESSIBILITY EQUIPMENT MANUFACTURERS ASSOCIATION,no,,4
MASSACHUSETTS,2006,ACLU OF MASSACHUSETTS,no,OTHER/SINGLE ISSUE GROUPS,1
MASSACHUSETTS,2006,ACUSPHERE INC,no,,2
MASSACHUSETTS,2006,AD MAKEPEACE,no,,1
MASSACHUSETTS,2006,ADMIT ONE TICKET AGENCY,no,,3
MASSACHUSETTS,2006,ADOBE SYSTEMS INC,no,,2
MASSACHUSETTS,2006,ADP TOTAL SOURCE,no,,2
MASSACHUSETTS,2006,ADVANCED CELL TECHNOLOGY,no,,1
MASSACHUSETTS,2006,ADVANCED DRAINAGE SYSTEMS,yes,BUILDING MATERIALS & EQUIPMENT,1
MASSACHUSETTS,2006,AEA (AMERICAN ELECTRONICS ASSOCIATION),no,,2
MASSACHUSETTS,2006,AES CORAL INC,no,,3
MASSACHUSETTS,2006,AETNA,yes,INSURANCE,1
MASSACHUSETTS,2006,AFFILIATED COMPUTER SERVICES,yes,COMPUTER EQUIPMENT & SERVICES,5
MASSACHUSETTS,2006,AFSCME COUNCIL 93,yes,PUBLIC SECTOR UNIONS,3
MASSACHUSETTS,2006,AIDS ACTION COMMITTEE,no,,1
MASSACHUSETTS,2006,AIG,no,,2
MASSACHUSETTS,2006,ALL VISION LLC,no,,1
MASSACHUSETTS,2006,ALLIANCE IMAGING INC,no,,1
MASSACHUSETTS,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,2
MASSACHUSETTS,2006,ALLIANCE TO PROTECT NANTUCKET SOUND,no,,4
