State,Year,Name,Active,Industry,Number of Lobbyists
MICHIGAN,2006,2630 FEATHERSTONE LLC,no,,1
MICHIGAN,2006,4D PHARMACY MANAGEMENT CARE,no,,1
MICHIGAN,2006,7-ELEVEN,yes,OIL & GAS,3
MICHIGAN,2006,"A, B A T E",no,,1
MICHIGAN,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,6
MICHIGAN,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
MICHIGAN,2006,ABRAHAM REAL ESTATE INC,no,,1
MICHIGAN,2006,ACCENTURE,yes,BUSINESS SERVICES,3
MICHIGAN,2006,ACCIDENT FUND INSURANCE COMPANY OF AMERICA,yes,INSURANCE,1
MICHIGAN,2006,ACHIEVEMENT BUILDERS CORPORATION,yes,,1
MICHIGAN,2006,"ACKERMAN, DYNKOWSKI ACKERMAN",no,,1
MICHIGAN,2006,ACS STATE & LOCAL SOLUTIONS INC,yes,,2
MICHIGAN,2006,ACTIVE AERO CHARTER / USA JET,no,,1
MICHIGAN,2006,ADAMS OUTDOOR ADVERTISING,yes,BUSINESS SERVICES,1
MICHIGAN,2006,ADP TOTAL SOURCE,no,,3
MICHIGAN,2006,ADVANCE AMERICA CASH ADVANCE CENTERS,yes,PAYDAY/TITLE LOANS,1
MICHIGAN,2006,ADVANTAGE CONSULTING GROUP,yes,,2
MICHIGAN,2006,ADVO,yes,,2
MICHIGAN,2006,ADVOCACY SPECIALISTS LLC,no,,1
MICHIGAN,2006,AETNA,yes,INSURANCE,5
MICHIGAN,2006,AFFILIATED BUILDING SERVICES CONTRACTORS OF MICHIGAN,no,,1
MICHIGAN,2006,AFFORDABLE HOMECARE,no,,1
MICHIGAN,2006,AFSCME MICHIGAN COUNCIL 25,yes,PUBLIC SECTOR UNIONS,1
MICHIGAN,2006,AGATE SOFTWARE INC,no,,1
MICHIGAN,2006,AIR CONDITIONING CONTRACTORS OF AMERICA MICHIGAN CHAPTER,no,,1
MICHIGAN,2006,AIRCRAFT OWNERS & PILOTS ASSOCIATION,yes,,1
MICHIGAN,2006,ALCOA,yes,,1
MICHIGAN,2006,ALLEGAN AREA EDUCATIONAL SERVICE AGENCY,no,,2
MICHIGAN,2006,ALLEGIANCE HEALTH,no,,1
MICHIGAN,2006,ALLERGAN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
MICHIGAN,2006,ALLSTATE INSURANCE,yes,INSURANCE,2
MICHIGAN,2006,ALPENA COMMUNITY COLLEGE,no,,1
MICHIGAN,2006,ALPENA MARC LLC,no,,1
MICHIGAN,2006,ALTARUM INSTITUTE,no,,1
MICHIGAN,2006,ALTICOR,yes,RETAIL SALES,5
MICHIGAN,2006,ALTRIA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,3
MICHIGAN,2006,ALZHEIMERS ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
MICHIGAN,2006,AM ASSOC OF NEUROMUSCULAR & ELECTRODIAGNOSTIC MEDICINE,no,,1
MICHIGAN,2006,AMERICAN ARAB CHALDEAN COMMUNITY OUTREACH SERVICES (AACCOS),no,,1
MICHIGAN,2006,AMERICAN ASSOCIATION OF UNIVERSITY PROFESSORS / AAUP,yes,PUBLIC SECTOR UNIONS,1
MICHIGAN,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,1
MICHIGAN,2006,AMERICAN COMMUNITY MUTUAL INSURANCE COMPANY,no,,4
MICHIGAN,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,2
MICHIGAN,2006,AMERICAN EAGLE SUPERSTORE INC,no,,1
MICHIGAN,2006,AMERICAN EDUCATION SYSTEMS LLC,no,,1
MICHIGAN,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",3
MICHIGAN,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
MICHIGAN,2006,AMERICAN FELLOWSHIP MUTUAL INSURANCE COMPANY,no,,1
MICHIGAN,2006,AMERICAN FIDELITY GROUP LTD,yes,,2
MICHIGAN,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
MICHIGAN,2006,AMERICAN INSITUTE OF ARCHITECTS MICHIGAN,yes,CONSTRUCTION SERVICES,1
MICHIGAN,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,2
MICHIGAN,2006,AMERICAN INTERLOCK LTD,no,,1
MICHIGAN,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",3
MICHIGAN,2006,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
MICHIGAN,2006,AMERICAN MASSAGE THERAPY ASSOCIATION MICHIGAN CHAPTER,no,,2
MICHIGAN,2006,AMERICAN MEDICAL RESPONSE,yes,HEALTH SERVICES,1
MICHIGAN,2006,AMERICAN MEDICAL SECURITY,yes,INSURANCE,1
MICHIGAN,2006,AMERICAN PHYSICIANS ASSURANCE CORPORATION,no,,2
MICHIGAN,2006,AMERICAN RED CROSS,yes,OTHER/SINGLE ISSUE GROUPS,1
MICHIGAN,2006,AMERICAN SOCIETY OF COMPOSERS AUTHORS & PUBLISHERS ASCAP,yes,,1
MICHIGAN,2006,AMERICAN SOCIETY OF EMPLOYERS,no,,1
MICHIGAN,2006,AMERICAN SUBCONTRACTORS UNIDENTIFIED,yes,GENERAL CONTRACTORS,2
MICHIGAN,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,2
MICHIGAN,2006,AMERIQUEST MORTGAGE COMPANY,no,,3
MICHIGAN,2006,AMERISTRATEGIES LLC,no,,1
MICHIGAN,2006,AMERISURE MUTUAL INSURANCE COMPANY,yes,,2
MICHIGAN,2006,AMGEN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
MICHIGAN,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,4
MICHIGAN,2006,ANCHOR ASSOCIATION,no,,1
MICHIGAN,2006,ANCHOR GAMING,no,,1
MICHIGAN,2006,ANDERSON GOVERNMENT RELATIONS,no,,1
MICHIGAN,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",1
MICHIGAN,2006,ANN ARBOR SPARK,no,,1
MICHIGAN,2006,ANN ARBOR SYMPHONY ORCHESTRA,no,,2
MICHIGAN,2006,APARTMENT ASSOCIATION OF MICHIGAN,yes,,2
MICHIGAN,2006,APOLLO GROUP,yes,EDUCATION,1
MICHIGAN,2006,APPLE INC,yes,COMPUTER EQUIPMENT & SERVICES,2
MICHIGAN,2006,APPLIED MEASUREMENT PROFESSIONALS,no,,1
MICHIGAN,2006,APPROVED CASH ADVANCE CENTERS LLC,no,,1
MICHIGAN,2006,ARAB AMERICAN & CHALDEAN COUNCIL,no,,1
MICHIGAN,2006,ARAB COMMUNITY CENTER FOR ECONOMIC & SOCIAL SERVICES,no,,1
MICHIGAN,2006,ARAMARK CORP,yes,MISCELLANEOUS SERVICES,1
MICHIGAN,2006,ARCHIMEDES GROUP,no,,1
MICHIGAN,2006,AREA AGENCIES ON AGING ASSOCIATION OF MICHIGAN,no,,1
MICHIGAN,2006,ARIALINK BROADBAND LLC,no,,1
MICHIGAN,2006,ARTSERVE MICHIGAN INC,no,,2
MICHIGAN,2006,ARVINMERITOR INC,no,,1
MICHIGAN,2006,ASEPTIC PACKAGING COUNCIL,no,,1
MICHIGAN,2006,ASHLEY CAPITAL LLC,no,,1
MICHIGAN,2006,ASSN OF LICENSED SUBSTANCE ABUSE ORGANIZATIONS INC,no,,1
MICHIGAN,2006,ASSOC GENERAL CONTRACTORS OF AMERICA GREATER DETROIT CHAPTER INC (THE),no,,1
MICHIGAN,2006,ASSOCIATED BUILDERS & CONTRACTORS OF MICHIGAN,yes,GENERAL CONTRACTORS,1
MICHIGAN,2006,ASSOCIATED FOOD & PETROLEUM DEALERS INC,yes,,2
MICHIGAN,2006,ASSOCIATED PETROLEUM INDUSTRIES,yes,OIL & GAS,1
MICHIGAN,2006,ASSOCIATION ADMINISTRATION INC,no,,3
MICHIGAN,2006,ASSOCIATION FOR FAIRNESS FOR NURSING HOMES,no,HOSPITALS & NURSING HOMES,1
MICHIGAN,2006,ASSOCIATION OF ACCREDITED CHILD & FAMILY AGENCIES/AACFA,yes,WELFARE/SOCIAL WORK,1
MICHIGAN,2006,ASSOCIATION OF BUSINESSES ADVOCATING TARIFF EQUITY (ABATE),no,,2
MICHIGAN,2006,ASSOCIATION OF INDEPENDENT COLLEGES & UNIVERSITIES OF MICHIGAN,yes,EDUCATION,1
MICHIGAN,2006,ASSOCIATION OF MICHIGAN PROFESSIONAL EMPLOYER ORGANIZATIONS,no,,2
MICHIGAN,2006,ASSOCIATION OF RV PARKS & CAMPGROUNDS OF MICHIGAN,no,,1
MICHIGAN,2006,ASSOCIATION OF SETTLEMENT COMPANIES,no,,1
MICHIGAN,2006,ASSOCIATION SERVICES OF MICHIGAN,no,,2
MICHIGAN,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
MICHIGAN,2006,ASURION CORP,yes,INSURANCE,1
MICHIGAN,2006,AT&T,yes,TELECOM SERVICES & EQUIPMENT,1
MICHIGAN,2006,ATRACS,no,,1
MICHIGAN,2006,AUTISM SOCIETY OF MICHIGAN,no,,2
MICHIGAN,2006,AUTO OWNERS INSURANCE COMPANY,no,,7
MICHIGAN,2006,AUTOMATIC APARTMENT LAUNDRIES INC,no,,1
MICHIGAN,2006,AUTOMATION ALLEY,no,,2
MICHIGAN,2006,AUTOMOTIVE HALL OF FAME INC,no,,1
MICHIGAN,2006,AUTOMOTIVE PARTS MANUFACTURERS ASSOCIATION,no,,1
MICHIGAN,2006,AUTOMOTIVE RECYCLERS OF MICHIGAN,yes,,2
MICHIGAN,2006,AVENTIS PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
MICHIGAN,2006,AXCESS FINANCIAL SERVICES,yes,PAYDAY/TITLE LOANS,1
MICHIGAN,2006,AXIOS INC,no,,1
MICHIGAN,2006,B J ALAN CO DBA PHANTOM FIREWORKS,yes,CHEMICAL & RELATED MANUFACTURING,1
MICHIGAN,2006,BANK OF AMERICA,yes,COMMERCIAL BANKS,3
MICHIGAN,2006,BARBARA ANN KARMANOS CANCER INSTITUTE,no,,1
MICHIGAN,2006,BARRIS SOTT DENN & DRIKER PLLC,no,,1
MICHIGAN,2006,BATTERY COUNCIL INTERNATIONAL,no,CHEMICAL & RELATED MANUFACTURING,1
MICHIGAN,2006,BATTLE CREEK UNLIMITED,no,,1
MICHIGAN,2006,BAUCKHAM SPARKS LOHRSTORFER THALL & SEEBER PC,no,,1
MICHIGAN,2006,BAY ARENAC INTERMEDIATE SCHOOL DISTRICT,no,,1
MICHIGAN,2006,BAY DE NOC COMMUNITY COLLEGE,no,,2
MICHIGAN,2006,BAY MILLS COMMUNITY COLLEGE,no,,1
MICHIGAN,2006,BAY MILLS INDIAN COMMUNITY,yes,TRIBAL GOVERNMENTS,1
MICHIGAN,2006,BAY REGIONAL MEDICAL CENTER,no,,1
MICHIGAN,2006,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
MICHIGAN,2006,BCA LEGISLATIVE COMMITTEE,no,,1
MICHIGAN,2006,BCN ADMINISTRATIVE SERVICES,no,,2
MICHIGAN,2006,BEAR STEARNS & CO,no,,5
MICHIGAN,2006,BEARINGPOINT INC,yes,BUSINESS SERVICES,1
MICHIGAN,2006,BEHAVIORAL CENTER OF MICHIGAN,no,,1
