State,Year,Name,Active,Industry,Number of Lobbyists
MISSISSIPPI,2006,1-800 CONTACTS,yes,HEALTH SERVICES,2
MISSISSIPPI,2006,12 MILE SOUTH COALITION,no,,1
MISSISSIPPI,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
MISSISSIPPI,2006,AAA AMBULANCE SERVICE,no,,1
MISSISSIPPI,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,9
MISSISSIPPI,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
MISSISSIPPI,2006,ACCEPTANCE LOAN COMPANY INC,yes,,1
MISSISSIPPI,2006,ACLU OF MISSISSIPPI,yes,OTHER/SINGLE ISSUE GROUPS,1
MISSISSIPPI,2006,ACS STATE & LOCAL SOLUTIONS INC,yes,,1
MISSISSIPPI,2006,ACS US GOVERNMENT HEALTHCARE,no,,1
MISSISSIPPI,2006,ADAMS & REESE,yes,LAWYERS & LOBBYISTS,2
MISSISSIPPI,2006,"ALABAMA EMERGENCY RESPONSE & RECOVERY, INC",no,,1
MISSISSIPPI,2006,ALCORN STATE UNIVERSITY,no,,2
MISSISSIPPI,2006,ALLIED WASTE INDUSTRIES INC,yes,,1
MISSISSIPPI,2006,ALTERNATIVES FOR LIFE TREATMENT & RECOVERY,no,,1
MISSISSIPPI,2006,AMERICAN ACADEMY OF PEDIATRICS-MS CHAPTER,no,,1
MISSISSIPPI,2006,AMERICAN ACADEMY OF PHYSICIAN ASSISTANTS,yes,HEALTH PROFESSIONALS,1
MISSISSIPPI,2006,"AMERICAN ASSOCIATION FOR RESPIRATORY CARE, MS CHAPTER",no,,1
MISSISSIPPI,2006,AMERICAN BOARD FOR CERTIFICATION OF TEACHER EXCELLENCE,no,,1
MISSISSIPPI,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,1
MISSISSIPPI,2006,"AMERICAN CONCRETE PAVEMENT ASSOCIATION, SE CHAPTER",no,,1
MISSISSIPPI,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES-MS,no,,2
MISSISSIPPI,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
MISSISSIPPI,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
MISSISSIPPI,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,2
MISSISSIPPI,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",2
MISSISSIPPI,2006,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,3
MISSISSIPPI,2006,AMERICAN MASSAGE THERAPY ASSOCIATION-MS CHAPTER,no,,1
MISSISSIPPI,2006,"AMERICAN MEDICAL RESPONSE, INC MOBILE MEDIC AMBULANCE SERVICES, INC",no,,1
MISSISSIPPI,2006,AMERICAN MODERN INSURANCE GROUP,no,,1
MISSISSIPPI,2006,"AMERICAN PROMOTIONAL EVENTS, INC DBA TNT FIREWORKS",no,,1
MISSISSIPPI,2006,AMERICAN RED CROSS,yes,OTHER/SINGLE ISSUE GROUPS,1
MISSISSIPPI,2006,AMERICAN SUBCONTRACTORS ASSOCIATION OF MISSISSIPPI,yes,GENERAL CONTRACTORS,1
MISSISSIPPI,2006,"AMERICAN WATER SERVICES COMPANY, INC",no,,1
MISSISSIPPI,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,1
MISSISSIPPI,2006,AMGEN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
MISSISSIPPI,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
MISSISSIPPI,2006,ANDERSON-TULLY COMPANY,no,,4
MISSISSIPPI,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",1
MISSISSIPPI,2006,APPRISS INC,yes,COMPUTER EQUIPMENT & SERVICES,1
MISSISSIPPI,2006,ARMOR CORRECTIONAL HEALTH SERVICES,yes,MISCELLANEOUS BUSINESS,1
MISSISSIPPI,2006,ASSOCIATED COLLECTORS OF MISSISSIPPI,no,,1
MISSISSIPPI,2006,ASSOCIATED GENERAL CONTRACTORS OF MISSISSIPPI INC,no,,2
MISSISSIPPI,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
MISSISSIPPI,2006,AT&T,yes,TELECOM SERVICES & EQUIPMENT,2
MISSISSIPPI,2006,AVENTIS PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
MISSISSIPPI,2006,AVOCA HOLDINGS,no,,1
MISSISSIPPI,2006,BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ PC,yes,,1
MISSISSIPPI,2006,BANK OF AMERICA,yes,COMMERCIAL BANKS,1
MISSISSIPPI,2006,BAPTIST HOMES,yes,,1
MISSISSIPPI,2006,BAPTIST MEMORIAL HEALTH CARE CORPORATION,no,,1
MISSISSIPPI,2006,"BARBOUR, GOVERNOR HALEY",no,,12
MISSISSIPPI,2006,BAXTER HEALTHCARE,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
MISSISSIPPI,2006,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
MISSISSIPPI,2006,"BEAR, STERNS & COMPANY INC",no,,6
MISSISSIPPI,2006,BEAU RIVAGE RESORTS INC,no,,2
MISSISSIPPI,2006,"BELLSOUTH TELECOMMUNICATIONS, INC",no,,6
MISSISSIPPI,2006,BEVERAGE ASSOCIATION OF MISSISSIPPI,yes,,1
MISSISSIPPI,2006,BEVERLY ENTERPRISES,yes,HOSPITALS & NURSING HOMES,1
MISSISSIPPI,2006,BLAKE ENTERPRISES,yes,FINANCE & CREDIT COMPANIES,1
MISSISSIPPI,2006,BLANK ROME LLC,yes,,1
MISSISSIPPI,2006,BLOSSMAN GAS INC,no,,2
MISSISSIPPI,2006,BLUE CROSS & BLUE SHIELD OF MISSISSIPPI INC,no,,2
MISSISSIPPI,2006,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,yes,,3
MISSISSIPPI,2006,BOURDEAUX & JONES,yes,,1
MISSISSIPPI,2006,BRISTOL-MYERS SQUIBB,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
MISSISSIPPI,2006,BUDDY MEDLIN & ASSOCIATES INC,yes,,3
MISSISSIPPI,2006,BUTLER SNOW OMARA STEVENS & CANNADA,yes,LAWYERS & LOBBYISTS,2
MISSISSIPPI,2006,CAMP DRESSER MCKEE INC,yes,,2
MISSISSIPPI,2006,CAPITOL ADVOCACY GROUP,yes,LAWYERS & LOBBYISTS,1
MISSISSIPPI,2006,CAPITOL COPYING & IMAGING,no,,1
MISSISSIPPI,2006,CAPITOL RESOURCES,yes,LAWYERS & LOBBYISTS,8
MISSISSIPPI,2006,CARFAX INC,yes,,1
MISSISSIPPI,2006,CATHOLIC CHARITIES INC,no,,1
MISSISSIPPI,2006,CATHOLIC DIOCESE OF JACKSON-HISPANIC MINISTRY,no,,1
MISSISSIPPI,2006,CELLULAR SOUTH,yes,TELECOM SERVICES & EQUIPMENT,4
MISSISSIPPI,2006,CENDANT,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
MISSISSIPPI,2006,CENTER FOR MISSISSIPPI HEALTH POLICY,no,,1
MISSISSIPPI,2006,CENTERPOINT ENERGY,yes,ELECTRIC UTILITIES,1
MISSISSIPPI,2006,CENTRAL MISSISSIPPI MEDICAL CENTER INC,no,,1
MISSISSIPPI,2006,CHEVRON CORP,yes,OIL & GAS,2
MISSISSIPPI,2006,CHILDRENS DEFENSE FUND,no,,1
MISSISSIPPI,2006,CHOICEPOINT INC,yes,,1
MISSISSIPPI,2006,CHOTARD STATE STREET DEVELOPMENT LLC,no,,1
MISSISSIPPI,2006,CIGAR ASSOCIATION OF AMERICA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
MISSISSIPPI,2006,CINGULAR WIRELESS,yes,TELECOM SERVICES & EQUIPMENT,1
MISSISSIPPI,2006,CIRCUS CIRCUS MISSISSIPPI INC DBA GOLD STRIKE RESORT,no,,1
MISSISSIPPI,2006,CISCO SYSTEMS,yes,COMPUTER EQUIPMENT & SERVICES,1
MISSISSIPPI,2006,CITIGROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
MISSISSIPPI,2006,"CITRIX SYSTEMS, INC",no,,1
MISSISSIPPI,2006,CITY OF BILOXI,no,,1
MISSISSIPPI,2006,CITY OF HOLLY SPRINGS,no,,1
MISSISSIPPI,2006,CITY OF JACKSON,no,,1
MISSISSIPPI,2006,CITY OF MERIDIAN,no,,1
MISSISSIPPI,2006,CITY OF NATCHEZ,no,,2
MISSISSIPPI,2006,CITY OF OCEAN SPRINGS,no,,1
MISSISSIPPI,2006,CITY OF PORT GIBSON,no,,2
MISSISSIPPI,2006,"CITY OF RIDGELAND, MISSISSIPPI",no,,1
MISSISSIPPI,2006,CITY OF SOUTHAVEN,no,,1
MISSISSIPPI,2006,"CLAY, BETH C",yes,LAWYERS & LOBBYISTS,4
MISSISSIPPI,2006,CLINICAL THERAPY CONSORTIUM,no,,1
MISSISSIPPI,2006,COALITION FOR CITIZENS WITH DISABILITIES,no,,1
MISSISSIPPI,2006,COLLEGE BOARD,no,EDUCATION,1
MISSISSIPPI,2006,COLONIAL PIPELINE CO,yes,OIL & GAS,1
MISSISSIPPI,2006,COLUMBIA GULF TRANSMISSION,no,,1
MISSISSIPPI,2006,COLUMBIA SUSSEX CORP,yes,,1
MISSISSIPPI,2006,COMMON CAUSE OF MISSISSIPPI,no,,1
MISSISSIPPI,2006,COMMONWEALTH BRANDS,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
MISSISSIPPI,2006,COMPRESSUS INC,no,,1
MISSISSIPPI,2006,CONFERENCES OF CIRCUIT & CHANCERY JUDGES,no,,1
MISSISSIPPI,2006,CONNECTIONS EDUCATION,yes,EDUCATION,2
