State,Year,Name,Active,Industry,Number of Lobbyists
MONTANA,2002,A W A R E INC,no,,1
MONTANA,2002,AAA MOUNTAIN WEST,no,,1
MONTANA,2002,AAA MOUNTAIN WEST,no,,1
MONTANA,2002,AAA MOUNTAIN WEST,no,,1
MONTANA,2002,AARP,yes,ELDERLY/SOCIAL SECURITY,2
MONTANA,2002,ACLU OF MONTANA,yes,OTHER/SINGLE ISSUE GROUPS,2
MONTANA,2002,ADVANCED SILICON MATERIALS INC,no,,1
MONTANA,2002,ADVANCED SILICON MATERIALS INC,no,,1
MONTANA,2002,ADVANCED SILICON MATERIALS INC,no,,1
MONTANA,2002,ADVANCED SILICON MATERIALS INC,no,,1
MONTANA,2002,ADVANCED SILICON MATERIALS INC,no,,1
MONTANA,2002,AERO ALTERNATIVE ENERGY RESOURCES ORG,no,,1
MONTANA,2002,AERO ALTERNATIVE ENERGY RESOURCES ORG,no,,1
MONTANA,2002,AGRI-TECHNOLOGY CORP,no,,1
MONTANA,2002,ALLEN & ASSOCIATES,no,,1
MONTANA,2002,ALLEN & ASSOCIATES,no,,1
MONTANA,2002,ALLIANCE OF AMERICAN INSURERS,no,,1
MONTANA,2002,ALLIANCE OF AMERICAN INSURERS,no,,1
MONTANA,2002,ALLIANCE OF AMERICAN INSURERS,no,,1
MONTANA,2002,ALLIED CITIZENS FOR HEALTHCARE EQUITY (ACHE),no,,1
MONTANA,2002,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,4
MONTANA,2002,AMERICAN CHEMET CORPORATION,no,,1
MONTANA,2002,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF MONTANA,no,,1
MONTANA,2002,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF MONTANA,no,,1
MONTANA,2002,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF MONTANA,no,,1
MONTANA,2002,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF MONTANA,no,,1
MONTANA,2002,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,3
MONTANA,2002,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
MONTANA,2002,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
MONTANA,2002,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
MONTANA,2002,AMERICAN LUNG ASSN OF THE NORTHERN ROCKIES,no,,1
MONTANA,2002,AMERICAN MASSAGE THERAPY ASSOCIATION,no,,1
MONTANA,2002,AMERICAN PLASTICS COUNCIL,no,,1
MONTANA,2002,AMERICAN SUBCONTRACTORS ASSOCIATION OF MONTANA,yes,GENERAL CONTRACTORS,1
MONTANA,2002,AMERICANS FOR TAX REFORM,no,,1
MONTANA,2002,AMERICANS FOR TAX REFORM,no,,1
MONTANA,2002,AMERIKANUAK,no,,1
MONTANA,2002,AMERIKANUAK,no,,1
MONTANA,2002,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",3
MONTANA,2002,APS HEALTHCARE NORTHWEST INC,no,,1
MONTANA,2002,ARCO ENVIRONMENTAL REMEDIATION LLC,no,,1
MONTANA,2002,ARCO ENVIRONMENTAL REMEDIATION LLC,no,,1
MONTANA,2002,ARCO ENVIRONMENTAL REMEDIATION LLC,no,,1
MONTANA,2002,ARCO ENVIRONMENTAL REMEDIATION LLC,no,,1
MONTANA,2002,ARCO ENVIRONMENTAL REMEDIATION LLC,no,,1
MONTANA,2002,ARCO ENVIRONMENTAL REMEDIATION LLC,no,,1
MONTANA,2002,AREA IV AGENCY ON AGING,no,,1
MONTANA,2002,ASARCO INC,no,,1
MONTANA,2002,ASARCO INC,no,,1
MONTANA,2002,ASARCO INC,no,,1
MONTANA,2002,ASARCO INC,no,,1
MONTANA,2002,ASARCO INC,no,,1
MONTANA,2002,ASH GROVE CEMENT,yes,BUILDING MATERIALS & EQUIPMENT,4
MONTANA,2002,ASMSU-BILLINGS,no,,1
MONTANA,2002,ASMSU-NORTHERN,no,,1
MONTANA,2002,ASSN OF MONTANA HIGHWAY PATROLMEN,no,,1
MONTANA,2002,ASSN OF MONTANA HIGHWAY PATROLMEN,no,,1
