State,Year,Name,Active,Industry,Number of Lobbyists
NEBRASKA,2006,"(AICUN), ASSOCIATION OF INSURANCE FEDERATION, NEBRASKA",no,,1
NEBRASKA,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
NEBRASKA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,1
NEBRASKA,2006,"ABATE OF NEBRASKA, INC",no,,1
NEBRASKA,2006,ABENGOA BIOENERGY CORPORATION,no,,1
NEBRASKA,2006,"ACCESS ELEVATOR, INC",no,,1
NEBRASKA,2006,ACLU OF NEBRASKA,yes,OTHER/SINGLE ISSUE GROUPS,2
NEBRASKA,2006,ADAMS CENTRAL JUNIOR-SENIOR HIGH,no,,1
NEBRASKA,2006,"ADVOCACY SERVICES, INC, NEBRASKA",no,,2
NEBRASKA,2006,ADVOCACY STRATEGIES LLC,no,,1
NEBRASKA,2006,AG PROCESSING INC,yes,AGRICULTURAL SERVICES & PRODUCTS,1
NEBRASKA,2006,"AGRI-BUSINESS ASSOCIATION, NEBRASKA",no,,3
NEBRASKA,2006,"AIRBOAT ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"AIRPORT OFFICIALS, NEBRASKA ASSOCIATION OF",no,,1
NEBRASKA,2006,ALEGENT HEALTH,no,,2
NEBRASKA,2006,"ALEXANDER, WILLIAM D",no,,1
NEBRASKA,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
NEBRASKA,2006,ALLTEL COMMUNICATIONS,no,,3
NEBRASKA,2006,ALTRIA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
NEBRASKA,2006,"AMBULATORY CENTERS, NEBRASKA ASSOCIATION OF",no,,1
NEBRASKA,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,2
NEBRASKA,2006,"AMERICAN COMMUNICATIONS GROUP, INC",no,,2
NEBRASKA,2006,AMERICAN DIABETES ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
NEBRASKA,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
NEBRASKA,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,3
NEBRASKA,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
NEBRASKA,2006,AMERICAN INSTITUTE OF ARCHITECTS NEBRASKA,yes,,2
NEBRASKA,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,2
NEBRASKA,2006,AMERICAN LEGION OF NEBRASKA,no,,1
NEBRASKA,2006,AMERIQUEST CAPITAL,yes,REAL ESTATE,1
NEBRASKA,2006,AMERISTAR CASINOS,yes,GAMBLING & CASINOS,2
NEBRASKA,2006,AMERITAS LIFE INSURANCE CORPORATION,no,,3
NEBRASKA,2006,"ANDERSON MANAGEMENT SERVICES, INC",no,,3
NEBRASKA,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",1
NEBRASKA,2006,APOLLO GROUP,yes,EDUCATION,1
NEBRASKA,2006,"APPRAISERS, NEBRASKA COALITION OF",no,,1
NEBRASKA,2006,AQUILA,yes,ELECTRIC UTILITIES,2
NEBRASKA,2006,ARC OF NEBRASKA,no,,1
NEBRASKA,2006,"AREA AGENCIES ON AGING, NEBRASKA ASSOCIATION OF",no,,1
NEBRASKA,2006,ASH GROVE CEMENT,yes,BUILDING MATERIALS & EQUIPMENT,1
NEBRASKA,2006,ASSOCIATED PETROLEUM INDUSTRIES,yes,OIL & GAS,1
NEBRASKA,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
NEBRASKA,2006,AT&T,yes,TELECOM SERVICES & EQUIPMENT,1
NEBRASKA,2006,"AUCTIONEERS ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"AUTO DEALERS ASSOCIATION, NEBRASKA INDEPENDENT",no,,1
NEBRASKA,2006,AUTOMOTIVE RECYCLING INDUSTRY OF NEBRASKA,no,,1
NEBRASKA,2006,"AVIATION TRADE ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"BANKERS ASSOCIATION, HEARTLAND COMMUNITY",no,,1
NEBRASKA,2006,"BANKERS ASSOCIATION, NEBRASKA",no,,3
NEBRASKA,2006,"BANKERS, NEBRASKA INDEPENDENT COMMUNITY",no,,1
NEBRASKA,2006,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
NEBRASKA,2006,"BEER WHOLESALERS ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"BEHAVIORAL HEALTH ORGANIZATIONS, NEBRASKA ASSOCIATION OF",no,,1
NEBRASKA,2006,BELLEVUE PUBLIC SCHOOLS,no,,2
NEBRASKA,2006,BENNINGTON PUBLIC SCHOOLS,no,,1
NEBRASKA,2006,BERKSHIRE HATHAWAY HOMESTATE COMPANIES,no,,1
NEBRASKA,2006,BETTER NEBRASKA ASSOCIATION,no,,1
NEBRASKA,2006,"BEVERAGE ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"BEVERAGE ASSOCIATION, NEBRASKA LICENSED",no,,1
NEBRASKA,2006,"BEVERAGE OPERATORS OF NEBRASKA, RESPONSIBLE",no,,1
NEBRASKA,2006,"BIG RED LOTTERY SERVICES, LTD",no,,2
NEBRASKA,2006,BIO NEBRASKA,no,,1
NEBRASKA,2006,BLACKWELL SANDERS PEPER MARTIN,yes,LAWYERS & LOBBYISTS,1
NEBRASKA,2006,BLUE CROSS & BLUE SHIELD OF NEBRASKA,yes,INSURANCE,3
NEBRASKA,2006,BNSF RAILWAY,yes,RAILROADS,2
NEBRASKA,2006,BRAIN INJURY ASSOCIATION OF AMERICA,no,,1
NEBRASKA,2006,"BROADCASTERS ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,BRYANLGH HEALTH SYSTEM,no,,2
NEBRASKA,2006,"BUFFALO ASSOCIATION, NEBRASKA STATE",no,,1
NEBRASKA,2006,"BUILDERS & CONTRACTORS, INC, ASSOCIATED",no,,1
NEBRASKA,2006,"CABELA'S RETAIL, INC",no,,1
NEBRASKA,2006,"CABLE COMMUNICATIONS ASSOCIATION, NEBRASKA",no,,4
NEBRASKA,2006,CAMBRIDGE TELEPHONE CO,yes,TELEPHONE UTILITIES,1
NEBRASKA,2006,"CAMPBELL, MARY M / CAMPBELL & ASSOCIATES",no,,1
NEBRASKA,2006,"CAR & TRUCK DEALERS ASSOCIATION, NEBRASKA NEW",no,,1
NEBRASKA,2006,CARGILL,yes,AGRICULTURAL SERVICES & PRODUCTS,3
NEBRASKA,2006,CARPENTERS & JOINERS DISTRICT COUNCIL OF GREATER KANSAS CITY & VICINITY,yes,GENERAL TRADE UNIONS,1
NEBRASKA,2006,"CASA ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"CATHOLIC CONFERENCE, NEBRASKA",no,,3
NEBRASKA,2006,"CATTLEMEN, INC, NEBRASKA",no,,2
NEBRASKA,2006,"CAVANAUGH LAW FIRM PC, LLO",no,,3
NEBRASKA,2006,"CEMETERY ASSOCIATION, NEBRASKA STATE",no,,1
NEBRASKA,2006,CENTER FOR PEOPLE IN NEED,no,,1
NEBRASKA,2006,CENTER FOR RURAL AFFAIRS,no,,3
NEBRASKA,2006,CENTRAL NEBRASKA PUBLIC POWER & IRRIGATION DISTRICT,no,,2
NEBRASKA,2006,"CHAMBER OF COMMERCE & INDUSTRY, NEBRASKA",no,,3
NEBRASKA,2006,"CHECK CASHERS, NEBRASKA ASSOCIATION OF",no,,1
NEBRASKA,2006,"CHIEF INDUSTRIES, INC",no,,1
NEBRASKA,2006,"CHILDREN & FAMILIES FOUNDATION, NEBRASKA",no,,3
NEBRASKA,2006,CHILDREN & FAMILY COALITION OF NEBRASKA,no,,1
NEBRASKA,2006,CHILDREN'S HOSPITAL,no,,1
NEBRASKA,2006,CHILDRENS HEALTHCARE SERVICES,no,,1
NEBRASKA,2006,CIGAR ASSOCIATION OF AMERICA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
NEBRASKA,2006,CITIGROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
NEBRASKA,2006,CITIZENS FOR BELLEVUE,no,,2
NEBRASKA,2006,CITY OF ELKHORN,no,,1
NEBRASKA,2006,CITY OF LINCOLN,no,,2
NEBRASKA,2006,CITY OF NORFOLK,no,,2
NEBRASKA,2006,CITY OF OMAHA,no,,1
NEBRASKA,2006,"CITY OF OMAHA, MAYOR",no,,1
NEBRASKA,2006,CLARKS TELECOMMUNICATIONS CO,no,,1
NEBRASKA,2006,CLASS I(S) UNITED,no,,1
NEBRASKA,2006,CLASS VI ASSOCIATION OF SCHOOLS,no,,1
NEBRASKA,2006,COALITION OF RURAL WATER DISTRICTS,no,,1
NEBRASKA,2006,"COAST CASINOS, INC",no,,1
NEBRASKA,2006,"COLLECTORS ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,COLLEGE BOARD,no,EDUCATION,1
NEBRASKA,2006,"COMMERCIAL PROPERTY OWNERS, NEBRASKA ASSOCIATION OF",no,,1
NEBRASKA,2006,COMMON CAUSE NATIONAL,no,,1
NEBRASKA,2006,COMMON CAUSE NEBRASKA,no,,1
NEBRASKA,2006,COMMUNITY ALLIANCE INC,no,,1
NEBRASKA,2006,"COMMUNITY COLLEGE ASSOCIATION, NEBRASKA",no,,2
NEBRASKA,2006,COMMUNITY HEALTH ENDOWMENT OF LINCOLN,no,,2
NEBRASKA,2006,"COMMUNITY LOTTERY SYSTEM, INC",no,,1
NEBRASKA,2006,"CONSERVATION VOTERS, NEBRASKA LEAGUE OF",no,,2
NEBRASKA,2006,CONSOLIDATED TELEPHONE CO,yes,,1
NEBRASKA,2006,CONSUMERS UNION,no,,1
NEBRASKA,2006,"COOPERATIVE COUNCIL, NEBRASKA",no,,4
NEBRASKA,2006,"CORN GROWERS ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"CORNERSTONE ENERGY, INC",no,,2
NEBRASKA,2006,"COUNSELING ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"COUNTY ATTORNEYS ASSOCIATION, NEBRASKA",no,,2
NEBRASKA,2006,"COUNTY JUDGES ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"COUNTY OFFICIALS, NEBRASKA ASSOCIATION OF",no,,4
NEBRASKA,2006,"COURT REPORTERS ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,COX NEBRASKA TELCOM LLC,yes,,2
NEBRASKA,2006,CREDIT ADVISORS,no,,1
NEBRASKA,2006,CREDIT MANAGEMENT SERVICES,yes,MISCELLANEOUS FINANCE,2
NEBRASKA,2006,"CREDIT UNION LEAGUE & AFFILIATES, NEBRASKA",no,,3
NEBRASKA,2006,CREIGHTON UNIVERSITY,yes,,1
NEBRASKA,2006,"CRIMINAL DEFENSE ATTORNEYS ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"CROW BUTTE RESOURCES, INC",no,,2
NEBRASKA,2006,CUSTOM ELECTRONICS DESIGN & INSTALLATION ASSN,no,,1
NEBRASKA,2006,CUTSHALL & ASSOCIATES,yes,LAWYERS & LOBBYISTS,3
NEBRASKA,2006,"DAIRY GROUP, NEBRASKA",no,,1
NEBRASKA,2006,DEHART & DARR ASSOCIATES,no,,1
NEBRASKA,2006,"DENTAL ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"DENTAL HYGIENISTS ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"DIETETIC ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"DISTRICT COURT JUDGES ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,"DOUGLAS COUNTY, NEBRASKA",no,,1
NEBRASKA,2006,DUNCAN AVIATION,no,,1
NEBRASKA,2006,E I DU PONT DE NEMOURS & CO,yes,CHEMICAL & RELATED MANUFACTURING,1
NEBRASKA,2006,EASTERN NEBRASKA DEVELOPMENT COUNCIL,no,,1
NEBRASKA,2006,EASTERN NEBRASKA HUMAN SERVICES AGENCY,no,,1
NEBRASKA,2006,EBAY,yes,COMPUTER EQUIPMENT & SERVICES,1
NEBRASKA,2006,EDUCARE OF OMAHA,no,,1
NEBRASKA,2006,"EDUCATION EQUITY & ADEQUACY, NEBRASKA COALITION OF",no,,1
NEBRASKA,2006,"EDUCATIONAL LANDS & FUNDS, BOARD OF",no,,1
NEBRASKA,2006,EDUCATIONAL SERVICE UNIT ADMINISTRATORS ASSOCIATION,no,,1
NEBRASKA,2006,"ELECTRICAL CONTRACTORS ASSOCIATION, NATIONAL",no,,3
NEBRASKA,2006,ELEVATOR INDUSTRY WORK PRESERVATION,no,,1
NEBRASKA,2006,ELI LILLY & CO,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
NEBRASKA,2006,ELKHORN PUBLIC SCHOOLS,no,,1
NEBRASKA,2006,ELKHORN VALLEY ECONOMIC DEVELOPMENT COUNCIL,no,,1
NEBRASKA,2006,"EMERGENCY MEDICAL SERVICE ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,ENDOW NEBRASKA,no,,1
NEBRASKA,2006,"ENGINEERING COMPANIES / NEBRASKA, AMERICAN COUNCIL OF",no,,1
NEBRASKA,2006,"ENGINEERS & ARCHITECTS, NEBRASKA BOARD OF",no,,1
NEBRASKA,2006,"ENGINEERS, NEBRASKA SOCIETY OF PROFESSIONAL",no,,1
NEBRASKA,2006,"ERICKSON & SEDERSTROM, PC",no,,1
NEBRASKA,2006,ESU NO 3 CONSORTION,no,,1
NEBRASKA,2006,EXPLORE INFORMATION SERVICES,no,INSURANCE,1
NEBRASKA,2006,"EYE PHYSICIANS & SURGEONS, NEBRASKA ACADEMY OF",no,,1
NEBRASKA,2006,"FAIR BOARD, NEBRASKA STATE",no,,1
NEBRASKA,2006,FAMILIES FOR EFFECTIVE AUTISM TREATMENT (FEAT),no,,1
NEBRASKA,2006,"FAMILY COUNCIL, NEBRASKA",no,,2
NEBRASKA,2006,"FAMILY PHYSICIANS, NEBRASKA ACADEMY OF",no,,1
NEBRASKA,2006,FARMERS GROUP INC DBA FARMERS UNDERWRITERS ASSOCIATION,yes,INSURANCE,1
NEBRASKA,2006,FARMERS MUTUAL OF NEBRASKA,no,,1
NEBRASKA,2006,"FARMERS UNION, NEBRASKA",no,,1
NEBRASKA,2006,FATHER FLANAGANS BOYS HOME AKA GIRLS & BOYS TOWN,no,,1
NEBRASKA,2006,FATHER FLANAGANS BOYS HOME D / B / A BOYS TOWN NATIONAL,no,,1
NEBRASKA,2006,"FELD ENTERTAINMENT, INC",no,,1
NEBRASKA,2006,"FINANCIAL SERVICES COALITION, NEBRASKA",no,,2
NEBRASKA,2006,"FINOCCHIARO WINE COMPANY, INC",no,,1
NEBRASKA,2006,FIRE FIGHTERS ASSOCIATION NEBRASKA,no,,1
NEBRASKA,2006,FIRST DATA CORP,yes,MISCELLANEOUS FINANCE,1
NEBRASKA,2006,FIRST NATIONAL OF NEBRASKA,yes,COMMERCIAL BANKS,2
NEBRASKA,2006,"FOUNDATION, SUSAN A BUFFETT",no,,1
NEBRASKA,2006,FRAIZER & FRAIZER LAW OFFICE,no,,1
NEBRASKA,2006,FREMONT PUBLIC SCHOOLS,no,,1
NEBRASKA,2006,FRIENDS OF NEBRASKA NONPROFIT HOSPITALS,no,,2
NEBRASKA,2006,FRIENDS OF THE NEBRASKA ENVIRONMENTAL TRUST,no,,1
NEBRASKA,2006,"FUNERAL DIRECTORS ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,GASP-GROUP TO ALLEVIATE SMOKING POLLUTION,no,,1
NEBRASKA,2006,GENENTECH,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
NEBRASKA,2006,"GENERAL CONTRACTORS OF AMERICA, NE CHAPTER, ASSOCIATED",no,,2
NEBRASKA,2006,"GEOLOGISTS, BOARD OF",no,,1
NEBRASKA,2006,"GIFTED, NEBRASKA ASSOCIATION FOR THE",no,,1
NEBRASKA,2006,"GIRL SCOUT LEGISLATIVE MONITORING NETWORK, NEBRASKA",no,,1
NEBRASKA,2006,GLAXOSMITHKLINE,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
NEBRASKA,2006,GOLDEN RULE FINANCIAL CORP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
NEBRASKA,2006,"GOODWILL INDUSTRIES, NEBRASKA",no,,1
NEBRASKA,2006,"GRAIN & FEED ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,GRAND ISLAND AREA ECONOMIC DEVELOPMENT CORPORATION,no,,1
NEBRASKA,2006,GRAND ISLAND PUBLIC SCHOOLS,no,,1
NEBRASKA,2006,GREAT PLAINS COMMISSION,no,,1
NEBRASKA,2006,GREAT PLAINS COMMUNICATIONS,yes,BUSINESS SERVICES,2
NEBRASKA,2006,GREAT WEST CASUALTY COMPANY,yes,INSURANCE,1
NEBRASKA,2006,GREATER OMAHA CHAMBER OF COMMERCE,yes,BUSINESS ASSOCIATIONS,3
NEBRASKA,2006,"GROCERY INDUSTRY ASSOCIATION, NEBRASKA",no,,1
NEBRASKA,2006,GWR WEALTH MANAGEMENT,no,,1
NEBRASKA,2006,HALL COUNTY LIVESTOCK IMPROVEMENT ASSOCIATION,no,,1
NEBRASKA,2006,HAMILTON TELECOMMUNICATIONS,no,,1
NEBRASKA,2006,"HARTINGTON TELECOMMUNICATIONS, INC",no,,1
NEBRASKA,2006,"HASTINGS EXPOSITION & RACING, INC",no,,1
NEBRASKA,2006,"HEALTH UNDERWRITERS, NEBRASKA ASSOCIATION OF",no,,1
NEBRASKA,2006,"HEARING SOCIETY, NEBRASKA",no,,1
