State,Year,Name,Active,Industry,Number of Lobbyists
NEVADA,2006,02 DIESEL,no,,1
NEVADA,2006,"1827, E CLAMPUS VITUS",no,,1
NEVADA,2006,"1827, E CLAMPUS VITUS",no,,1
NEVADA,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,3
NEVADA,2006,7-ELEVEN,yes,OIL & GAS,2
NEVADA,2006,7-ELEVEN FRANCHISE OWNERS ASSOCIATION,yes,,3
NEVADA,2006,A B A T E OF NO NEVADA,no,,2
NEVADA,2006,AAA NEVADA,no,,1
NEVADA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,7
NEVADA,2006,AAUW OF NV (AMERICAN ASSN OF UNIV WOMEN),no,,1
NEVADA,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
NEVADA,2006,ACCENTURE,yes,BUSINESS SERVICES,11
NEVADA,2006,ACCRETIVE CONSULTING,no,,1
NEVADA,2006,ACLU OF NEVADA,no,OTHER/SINGLE ISSUE GROUPS,4
NEVADA,2006,AFL-CIO UNIDENTIFIED,yes,,3
NEVADA,2006,AFSCME LOCAL 4041,yes,PUBLIC SECTOR UNIONS,5
NEVADA,2006,AFSCME RETIREE CHAPTER LOCAL 4041,no,,1
NEVADA,2006,AGEM,yes,,1
NEVADA,2006,AIG CLAIM SERVICES INC,yes,,5
NEVADA,2006,AIRCRAFT OWNERS & PILOT ASSOCIATION,yes,AIR TRANSPORT,1
NEVADA,2006,AIRPORT AUTHORITY OF CARSON CITY,no,,1
NEVADA,2006,AIRPORT AUTHORITY OF WASHOE COUNTY,no,,3
NEVADA,2006,AL MALIN (NEIGHBORLY NEEDS),no,,1
NEVADA,2006,ALBERTSONS INC,yes,FOOD PROCESSING & SALES,3
NEVADA,2006,ALLIANCE FOR CHILDRENS ED EX,no,,2
NEVADA,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
NEVADA,2006,ALS OF NEVADA,no,,1
NEVADA,2006,ALZHEIMERS ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
NEVADA,2006,AMAZON.COM,yes,RETAIL SALES,2
NEVADA,2006,AMBASSADOR LIMOUSINE,yes,MISCELLANEOUS TRANSPORT,2
NEVADA,2006,AMERICA WEST AIRLINES,yes,AIR TRANSPORT,11
NEVADA,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,2
NEVADA,2006,AMERICAN COUNCIL OF ENG COMPANIES OF NV (ACEC),no,,3
NEVADA,2006,AMERICAN COUNCIL OF ENG COMPANIES OF NV (AGEC),no,,1
NEVADA,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
NEVADA,2006,AMERICAN DIABETES ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
NEVADA,2006,AMERICAN ECOLOGY CORP,yes,WASTE MANAGEMENT,1
NEVADA,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",7
NEVADA,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,4
NEVADA,2006,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME,yes,PUBLIC SECTOR UNIONS,1
NEVADA,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,3
NEVADA,2006,AMERICAN INSTITUTE OF ARCHITECTS,no,,1
NEVADA,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,2
NEVADA,2006,AMERICAN LEGION AUX,no,,1
NEVADA,2006,AMERICAN MASSAGE THERAPY ASSN,no,,2
NEVADA,2006,AMERICAN MEDICAL RESPONSE,yes,HEALTH SERVICES,5
NEVADA,2006,AMERICAN NEVADA CO,yes,REAL ESTATE,2
NEVADA,2006,AMERICAN NEVADA CORPORATION,yes,,4
NEVADA,2006,AMERICAN RESORT DEV ASSN (ARDA),no,,3
NEVADA,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,1
NEVADA,2006,AMNESTY INTERNATIONAL,yes,HUMAN RIGHTS,1
NEVADA,2006,AMS GOVERNMENT RELATIONS,yes,LAWYERS & LOBBYISTS,2
NEVADA,2006,ANDRE AGASSI COLLEGE PREP ACADEMY,no,,12
NEVADA,2006,ANDREW AGASSI COLLEGE PREP ACADEMY,no,,1
NEVADA,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",2
NEVADA,2006,ANTHEM BLUE CROSS & BLUE SHIELD CITIBANK,no,,1
NEVADA,2006,AON RISK SERVICES,yes,,1
NEVADA,2006,APPRAISAL INSTITUTE,no,,1
NEVADA,2006,"APPROPRIATE ENERGY, INC",no,,1
NEVADA,2006,ARDA-ROC,no,,4
NEVADA,2006,"ARDENT HEALTH SERVICES, LLC / LAS VEGAS",no,,11
NEVADA,2006,"ARDENT HEALTH SERVICES, LLC / RENO 1",no,,11
NEVADA,2006,"ARDENT HEALTH SERVICES, LLC / RENO 2",no,,11
NEVADA,2006,ASH GROVE CEMENT CO,yes,,1
NEVADA,2006,ASSN OF GAMING EQUIP MFR,no,,4
NEVADA,2006,ASSOC OF POOL & SPA PROF,no,,2
NEVADA,2006,ASSOCIATED BUILDERS & CONTRACTORS OF NEVADA,yes,GENERAL CONTRACTORS,3
NEVADA,2006,ASSOCIATED GENERAL CONTRACTORS OF NEVADA,yes,GENERAL CONTRACTORS,4
NEVADA,2006,"ASSOCIATED GENERAL CONTRACTORS, LV CHAPTER",no,,3
NEVADA,2006,"ASSOCIATED GENERAL CONTRACTORS, NV CHAPTER",no,,4
NEVADA,2006,ASSOCIATED STUDENTS OF THE UNIV OF NV,no,,2
NEVADA,2006,ASSURANT,yes,INSURANCE,5
NEVADA,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
NEVADA,2006,AT&T,yes,TELECOM SERVICES & EQUIPMENT,2
