State,Year,Name,Active,Industry,Number of Lobbyists
NEW HAMPSHIRE,2005,AAA NORTHERN NEW ENGLAND,no,,1
NEW HAMPSHIRE,2005,AARP,yes,ELDERLY/SOCIAL SECURITY,1
NEW HAMPSHIRE,2005,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
NEW HAMPSHIRE,2005,ACADIA INS,no,,1
NEW HAMPSHIRE,2005,ACE GROUP HOLDINGS,yes,INSURANCE,2
NEW HAMPSHIRE,2005,AGGREGATE MANU OF NH,no,,1
NEW HAMPSHIRE,2005,AGGREGATE MANUF OF NH,no,,1
NEW HAMPSHIRE,2005,AGGREGATE MANUFACTURERS OF NH,no,,1
NEW HAMPSHIRE,2005,AGGREGATE MFTRS OF NH,no,,1
NEW HAMPSHIRE,2005,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
NEW HAMPSHIRE,2005,ALTRIA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
NEW HAMPSHIRE,2005,AMERICAN ASSOCIATION OF UNIVERSITY PROFESSORS AT THE UNIVERSITY OF NEW HAMPSHIRE,yes,EDUCATION,1
NEW HAMPSHIRE,2005,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,3
NEW HAMPSHIRE,2005,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF NEW HAMPSHIRE,no,CONSTRUCTION SERVICES,2
NEW HAMPSHIRE,2005,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,2
NEW HAMPSHIRE,2005,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
NEW HAMPSHIRE,2005,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
NEW HAMPSHIRE,2005,AMERICAN HEALTH CENTERS,no,,1
NEW HAMPSHIRE,2005,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
NEW HAMPSHIRE,2005,AMERICAN INS ASSOC,no,,1
NEW HAMPSHIRE,2005,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,3
NEW HAMPSHIRE,2005,AMERICAN INTERLICK LTD,no,,1
NEW HAMPSHIRE,2005,AMERICAN INTERLOCK LTD,no,,1
NEW HAMPSHIRE,2005,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
NEW HAMPSHIRE,2005,AMERICAN INTL GROUP INC,yes,,1
NEW HAMPSHIRE,2005,AMERICAN PHYSICAL THERAPISTS ASSOCIATION NEW HAMPSHIRE CHAPTER,no,HEALTH PROFESSIONALS,1
NEW HAMPSHIRE,2005,AMERICANS HEALTH INS PLANS,no,,1
NEW HAMPSHIRE,2005,ANAGNOST COS,no,,1
NEW HAMPSHIRE,2005,ANDROSCOGGIN VALLEY HOSPITAL,no,,2
NEW HAMPSHIRE,2005,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",1
NEW HAMPSHIRE,2005,ANTHEM INC,yes,INSURANCE,6
NEW HAMPSHIRE,2005,APPLE INC,yes,COMPUTER EQUIPMENT & SERVICES,1
NEW HAMPSHIRE,2005,AQUARION WATER CO,yes,WATER UTILITIES,1
NEW HAMPSHIRE,2005,ASSOCIATED GENERAL CONTRACTORS OF NEW HAMPSHIRE,yes,GENERAL CONTRACTORS,1
NEW HAMPSHIRE,2005,ASSOCIATED PETROLEUM INDUSTRIES,yes,OIL & GAS,1
NEW HAMPSHIRE,2005,ASSURANT,yes,INSURANCE,1
NEW HAMPSHIRE,2005,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
NEW HAMPSHIRE,2005,ATLAS FIREWORKS,yes,CHEMICAL & RELATED MANUFACTURING,2
NEW HAMPSHIRE,2005,AUDUBON SOCIETY OF NH,no,,1
NEW HAMPSHIRE,2005,AUTO & TRUCK RECYCLERS ASSOCIATION OF NEW HAMPSHIRE,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
NEW HAMPSHIRE,2005,BAE SYSTEMS,yes,DEFENSE AEROSPACE,1
NEW HAMPSHIRE,2005,BARNSTEAD POWER & LIGHT LLC,no,,1
NEW HAMPSHIRE,2005,BARR LAB INC,no,,2
NEW HAMPSHIRE,2005,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
NEW HAMPSHIRE,2005,BEARING POINT,no,,1
NEW HAMPSHIRE,2005,BEDFORD AMBULATORY SURGICAL CENTER,yes,HOSPITALS & NURSING HOMES,1
NEW HAMPSHIRE,2005,BENJAMIN MOORE & CO,no,,2
NEW HAMPSHIRE,2005,BI-STATE PRIMARY CARE ASSOCIATION,yes,HEALTH SERVICES,2
NEW HAMPSHIRE,2005,BIO ENERGY LLC,no,,1
NEW HAMPSHIRE,2005,BIO ENERGY LLC C / O,no,,1
NEW HAMPSHIRE,2005,BIOMASS GROUP C / O BROWN OLSON & WILSON,no,,1
NEW HAMPSHIRE,2005,BIOMASS GROUP C / O BROWN OLSON WILSON,no,,1
NEW HAMPSHIRE,2005,BJ ALAN CO,yes,,1
NEW HAMPSHIRE,2005,BRAIN INJURY ASSOCIATION OF NEW HAMPSHIRE,no,HEALTH & WELFARE POLICY,3
NEW HAMPSHIRE,2005,BUSINESS & INDUSTRY ASSOCIATION OF NEW HAMPSHIRE,yes,BUSINESS ASSOCIATIONS,4
NEW HAMPSHIRE,2005,C & J TRAILWAYS,no,MISCELLANEOUS TRANSPORT,1
NEW HAMPSHIRE,2005,CAI-NH,no,,1
NEW HAMPSHIRE,2005,CASINO GAME RENTAL LLC,no,,1
NEW HAMPSHIRE,2005,CATHOLIC MEDICAL CENTER,no,HOSPITALS & NURSING HOMES,2
