State,Year,Name,Active,Industry,Number of Lobbyists
NEW MEXICO,2002,1000 FRIENDS OF NEW MEXICO,no,,1
NEW MEXICO,2002,AAA NEW MEXICO LLC,no,,1
NEW MEXICO,2002,AARP,yes,ELDERLY/SOCIAL SECURITY,14
NEW MEXICO,2002,ALBUQUERQUE ACADEMY,yes,EDUCATION,2
NEW MEXICO,2002,ALBUQUERQUE METROPOLITAN ARROYO FLOOD CONTROL AUTHORI,no,,1
NEW MEXICO,2002,ALBUQUERQUE PUBLIC SCHOOLS,no,,1
NEW MEXICO,2002,ALBUQUERQUE TEACHERS FEDERATION,yes,PUBLIC SECTOR UNIONS,1
NEW MEXICO,2002,ALBUQUERQUE TITLE COMPANY INC,no,,1
NEW MEXICO,2002,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
NEW MEXICO,2002,ALLSTATE INSURANCE,yes,INSURANCE,2
NEW MEXICO,2002,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,1
NEW MEXICO,2002,AMERICAN COUNCIL OF ENGINEERING COMPANIES NEW MEXICO,yes,CONSTRUCTION SERVICES,1
NEW MEXICO,2002,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,2
NEW MEXICO,2002,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
NEW MEXICO,2002,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,3
NEW MEXICO,2002,AMERICAN NAPRAPATHIC ASSOCIATION,no,,1
NEW MEXICO,2002,AMERICAN PROMOTIONAL EVENTS,yes,CHEMICAL & RELATED MANUFACTURING,1
NEW MEXICO,2002,AMREP SOUTHWEST,yes,REAL ESTATE,1
NEW MEXICO,2002,ANDERSON SOUTHWEST,no,,1
NEW MEXICO,2002,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",2
NEW MEXICO,2002,APACHE CORP,yes,OIL & GAS,1
NEW MEXICO,2002,ASSOCIATION OF COMMERCE & INDUSTRY OF NEW MEXICO,no,,1
NEW MEXICO,2002,ASSOCIATION OF DEVELOPMENTAL DISABILITIES COMMUNITY P,no,,1
NEW MEXICO,2002,ATHLETIC DEPARTMENT NEW MEXICO STATE UNIVERSITY,no,,1
NEW MEXICO,2002,BANK OF AMERICA,yes,COMMERCIAL BANKS,1
NEW MEXICO,2002,BUILDERS TRUST OF NEW MEXICO,yes,INSURANCE,1
NEW MEXICO,2002,BUSINESS & LABOR WORKERS COMPENSATION COALITION,no,,1
NEW MEXICO,2002,BUTCH MAKI & ASSOCIATION,yes,,1
NEW MEXICO,2002,CAPITAL CITY TASK FORCE / VOLUNTEER AMER ASSOC OF RET,no,,1
NEW MEXICO,2002,CASA ESPERANZA,no,,2
NEW MEXICO,2002,CENTRAL NEW MEXICO AUDUBON SOCIETY,no,,1
NEW MEXICO,2002,CIGNA CORP,yes,INSURANCE,1
NEW MEXICO,2002,CITY OF ALBUQUERQUE,no,,1
NEW MEXICO,2002,CITY OF BELEN,no,,1
NEW MEXICO,2002,CITY OF FARMINGTON,yes,,1
NEW MEXICO,2002,CITY OF RIO RANCHO,no,,1
NEW MEXICO,2002,CITY OF SANTA FE,yes,,1
NEW MEXICO,2002,CLOVIS COMMUNITY COLLEGE,yes,EDUCATION,1
NEW MEXICO,2002,CMTE OF HOTEL & MOTEL OPERATORS,yes,LODGING & TOURISM,2
NEW MEXICO,2002,CNA SURETY COMPANY,no,,2
NEW MEXICO,2002,COMCAST,yes,TELECOM SERVICES & EQUIPMENT,1
NEW MEXICO,2002,CONOCOPHILLIPS,yes,OIL & GAS,4
NEW MEXICO,2002,CONSUMER LENDING ALLIANCE,yes,PAYDAY/TITLE LOANS,3
NEW MEXICO,2002,CORRECTIONS CORP OF AMERICA,yes,MISCELLANEOUS BUSINESS,1
NEW MEXICO,2002,CUMBRES & TOLTEC SCENIC RAILROAD,no,,1
NEW MEXICO,2002,DAIRY PRODUCERS OF NEW MEXICO,no,,2
NEW MEXICO,2002,DELTA DENTAL PLAN OF NEW MEXICO,no,,2
NEW MEXICO,2002,DESERT EAGLE DISTRIBUTING COMPANY,no,,1
NEW MEXICO,2002,DIAGEO,yes,"BEER, WINE & LIQUOR",1
NEW MEXICO,2002,DOLLAR RENT A CAR / SANTA FE FLEET SERVICES,no,,1
NEW MEXICO,2002,DOWNS AT ALBUQUERQUE,yes,GAMBLING & CASINOS,1
NEW MEXICO,2002,EASTERN NEW MEXICO UNIVERSITY-PORTALES,no,,1
NEW MEXICO,2002,EL PASO ELECTRIC COMPANY,yes,,2
NEW MEXICO,2002,EL VALLE DE LOS RANCHOS WATER & SANITATION DISTRICT,no,,1
NEW MEXICO,2002,ENTERPRISE HOLDINGS,yes,AUTOMOTIVE,1
NEW MEXICO,2002,FRONTERA FARMS,no,,1
NEW MEXICO,2002,GANDY MARLEY INCORPORATED,no,,1
NEW MEXICO,2002,GENERAL MOTORS,yes,AUTOMOTIVE,2
NEW MEXICO,2002,GEO GROUP,yes,MISCELLANEOUS BUSINESS,1
NEW MEXICO,2002,GIANT INDUSTRIES,yes,OIL & GAS,5
NEW MEXICO,2002,GLAXOSMITHKLINE,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
NEW MEXICO,2002,GOLDEN RULE FINANCIAL CORP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
NEW MEXICO,2002,GOVERNORS BUSINESS EXECUTIVE FOR EDUCATION,no,,1
NEW MEXICO,2002,GREATER ALBUQUERQUE CHAMBER OF COMMERCE,yes,BUSINESS ASSOCIATIONS,2
NEW MEXICO,2002,HEARD LINEBARGER GRAHAM GOGGAN BLAIR PENA & SAMPSON L,no,,1
NEW MEXICO,2002,HONEYWELL INTERNATIONAL,yes,AIR TRANSPORT,1
NEW MEXICO,2002,INDEPENDENT COMMUNITY BANKERS ASSOCIATION OF NEW MEXI,no,,1
NEW MEXICO,2002,INDEPENDENT INSURANCE AGENTS OF NEW MEXICO,yes,INSURANCE,2
NEW MEXICO,2002,INTEL CORP,yes,COMPUTER EQUIPMENT & SERVICES,2
NEW MEXICO,2002,JICARILLA APACHE NATION,yes,TRIBAL GOVERNMENTS,2
NEW MEXICO,2002,KRAFT FOODS GLOBAL INC (THRU ITS SERV CORP ALTRIA CO,no,,1
NEW MEXICO,2002,LAMAR OUTDOOR ADVERTISING,no,,1
NEW MEXICO,2002,LEAGUE OF WOMEN VOTERS OF ALBUQUERQUE / BERNALILO COUNT,no,,1
NEW MEXICO,2002,LIBERTY MUTUAL INSURANCE,yes,INSURANCE,1
NEW MEXICO,2002,LOS ALAMOS COUNTY REPUBLICAN CENTRAL CMTE OF NEW MEXICO,yes,PARTY COMMITTEES,1
NEW MEXICO,2002,LOS ALAMOS PUBLIC SCHOOLS,no,,1
NEW MEXICO,2002,LOVELACE HEALTH SYSTEMS,yes,,2
NEW MEXICO,2002,MALOOF COMPANIES,yes,"BEER, WINE & LIQUOR",1
NEW MEXICO,2002,MARATHON OIL,yes,OIL & GAS,1
NEW MEXICO,2002,MCLANE COMPANY INC,no,,2
NEW MEXICO,2002,MECHANICAL CONTRACTORS ASSOCIATION OFFICE OF NEW MEXI,no,,1
NEW MEXICO,2002,MERCK & CO,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
NEW MEXICO,2002,MESCALERO APACHE TRIBE,yes,TRIBAL GOVERNMENTS,1
NEW MEXICO,2002,MICROSOFT,yes,COMPUTER EQUIPMENT & SERVICES,1
NEW MEXICO,2002,MIDDLE RIO GRANDE CONSERVANCY DISTRICT,no,,1
NEW MEXICO,2002,MONTGOMERY & ANDREWS,yes,LAWYERS & LOBBYISTS,2
NEW MEXICO,2002,MOUNTAIN STATES MUTUAL CASUALTY COMPANY,yes,,1
NEW MEXICO,2002,MUSEUM OF NEW MEXICO-THE FOUNDATION,no,,1
NEW MEXICO,2002,NATIONAL ATOMIC MUSEUM FOUNDATION,no,,2
NEW MEXICO,2002,NAVAJO REFINING,yes,OIL & GAS,3
NEW MEXICO,2002,NEW MEXICO ACADEMY OF PHYSICIAN ASSISTANTS,no,,1
NEW MEXICO,2002,NEW MEXICO ALLIANCE FOR AFFORDABLE PHONES,no,,1
NEW MEXICO,2002,NEW MEXICO ASSOCIATION FOR HOME & HOSPICE CARE,yes,,1
NEW MEXICO,2002,NEW MEXICO ASSOCIATION OF COUNTIES,no,,1
NEW MEXICO,2002,NEW MEXICO BANKERS ASSOCIATION,yes,COMMERCIAL BANKS,1
NEW MEXICO,2002,NEW MEXICO BOYS & GIRLS RANCHES,no,,1
NEW MEXICO,2002,NEW MEXICO CATTLE GROWERS ASSOCIATION,no,,1
NEW MEXICO,2002,NEW MEXICO COALITION AGAINST DOMESTIC VIOLENCE,yes,WOMEN'S ISSUES,1
NEW MEXICO,2002,NEW MEXICO COALITION AGAINST GAMBLING,no,,1
NEW MEXICO,2002,NEW MEXICO COALITION OF SCHOOL ADMINISTRATORS,yes,EDUCATION,1
NEW MEXICO,2002,NEW MEXICO COMMISSION FOR THE BLIND,yes,,1
NEW MEXICO,2002,NEW MEXICO COUNCIL OF OUTFITTERS & GUIDES,yes,,1
NEW MEXICO,2002,NEW MEXICO COUNCIL ON CRIME & DELINQUENCY,no,,1
NEW MEXICO,2002,NEW MEXICO CRIMINAL DEFENSE LAWYERS ASSOCIATION,no,,2
NEW MEXICO,2002,NEW MEXICO ENVIRONMENTAL LAW CENTER,yes,,1
NEW MEXICO,2002,NEW MEXICO EXCHANGE CARRIER GROUP,yes,TRUCKING,2
NEW MEXICO,2002,NEW MEXICO FARM & LIVESTOCK BUREAU,yes,AGRICULTURAL SERVICES & PRODUCTS,2
NEW MEXICO,2002,NEW MEXICO FEDERATION OF TEACHERS,yes,PUBLIC SECTOR UNIONS,2
NEW MEXICO,2002,NEW MEXICO FOUNDATION FOR OPEN GOVERNMENT,no,,1
NEW MEXICO,2002,NEW MEXICO FUNERAL SERVICE ASSOCIATION,no,,1
NEW MEXICO,2002,NEW MEXICO GOVERNMENT AFFAIRS,yes,LAWYERS & LOBBYISTS,1
NEW MEXICO,2002,NEW MEXICO GRAIN & FEED ASSOCIATION,no,,1
NEW MEXICO,2002,NEW MEXICO HEALTH CARE ASSOCIATION / NEW MEXICO CENTER FOR ASSISTED LIVING,yes,HOSPITALS & NURSING HOMES,1
NEW MEXICO,2002,NEW MEXICO HOME BUILDERS ASSOCIATION,yes,HOME BUILDERS,1
NEW MEXICO,2002,NEW MEXICO HORSEMENS ASSOCIATION,yes,GAMBLING & CASINOS,2
NEW MEXICO,2002,NEW MEXICO HOSPITAL ASSOCIATION,yes,HOSPITALS & NURSING HOMES,1
NEW MEXICO,2002,NEW MEXICO HOSPITAL EQUIPMENT LOAN COUNCIL,no,,1
NEW MEXICO,2002,NEW MEXICO INDEPENDENT FINANCE ASSOCIATION,yes,BANKS & LENDING INSTITUTIONS,2
NEW MEXICO,2002,NEW MEXICO INDUSTRIAL EXECUTIVE ASSOCIATION INC,no,,1
NEW MEXICO,2002,NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY,no,,1
NEW MEXICO,2002,NEW MEXICO LOTTERY AUTHORITY,no,,1
NEW MEXICO,2002,NEW MEXICO MEDICAL REVIEW ASSOCIATION,no,,1
NEW MEXICO,2002,NEW MEXICO MEDICAL SOCIETY,yes,HEALTH PROFESSIONALS,2
NEW MEXICO,2002,NEW MEXICO MINING ASSOCIATION,yes,,1
NEW MEXICO,2002,NEW MEXICO MORTGAGE FINANCE AUTHORITY,no,,1
NEW MEXICO,2002,NEW MEXICO MOTORCYCLIST RIGHTS ORGANIZATION,no,,2
NEW MEXICO,2002,NEW MEXICO MUNICIPAL LEAGUE,no,,8
NEW MEXICO,2002,NEW MEXICO NEW DEAL PUBLIC ART TASK FORCE,no,,1
NEW MEXICO,2002,NEW MEXICO OIL & GAS ASSOCIATION,yes,OIL & GAS,1
NEW MEXICO,2002,NEW MEXICO OPTOMETRIC ASSOCIATION,yes,HEALTH PROFESSIONALS,1
NEW MEXICO,2002,NEW MEXICO ORTHOPAEDIC SOCIETY,no,,1
NEW MEXICO,2002,NEW MEXICO OUTSOURCING,yes,LAWYERS & LOBBYISTS,1
NEW MEXICO,2002,NEW MEXICO PHYSICIANS MUTUAL LIABILITY CO,no,,1
NEW MEXICO,2002,NEW MEXICO PSYCHOLOGICAL ASSOCIATION,yes,HEALTH PROFESSIONALS,1
NEW MEXICO,2002,NEW MEXICO PUBLIC HEALTH ASSOCIATION,no,,1
NEW MEXICO,2002,NEW MEXICO REALTORS ASSOCIATION,yes,REAL ESTATE,4
NEW MEXICO,2002,NEW MEXICO RETAIL ASSOCIATION,yes,RETAIL SALES,1
NEW MEXICO,2002,NEW MEXICO RURAL ELECTRIC COOPERATIVE ASSOCIATION,yes,ELECTRIC UTILITIES,3
NEW MEXICO,2002,NEW MEXICO RV DEALERS ASSOCIATION,no,,1
NEW MEXICO,2002,NEW MEXICO SECTION OF AMERICAN COLLEGE OF OB / GYN,no,,1
NEW MEXICO,2002,NEW MEXICO SHOOTING SPORTS ASSOCIATION,yes,GUN CONTROL,1
NEW MEXICO,2002,NEW MEXICO SOCIETY OF ANESTHESIOLOGISTS,yes,HEALTH PROFESSIONALS,1
NEW MEXICO,2002,NEW MEXICO SOCIETY OF CERTIFIED PUBLIC ACCOUNTANTS,no,,2
NEW MEXICO,2002,NEW MEXICO SOFT DRINK ASSOCIATION,yes,FOOD & BEVERAGE,1
NEW MEXICO,2002,NEW MEXICO STATE LODGE FRATERNAL ORDER OF POLICE,yes,PUBLIC SECTOR UNIONS,1
NEW MEXICO,2002,NEW MEXICO STATE POLICE ASSOCIATION,no,,1
NEW MEXICO,2002,NEW MEXICO STATE UNIVERSITY,yes,,1
NEW MEXICO,2002,NEW MEXICO TECH,no,,1
NEW MEXICO,2002,NEW MEXICO TRIAL LAWYERS ASSOCIATION,yes,LAWYERS & LOBBYISTS,1
NEW MEXICO,2002,NEW MEXICO TRUCKING ASSOCIATION,yes,TRUCKING,2
NEW MEXICO,2002,NEW MEXICO WOOL GROWERS INC,no,,1
NEW MEXICO,2002,NM ASSOCIATION OF COMMUNITY COLLEGES,no,,1
NEW MEXICO,2002,NM ENERGY MINERALS & NATURAL RESOURCES DEPARTMENT,no,,2
NEW MEXICO,2002,ORIENTAL MEDICINE ASSOCIATION OF NM,yes,HEALTH PROFESSIONALS,1
NEW MEXICO,2002,PENASCO VALLEY TELEPHONE COOPERATIVE INC,no,,1
NEW MEXICO,2002,PERA (NEW MEXICO PUBLIC EMPLOYEES RETIREMENT ASSOCIAT,no,,4
NEW MEXICO,2002,PHARMACEUTICAL RESEARCH & MANUFACTURING OF AMERICA (P,no,,1
NEW MEXICO,2002,PHELPS DODGE CORPORATION,yes,,1
NEW MEXICO,2002,PHELPS DODGE MINING COMPANY-NEW MEXICO OPERATIONS,no,,3
NEW MEXICO,2002,PHILIP MORRIS,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
NEW MEXICO,2002,PILL PAC,yes,RETAIL SALES,1
NEW MEXICO,2002,PNM RESOURCES,yes,ELECTRIC UTILITIES,1
NEW MEXICO,2002,PREMIER DISTRIBUTING CO,yes,"BEER, WINE & LIQUOR",1
NEW MEXICO,2002,PRESBYTERIAN HEALTH CARE SERVICE,no,,1
NEW MEXICO,2002,PRESBYTERIAN HEALTH PLAN,yes,HEALTH SERVICES,1
NEW MEXICO,2002,PROTECTION & ADVOCACY SYSTEM,no,,1
NEW MEXICO,2002,PUEBLO OF LAGUNA,yes,TRIBAL GOVERNMENTS,2
NEW MEXICO,2002,PUEBLO OF SANTA ANA,yes,TRIBAL GOVERNMENTS,3
NEW MEXICO,2002,PUEBLO OF TAOS,yes,,2
NEW MEXICO,2002,QWEST CORPORATION,no,,1
NEW MEXICO,2002,RETIRED PUBLIC EMPLOYEES OF NEW MEXIC,no,,1
NEW MEXICO,2002,RIO ALGOM MINING LLC,no,,1
NEW MEXICO,2002,RIO GRANDE UNDERGROUND CONTRACTORS ASSOCIATION,no,,1
NEW MEXICO,2002,ROCKY MOUNTAIN FARMERS UNION,no,,1
NEW MEXICO,2002,ROCKY MOUNTAIN SYNOD-EVANGELICAL LUTHERAN CHURCH IN A,no,,1
NEW MEXICO,2002,ROOSEVELT COUNTY,no,,1
NEW MEXICO,2002,RUIDOSO DOWNS RACING,yes,GAMBLING & CASINOS,2
NEW MEXICO,2002,SAN JUAN COLLEGE,no,,1
NEW MEXICO,2002,SANDOVAL COUNTY GOVERNMENT,no,,1
NEW MEXICO,2002,SANTA FE PACIFIC GOLD CORPORATION,yes,,1
