State,Year,Name,Active,Industry,Number of Lobbyists
NORTH CAROLINA,2006,AAA CAROLINAS,no,INSURANCE,1
NORTH CAROLINA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,4
NORTH CAROLINA,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,3
NORTH CAROLINA,2006,ACCENTURE,yes,BUSINESS SERVICES,3
NORTH CAROLINA,2006,ACCOUNTABLE DOCUMENTS SYSTEMS (ADS),no,,1
NORTH CAROLINA,2006,ACLU OF NORTH CAROLINA,yes,OTHER/SINGLE ISSUE GROUPS,2
NORTH CAROLINA,2006,ACS STATE HEALTH CARE,yes,HOSPITALS & NURSING HOMES,5
NORTH CAROLINA,2006,ADOLESCENT PREGNANCY PREVENTION COALITION OF NORTH CAROLINA,no,,1
NORTH CAROLINA,2006,ADP TOTALSOURCE,yes,BUSINESS SERVICES,2
NORTH CAROLINA,2006,ADVANCED EDUCATION SYSTEMS,no,,3
NORTH CAROLINA,2006,ADVANCED ELECTROLYSIS & LASER CLINIC INCORPORATED,no,,1
NORTH CAROLINA,2006,"AGRIBUSINESS COUNCIL, INC, NCNORTH CAROLINA AGRIBUSINESS COUNCIL INCORPORATED",no,,2
NORTH CAROLINA,2006,AGRICULTURAL ALLIANCE OF NORTH CAROLINA,no,,1
NORTH CAROLINA,2006,AGRICULTURAL RESOURCES CENTER,no,,1
NORTH CAROLINA,2006,AIRCRAFT OWNERS & PILOT ASSOCIATION,yes,AIR TRANSPORT,3
NORTH CAROLINA,2006,ALBEMARLE MENTAL HEALTH CENTER,no,,2
NORTH CAROLINA,2006,ALCOA,yes,,3
NORTH CAROLINA,2006,ALCOHOL / DRUG COUNCIL OF NORTH CAROLINA,no,,1
NORTH CAROLINA,2006,ALCOHOLIC BEVERAGE COUNCIL OF NORTH CAROLINA,no,,2
NORTH CAROLINA,2006,ALICE AYCOCK POE HEALTH EDUCATION,no,,1
NORTH CAROLINA,2006,ALLEY ASSOCIATES INCORPORATED,no,,1
NORTH CAROLINA,2006,ALLIANCE CREDIT COUNSELING,no,,2
NORTH CAROLINA,2006,ALLIANCE FOR MANAGED CARE,no,,1
NORTH CAROLINA,2006,ALLIANCE IMAGING INCORPORATED,no,,1
NORTH CAROLINA,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,2
NORTH CAROLINA,2006,ALLIES FOR CHERRY POINTS TOMORROW,no,,3
NORTH CAROLINA,2006,ALLIGATOR RIVER RECYCLING LLC,no,,5
NORTH CAROLINA,2006,ALLSTATE INSURANCE,yes,INSURANCE,2
NORTH CAROLINA,2006,ALLTEL COMMUNICATIONS,yes,TELECOM SERVICES & EQUIPMENT,1
NORTH CAROLINA,2006,AMERICAN & EFIRD INC,no,,1
NORTH CAROLINA,2006,AMERICAN BENEFITS SERVICES,no,,2
NORTH CAROLINA,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,5
NORTH CAROLINA,2006,"AMERICAN COLLEGE OF RADIOLOGY, NC CHAPTER",no,,1
NORTH CAROLINA,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES,yes,CONSTRUCTION SERVICES,5
NORTH CAROLINA,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
NORTH CAROLINA,2006,AMERICAN DIABETES ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
NORTH CAROLINA,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
NORTH CAROLINA,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
NORTH CAROLINA,2006,AMERICAN FARMERS OF THE SEA,no,,1
NORTH CAROLINA,2006,AMERICAN FARMLAND TRUST,yes,,1
NORTH CAROLINA,2006,AMERICAN FIRE SPRINKLER ASSOCIATION CAROLINAS CHAPTER,no,,1
NORTH CAROLINA,2006,AMERICAN FOREST & PAPER ASSOCIATION,yes,FORESTRY & FOREST PRODUCTS,1
NORTH CAROLINA,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
NORTH CAROLINA,2006,AMERICAN INSTITUTE OF ARCHITECTS NORTH CAROLINA,yes,CONSTRUCTION SERVICES,2
NORTH CAROLINA,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,2
NORTH CAROLINA,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
NORTH CAROLINA,2006,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
NORTH CAROLINA,2006,AMERICAN MASSAGE THERAPY ASSOCIATION OF NORTH CAROLINA,no,,1
NORTH CAROLINA,2006,AMERICAN PLANNING ASSOCIATION OF NORTH CAROLINA,no,,1
