State,Year,Name,Active,Industry,Number of Lobbyists
NORTH DAKOTA,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,3
NORTH DAKOTA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,16
NORTH DAKOTA,2006,AFSCME UNIDENTIFIED,yes,PUBLIC SECTOR UNIONS,2
NORTH DAKOTA,2006,ALLIANCE PIPELINE,yes,OIL & GAS,1
NORTH DAKOTA,2006,ALLSTATE INSURANCE,yes,INSURANCE,3
NORTH DAKOTA,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,4
NORTH DAKOTA,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF NORTH DAKOTA,yes,,1
NORTH DAKOTA,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
NORTH DAKOTA,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,3
NORTH DAKOTA,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
NORTH DAKOTA,2006,AMERICAN INSTITUTE OF ARCHITECTS NORTH DAKOTA,yes,CONSTRUCTION SERVICES,1
NORTH DAKOTA,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
NORTH DAKOTA,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
NORTH DAKOTA,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,1
NORTH DAKOTA,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",2
NORTH DAKOTA,2006,ANNE CARLSEN CENTER FOR CHILDREN,no,HEALTH SERVICES,1
NORTH DAKOTA,2006,APT INC,yes,LAWYERS & LOBBYISTS,4
NORTH DAKOTA,2006,ASSOCIATED GENERAL CONTRACTORS OF NORTH DAKOTA,yes,GENERAL CONTRACTORS,2
NORTH DAKOTA,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
NORTH DAKOTA,2006,AUTOMOBILE DEALERS ASSOCIATION OF NORTH DAKOTA,yes,AUTOMOTIVE,1
NORTH DAKOTA,2006,BASIN COOPERATIVE SERVICES,no,ELECTRIC UTILITIES,5
NORTH DAKOTA,2006,BASIN ELECTRIC POWER COOPERATIVE,yes,ELECTRIC UTILITIES,5
NORTH DAKOTA,2006,BASIN TELECOMMUNICATIONS,no,TELECOM SERVICES & EQUIPMENT,5
NORTH DAKOTA,2006,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
NORTH DAKOTA,2006,BEAR PAW ENERGY LLC,no,OIL & GAS,1
NORTH DAKOTA,2006,BISMARCK-MANDAN AREA CHAMBER OF COMMERCE,yes,BUSINESS ASSOCIATIONS,1
NORTH DAKOTA,2006,BNSF RAILWAY,yes,RAILROADS,2
NORTH DAKOTA,2006,CANADIAN PACIFIC RAILWAY,yes,RAILROADS,2
NORTH DAKOTA,2006,CENTER MUTUAL INSURANCE COMPANY,yes,INSURANCE,3
NORTH DAKOTA,2006,CONSUMERS UNION OF UNITED STATES INC,no,,1
NORTH DAKOTA,2006,CONTINENTAL WESTERN GROUP,no,,3
NORTH DAKOTA,2006,CROPLIFE AMERICA,yes,AGRICULTURAL SERVICES & PRODUCTS,1
NORTH DAKOTA,2006,CVS CAREMARK,yes,RETAIL SALES,1
NORTH DAKOTA,2006,CYSTIC FIBROSIS ASSOCIATION OF NORTH DAKOTA,no,,1
NORTH DAKOTA,2006,DAKOTA COAL COMPANY,no,MINING,5
NORTH DAKOTA,2006,DAKOTA FIRE INSURANCE COMPANY,no,INSURANCE,3
NORTH DAKOTA,2006,DAKOTA GASIFICATION COMPANY,no,OIL & GAS,5
NORTH DAKOTA,2006,"DAKOTAS CHAPTER, NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC.",no,,3
NORTH DAKOTA,2006,EXPRESS SCRIPTS,yes,RETAIL SALES,1
NORTH DAKOTA,2006,FARMERS GROUP INC DBA FARMERS UNDERWRITERS ASSOCIATION,yes,INSURANCE,3
