State,Year,Name,Active,Industry,Number of Lobbyists
OKLAHOMA,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,7
OKLAHOMA,2006,AAA OKLAHOMA,no,,1
OKLAHOMA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,3
OKLAHOMA,2006,"ABATE OF OKLAHOMA INC, INC",no,,1
OKLAHOMA,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
OKLAHOMA,2006,ABLE TIRE COMPANY,no,,1
OKLAHOMA,2006,ACHIEVEMENT BUILDERS CORPORATION,yes,,2
OKLAHOMA,2006,ACTION WHOLESALE LIQUOR,no,,1
OKLAHOMA,2006,"ADAMS WIND, LLC",no,,1
OKLAHOMA,2006,ADVANCED ACADEMICS,no,,1
OKLAHOMA,2006,AES SHADY POINT,yes,ELECTRIC UTILITIES,3
OKLAHOMA,2006,AGRIBUSINESS RETAILERS ASSOCIATION OKLAHOMA C / O OK GRAIN & FEED ASSN,no,,1
OKLAHOMA,2006,"AIR CONDITIONING CONTRACTORS OF AMERICA, OKLAHOMA CHAPTER",no,,1
OKLAHOMA,2006,AIR EVAC LIFETEAM,no,HEALTH SERVICES,2
OKLAHOMA,2006,AIRPORT OPERATORS ASSOCIATION,no,,1
OKLAHOMA,2006,ALBERT L TERRILL & ASSOCIATES,no,,1
OKLAHOMA,2006,ALEXANDER & M KENZIE CONSULTANTS,no,,1
OKLAHOMA,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,2
OKLAHOMA,2006,ALLSTATE INSURANCE,yes,INSURANCE,1
OKLAHOMA,2006,ALTRIA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
OKLAHOMA,2006,"ALTUS VENTURES, LLC",no,,1
OKLAHOMA,2006,ALVA ROOFING,no,,2
OKLAHOMA,2006,AMERICAN ACADEMY OF DERMATOLOGY ASSOCIATION,yes,HEALTH PROFESSIONALS,1
OKLAHOMA,2006,AMERICAN ACADEMY OF OPHTHALMOLOGY,yes,HEALTH PROFESSIONALS,3
OKLAHOMA,2006,AMERICAN AIRLINES,yes,AIR TRANSPORT,1
OKLAHOMA,2006,AMERICAN BANK OF OKLAHOMA,no,,1
OKLAHOMA,2006,AMERICAN BOARD FOR CERTIFICATION OF TEACHER EXCELLENCE,no,,2
OKLAHOMA,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,4
OKLAHOMA,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF OKLAHOMA,no,,1
OKLAHOMA,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
OKLAHOMA,2006,AMERICAN DIABETES ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
OKLAHOMA,2006,AMERICAN ELECTRIC POWER,yes,ELECTRIC UTILITIES,2
OKLAHOMA,2006,AMERICAN ENVIRONMENTAL LANDFILL,no,,1
OKLAHOMA,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",2
OKLAHOMA,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,3
OKLAHOMA,2006,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES / AFSCME,yes,PUBLIC SECTOR UNIONS,1
OKLAHOMA,2006,AMERICAN FIDELITY ASSURANCE CO,yes,INSURANCE,6
OKLAHOMA,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
OKLAHOMA,2006,AMERICAN INSTITUTE OF ARCHITECTS OKLAHOMA,yes,CONSTRUCTION SERVICES,3
OKLAHOMA,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,3
OKLAHOMA,2006,AMERICAN PROMOTIONAL EVENTS,yes,CHEMICAL & RELATED MANUFACTURING,1
OKLAHOMA,2006,AMERICAN RESERVE INSURANCE COMPANY,no,,1
OKLAHOMA,2006,AMERICAN SUBCONTRACTORS ASSOCIATION OF OKLAHOMA,yes,,2
OKLAHOMA,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,6
OKLAHOMA,2006,AMGEN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
OKLAHOMA,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
OKLAHOMA,2006,ANADARKO PETROLEUM,yes,OIL & GAS,1
OKLAHOMA,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",2
OKLAHOMA,2006,APA LLC MATTHEW MEANS,no,,1
OKLAHOMA,2006,APACHE CORP,yes,OIL & GAS,1
OKLAHOMA,2006,APPLEKAMP CONSULTING,no,,1
OKLAHOMA,2006,APS HEALTH CARE,no,,1
OKLAHOMA,2006,ASSOCIATED GENERAL CONTRACTORS OF OKLAHOMA,yes,GENERAL CONTRACTORS,2
OKLAHOMA,2006,ASSOCIATED GENERAL CONTRACTORS OF OKLAHOMA,no,,1
OKLAHOMA,2006,ASSOCIATION & SOCIETY INSURANCE CORPORATION,yes,,1
OKLAHOMA,2006,ASSOCIATION OF COUNTY COMMISSIONERS OF OKLAHOMA,no,,1
OKLAHOMA,2006,ASSOCIATION OF OKLAHOMA LIFE INSURANCE COMPANY,no,,1
OKLAHOMA,2006,ASSOCIATION OF OKLAHOMA TWO YEAR COLLEGES (DR JOE KINZER),no,,2
OKLAHOMA,2006,ASSOCIATION OF PROFESSIONAL OKLAHOMA EDUCATORS (APOE),no,,3
OKLAHOMA,2006,ASSURANCE PARTNERS LLC,no,,1
OKLAHOMA,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,8
OKLAHOMA,2006,AT&T,yes,TELECOM SERVICES & EQUIPMENT,26
OKLAHOMA,2006,ATWOOD CONSULTING,yes,,1
OKLAHOMA,2006,AUTOMOTIVE DISMANTLERS & RECYCLERS ASSOCIATION OF OKLAHOMA,yes,,1
OKLAHOMA,2006,AUTOMOTIVE PARTS & SERVICES ASSOCIATION,yes,,2
OKLAHOMA,2006,AVALON CORRECTIONAL SERVICES,yes,MISCELLANEOUS BUSINESS,7
OKLAHOMA,2006,AVENTIS PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
OKLAHOMA,2006,AWIN MANAGEMENT,yes,WASTE MANAGEMENT,1
OKLAHOMA,2006,"BAMA COMPANIES, INC (BAMA CORPORATION)",no,,1
OKLAHOMA,2006,BAMA CORPORATION,no,,6
OKLAHOMA,2006,BANCFIRST,yes,,1
OKLAHOMA,2006,BANCFIRST COMMUNITY DEVELOPMENT CORPORATION,no,,1
OKLAHOMA,2006,BANK OF AMERICA SECURITIES,no,,1
OKLAHOMA,2006,"BANK OF AMERICA SECURITIES, LLC",no,,2
