State,Year,Name,Active,Industry,Number of Lobbyists
OREGON,2006,1000 FRIENDS OF OREGON,yes,PRO-ENVIRONMENTAL POLICY,9
OREGON,2006,24 HOUR FITNESS,yes,MISCELLANEOUS SERVICES,1
OREGON,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
OREGON,2006,7-ELEVEN,yes,OIL & GAS,4
OREGON,2006,AAA OREGON / IDAHO,no,,5
OREGON,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,2
OREGON,2006,ACCENTURE,yes,BUSINESS SERVICES,1
OREGON,2006,ACLU OF OREGON,yes,OTHER/SINGLE ISSUE GROUPS,2
OREGON,2006,ACT,yes,OTHER/SINGLE ISSUE GROUPS,2
OREGON,2006,ADDUS HEALTH CARE,yes,HEALTH SERVICES,2
OREGON,2006,"ADULT FAMILY CARE PROVIDERS, INC",no,,1
OREGON,2006,ADVOCACY COALITION OF SENIORS & PEOPLE WITH DISABLITIES,no,,1
OREGON,2006,AFFINION GROUP,no,,1
OREGON,2006,AFSCME OREGON COUNCIL 75,yes,PUBLIC SECTOR UNIONS,11
OREGON,2006,AGRICULTURAL COOPERATIVE COUNCIL OF OREGON,yes,,1
OREGON,2006,ALASKA AIR,yes,,2
OREGON,2006,ALLIANCE FOR MARRIAGE FOUNDATION,yes,,1
OREGON,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
OREGON,2006,ALLSTATE INSURANCE,yes,INSURANCE,4
OREGON,2006,ALZHEIMERS NETWORK OF OREGON,no,,1
OREGON,2006,AMALGAMATED TRANSIT UNION UNIDENTIFIED,yes,TRANSPORTATION UNIONS,3
OREGON,2006,AMERICAN ASSOCIATION OF PUBLISHERS,yes,PRINTING & PUBLISHING,1
OREGON,2006,AMERICAN ASSOCIATION OF UNIVERSITY PROFESSORS / AAUP,yes,PUBLIC SECTOR UNIONS,2
OREGON,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,2
OREGON,2006,AMERICAN CHEMISTRY COUNCIL,yes,CHEMICAL & RELATED MANUFACTURING,2
OREGON,2006,"AMERICAN COLLEGE OF EMERGENCY PHYSICIANS, OREGON CHAPTER",no,,1
OREGON,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF OREGON,yes,CONSTRUCTION SERVICES,1
OREGON,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
OREGON,2006,AMERICAN DIABETES ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
OREGON,2006,AMERICAN ELECTRONICS ASSOCIATION,yes,,1
OREGON,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
OREGON,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,2
OREGON,2006,AMERICAN FOREST & PAPER ASSOCIATION,yes,FORESTRY & FOREST PRODUCTS,1
