State,Year,Name,Active,Industry,Number of Lobbyists
PENNSYLVANIA,2003,1-800 CONTACTS,yes,HEALTH SERVICES,5
PENNSYLVANIA,2003,100% PURSES INC (D / B / A FREEDOM PARK),no,,12
PENNSYLVANIA,2003,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,13
PENNSYLVANIA,2003,521 MANAGEMENT GROUP INC,yes,,1
PENNSYLVANIA,2003,84 LUMBER,yes,BUILDING MATERIALS & EQUIPMENT,5
PENNSYLVANIA,2003,A BROTHERHOOD AIMED TOWARD EDUCATION,yes,MISCELLANEOUS TRANSPORT,1
PENNSYLVANIA,2003,AAA FEDERATION PENNSYLVANIA,no,,6
PENNSYLVANIA,2003,AARP,yes,ELDERLY/SOCIAL SECURITY,1
PENNSYLVANIA,2003,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,3
PENNSYLVANIA,2003,ABORETUM COALITION PARTNERS THE,no,,1
PENNSYLVANIA,2003,ABRAMSON CENTER FOR JEWISH LIFE MADLYN & LEONARD,no,,11
PENNSYLVANIA,2003,ACCENTURE,no,,14
PENNSYLVANIA,2003,ACCLAIM SYSTEMS INC,no,,3
PENNSYLVANIA,2003,ACHIEVA,no,,2
PENNSYLVANIA,2003,ACLU OF PENNSYLVANIA,no,OTHER/SINGLE ISSUE GROUPS,1
PENNSYLVANIA,2003,ACT 101 PROGRAM DIRECTORS ASSOCIATION,no,,2
PENNSYLVANIA,2003,ADELPHIA BUSINESS SOLUTIONS,no,,6
PENNSYLVANIA,2003,ADELPHOI VILLAGE INC,no,,2
PENNSYLVANIA,2003,ADP TOTALSOURCE,yes,BUSINESS SERVICES,7
PENNSYLVANIA,2003,ADVANCE AMERICA CASH ADVANCE CENTERS,yes,PAYDAY/TITLE LOANS,1
PENNSYLVANIA,2003,AFFILIATED COMPUTER SERVICES,yes,COMPUTER EQUIPMENT & SERVICES,8
PENNSYLVANIA,2003,AFSCME PUBLIC EMPLOYEES COUNCIL 13,yes,PUBLIC SECTOR UNIONS,3
PENNSYLVANIA,2003,AG COALITION COMMITTEE OF PENNAG INDUSTRIES,no,,3
PENNSYLVANIA,2003,AGGREGATES & CONCRETE ASSOCIATION PENNSYLVANIA,no,,1
PENNSYLVANIA,2003,AGING SOUTHWESTERN PENNSYLVANIA PARTNERSHIP FOR,no,,1
PENNSYLVANIA,2003,AGRICULTURAL EDUCATORS PENNSYLVANIA ASSOCIATION OF,no,,1
PENNSYLVANIA,2003,AIR PRODUCTS & CHEMICALS,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,2
PENNSYLVANIA,2003,AIR PRODUCTS & CHEMICALS INC,yes,,18
PENNSYLVANIA,2003,AIRCRAFT OWNERS & PILOT ASSOCIATION,yes,AIR TRANSPORT,1
PENNSYLVANIA,2003,AIRDESK,no,,7
PENNSYLVANIA,2003,AIRPORT AREA CHAMBER OF COMMERCE,no,,10
PENNSYLVANIA,2003,AK STEEL CORPORATION,yes,,1
PENNSYLVANIA,2003,AKOYA,no,,4
PENNSYLVANIA,2003,ALAMO PHARMACEUTICALS,no,,1
PENNSYLVANIA,2003,ALBERT EINSTEIN HEALTHCARE NETWORK,no,,22
PENNSYLVANIA,2003,ALBERT EINSTEIN MEDICAL CENTER,no,,22
PENNSYLVANIA,2003,ALLEGHENY & EASTERN RAILROAD COMPANY,no,,3
PENNSYLVANIA,2003,ALLEGHENY COUNTY,no,,17
PENNSYLVANIA,2003,ALLEGHENY COUNTY COMMUNITY COLLEGE OF,no,,2
PENNSYLVANIA,2003,ALLEGHENY COUNTY SANITARY AUTHORITY,no,,6
PENNSYLVANIA,2003,ALLEGHENY ENERGY INC,yes,,2
PENNSYLVANIA,2003,ALLEGHENY ENERGY INC,yes,,2
PENNSYLVANIA,2003,ALLEGHENY LEAGUE OF MUNICIPALITIES,no,,1
PENNSYLVANIA,2003,ALLEGHENY LUDLUM CORPORATION,yes,STEEL,1
PENNSYLVANIA,2003,ALLEGIANCE HEALTHCARE,yes,HEALTH SERVICES,2
PENNSYLVANIA,2003,ALLERGAN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
PENNSYLVANIA,2003,ALLFIRST TRUST COMPANY OF PENNSYLVANIA,no,,1
PENNSYLVANIA,2003,ALLIANCE BALLY GAMING INC,no,,6
PENNSYLVANIA,2003,ALLIANCE OF APPROVED PRIVATE SCHOOLS,no,,6
PENNSYLVANIA,2003,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,17
PENNSYLVANIA,2003,ALLIANCE TO CONTROL TOBACCO PA,no,,1
PENNSYLVANIA,2003,ALLIED CHARITIES OF PENNSYLVANIA,no,,1
PENNSYLVANIA,2003,ALLIED WASTE INDUSTRIES / BFI,no,,2
PENNSYLVANIA,2003,ALLSTATE INSURANCE,yes,INSURANCE,1
PENNSYLVANIA,2003,ALPINE ROSE RESORTS INC,no,,9
PENNSYLVANIA,2003,ALTERNATIVE FUELS COUNCIL,no,,9
PENNSYLVANIA,2003,ALZHEIMERS ASSOCIATION,yes,,3
PENNSYLVANIA,2003,AMALGAMATED TRANSIT UNION LOCAL 1436,no,,1
PENNSYLVANIA,2003,AMERCHOICE,no,,1
PENNSYLVANIA,2003,AMERICA LAWYER MEDIA,no,,1
PENNSYLVANIA,2003,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,6
PENNSYLVANIA,2003,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",4
PENNSYLVANIA,2003,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,5
PENNSYLVANIA,2003,AMERICAN GENERAL ENTERPRISE SERVICES,no,,11
