State,Year,Name,Active,Industry,Number of Lobbyists
RHODE ISLAND,2002,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
RHODE ISLAND,2002,AAA SOUTHERN NEW ENGLAND,yes,,2
RHODE ISLAND,2002,AARP,yes,ELDERLY/SOCIAL SECURITY,9
RHODE ISLAND,2002,ACLU OF RHODE ISLAND,no,OTHER/SINGLE ISSUE GROUPS,2
RHODE ISLAND,2002,ADMINISTRATION,no,,12
RHODE ISLAND,2002,ADMINISTRATION / AUDITS,no,,1
RHODE ISLAND,2002,ADMINISTRATION / BUDGET OFFICE,no,,19
RHODE ISLAND,2002,ADMINISTRATION / BUREAU OF AUDITS,no,,2
RHODE ISLAND,2002,ADMINISTRATION / CENTRAL BUSINESS OFFICE,no,,1
RHODE ISLAND,2002,ADMINISTRATION / CENTRAL SERVICES,no,,1
RHODE ISLAND,2002,ADMINISTRATION / CONTROLLER,no,,1
RHODE ISLAND,2002,ADMINISTRATION / DMV,no,,5
RHODE ISLAND,2002,ADMINISTRATION / EMPLOYEE BENEFITS,no,,1
RHODE ISLAND,2002,ADMINISTRATION / ENERGY OFFICE,no,,4
RHODE ISLAND,2002,ADMINISTRATION / LABOR RELATIONS,no,,3
RHODE ISLAND,2002,ADMINISTRATION / MUNICIPAL AFFAIRS,no,,1
RHODE ISLAND,2002,ADMINISTRATION / PERSONEL ADMINISTRATOR,no,,1
RHODE ISLAND,2002,ADMINISTRATION / PURCHASES,no,,2
RHODE ISLAND,2002,ADMINISTRATION / STATEWIDE PLANNING,no,,5
RHODE ISLAND,2002,ADMINISTRATION / TAXATION,no,,6
RHODE ISLAND,2002,ADVANTAGE CAPITAL,no,,2
RHODE ISLAND,2002,"AES NEWENERGY, INC.",no,,1
RHODE ISLAND,2002,AFFORDABLE CASKETS INC.,no,,1
RHODE ISLAND,2002,AIDS PROJECT RI,no,,1
RHODE ISLAND,2002,ALCOHOLIC BEVERAGE WHOLESALE DEALERS OF RI,no,,2
RHODE ISLAND,2002,ALGONQUIN GAS TRANSMISSION COMPANY,no,,5
RHODE ISLAND,2002,ALLEGIANCE HEALTH CARE,no,,5
RHODE ISLAND,2002,ALLIANCE FOR BETTER LONG TERM CARE,no,,1
RHODE ISLAND,2002,ALLIANCE OF AMERICAN INSURERS,no,,2
RHODE ISLAND,2002,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,2
RHODE ISLAND,2002,ALLSTATE INSURANCE,yes,INSURANCE,1
RHODE ISLAND,2002,AMALGAMATED TRANSIT UNION UNIDENTIFIED,yes,TRANSPORTATION UNIONS,1
RHODE ISLAND,2002,AMERICAN BIOPHYSICS CORP.,no,,3
RHODE ISLAND,2002,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,1
RHODE ISLAND,2002,AMERICAN CHEMISTRY COUNCIL,yes,CHEMICAL & RELATED MANUFACTURING,2
RHODE ISLAND,2002,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
RHODE ISLAND,2002,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
RHODE ISLAND,2002,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,3
RHODE ISLAND,2002,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
RHODE ISLAND,2002,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,2
RHODE ISLAND,2002,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
RHODE ISLAND,2002,AMICA MUTUAL INSURANCE CO. & SUBSIDAIRIES,no,,2
RHODE ISLAND,2002,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",2
RHODE ISLAND,2002,ASSOCIATED BUILDERS & CONTRACTORS UNIDENTIFIED,yes,GENERAL CONTRACTORS,1
RHODE ISLAND,2002,ASSOCIATED PETROLEUM INDUSTRIES,yes,OIL & GAS,1
RHODE ISLAND,2002,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
RHODE ISLAND,2002,ATLANTIC RICHFIELD COMPANY,no,OIL & GAS,3
RHODE ISLAND,2002,ATTORNEY GENERAL,no,,3
RHODE ISLAND,2002,AUDUBON SOCIETY OF RI,no,,2
RHODE ISLAND,2002,AUTOBODY ASSOCIATION OF RI,no,,1
RHODE ISLAND,2002,AVIS CAR RENTAL,no,,1
RHODE ISLAND,2002,BEACON MUTUAL INSURANCE CO.,no,,5
RHODE ISLAND,2002,"BLUE CROSS BLUE SHIELD OF RI, INC",no,,4
RHODE ISLAND,2002,BOARD OF ELECTIONS,no,,1
RHODE ISLAND,2002,BOARD OF GOVERNORS FOR HIGHER EDUCATION,no,,1
RHODE ISLAND,2002,BROADCAST MUSIC INC,no,,1
RHODE ISLAND,2002,BROWN & WILLIAMSON TOBACCO CORP.,no,,1
RHODE ISLAND,2002,BROWN UNIVERSITY,no,,2
RHODE ISLAND,2002,BUSINESS EDUCATION ROUNDTABLE,no,,1
RHODE ISLAND,2002,BUSINESS REGULATION,no,,20
RHODE ISLAND,2002,BUSINESS REGULATION / BANKING,no,,2
RHODE ISLAND,2002,BUSINESS REGULATION / INSURANCE,no,,8
RHODE ISLAND,2002,CAPITOL COURT REPORTING,no,,1
RHODE ISLAND,2002,CATHOLICS FOR LIFE,no,,2
RHODE ISLAND,2002,CENTRAL FALLS DETENTION FACILITY CORPORATION,no,,2
RHODE ISLAND,2002,CHAMBER OF COMMERCE GREATER PITTSBURGH,yes,BUSINESS ASSOCIATIONS,5
RHODE ISLAND,2002,CHILDHOOD LEAD ACTION PROJECT,no,,1
RHODE ISLAND,2002,CHOICE COALITION,no,,1
RHODE ISLAND,2002,"CITIZENS FINANCIAL GROUP, INC",no,,1
RHODE ISLAND,2002,CITY OF CRANSTON ADMINISTRATION,no,,3
RHODE ISLAND,2002,CITY OF PAWTUCKET,no,,1
RHODE ISLAND,2002,CITY OF PROVIDENCE,no,,2
RHODE ISLAND,2002,CLEAN WATER ACTION,no,,1
RHODE ISLAND,2002,CLEARLAKE CAPITAL LLC,no,,4
RHODE ISLAND,2002,COALITION FOR CONSUMER JUSTICE,no,,2
RHODE ISLAND,2002,COALITION FOR NATURAL HEALTH,no,,2
