State,Year,Name,Active,Industry,Number of Lobbyists
SOUTH CAROLINA,2006,A G EDWARDS & SONS INC,yes,,1
SOUTH CAROLINA,2006,AAA CAROLINA MOTOR CLUB,no,,1
SOUTH CAROLINA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,1
SOUTH CAROLINA,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
SOUTH CAROLINA,2006,ABBOTT SIGN CO,yes,,1
SOUTH CAROLINA,2006,ABC STORES OF SOUTH CAROLINA,yes,"BEER, WINE & LIQUOR",1
SOUTH CAROLINA,2006,ACCENTURE,yes,,1
SOUTH CAROLINA,2006,ADP TOTALSOURCE,yes,BUSINESS SERVICES,1
SOUTH CAROLINA,2006,AFFORDABLE HOUSING COALITION OF SC,no,,1
SOUTH CAROLINA,2006,AIKEN ELECTRIC COOPERATIVE,yes,,2
SOUTH CAROLINA,2006,ALLEN COMPANY,yes,,1
SOUTH CAROLINA,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,2
SOUTH CAROLINA,2006,ALLTEL COMMUNICATIONS INC,yes,,3
SOUTH CAROLINA,2006,ALZHEIMERS ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
SOUTH CAROLINA,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,4
SOUTH CAROLINA,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF SOUTH CAROLINA,yes,CONSTRUCTION SERVICES,4
SOUTH CAROLINA,2006,AMERICAN COUNCIL OF LIFE INS,yes,,1
SOUTH CAROLINA,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
SOUTH CAROLINA,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
SOUTH CAROLINA,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,3
SOUTH CAROLINA,2006,AMERICAN INSTITUTE OF ARCHITECTS SOUTH CAROLINA,yes,CONSTRUCTION SERVICES,2
SOUTH CAROLINA,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
