State,Year,Name,Active,Industry,Number of Lobbyists
SOUTH DAKOTA,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,2
SOUTH DAKOTA,2006,AAA SOUTH DAKOTA,no,,1
SOUTH DAKOTA,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,3
SOUTH DAKOTA,2006,ACLU OF THE DAKOTAS,yes,OTHER/SINGLE ISSUE GROUPS,1
SOUTH DAKOTA,2006,"ADVOCACY NETWORK FOR WOMEN, SD",no,,1
SOUTH DAKOTA,2006,"ADVOCACY SERVICES, SD",no,,1
SOUTH DAKOTA,2006,"AGRI-BUSINESS ASSN, SD",no,,2
SOUTH DAKOTA,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
SOUTH DAKOTA,2006,ALLTEL COMMUNICATIONS,no,,1
SOUTH DAKOTA,2006,ALPHA CENTER,yes,,1
SOUTH DAKOTA,2006,ALTERNATIVE INSTRUCTION ASSN OF SD,no,,2
SOUTH DAKOTA,2006,"ALTERNATIVE INSTRUCTION ASSN, SD",no,,1
SOUTH DAKOTA,2006,"ALTERNATIVE INSTRUCTION, SD",no,,1
SOUTH DAKOTA,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,3
SOUTH DAKOTA,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
SOUTH DAKOTA,2006,AMERICAN COUNCIL OF TRUSTEES & ALUMNI,no,,1
SOUTH DAKOTA,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,3
SOUTH DAKOTA,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
SOUTH DAKOTA,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
SOUTH DAKOTA,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
SOUTH DAKOTA,2006,AMERICAN LEGION DEPARTMENT OF SD,no,,2
SOUTH DAKOTA,2006,"AMERICAN LEGION, DEPT OF SD",no,,1
SOUTH DAKOTA,2006,AMERICAN LIFE LEAGUE,yes,ABORTION POLICY,2
SOUTH DAKOTA,2006,"AMERICAN MASSAGE THERAPY ASSN, SD CHAPTER",no,,1
SOUTH DAKOTA,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,1
SOUTH DAKOTA,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
SOUTH DAKOTA,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",1
SOUTH DAKOTA,2006,APPLE INC,yes,COMPUTER EQUIPMENT & SERVICES,1
SOUTH DAKOTA,2006,ASBSD PROTECTIVE TRUST,no,,1
SOUTH DAKOTA,2006,"ASSESSING OFFICERS, SD ASSOCIATION OF",no,,8
SOUTH DAKOTA,2006,ASSISTED LIVING ASSOCIATION OF SOUTH DAKOTA,yes,HOSPITALS & NURSING HOMES,1
SOUTH DAKOTA,2006,ASSOCIATED GENERAL CONTRACTORS CHAPTER OF SOUTH DAKOTA,yes,GENERAL CONTRACTORS,3
SOUTH DAKOTA,2006,ASSOCIATED PETROLEUM INDUSTRIES,yes,OIL & GAS,1
SOUTH DAKOTA,2006,ASSOCIATED SCHOOL BOARDS OF SD,no,,5
SOUTH DAKOTA,2006,"ASSOCIATED SCHOOL BOARDS, SD",no,,1
SOUTH DAKOTA,2006,"ASSOCIATION COMMUNITY BASED SERVICES, SD",no,,1
SOUTH DAKOTA,2006,"ASSOCIATION OF THE DEAF, SD",no,,1
SOUTH DAKOTA,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
SOUTH DAKOTA,2006,"ATHLETIC TRAINERS ASSN, SD",no,,1
SOUTH DAKOTA,2006,"AUTO DEALERS ASSN, SD",no,,2
SOUTH DAKOTA,2006,AVERA HEALTH,yes,HOSPITALS & NURSING HOMES,3
