State,Year,Name,Active,Industry,Number of Lobbyists
TENNESSEE,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,2
TENNESSEE,2006,AAA AUTO CLUB EAST,no,,1
TENNESSEE,2006,AAA AUTO CLUBS OF TENN,no,,2
TENNESSEE,2006,"AAC CAPITAL HOLDINGS, INC",no,,1
TENNESSEE,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,14
TENNESSEE,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,4
TENNESSEE,2006,ACC CAPITAL HOLDINGS,yes,REAL ESTATE,1
TENNESSEE,2006,ACCENTURE,yes,BUSINESS SERVICES,3
TENNESSEE,2006,ACLU OF TENNESSEE,yes,OTHER/SINGLE ISSUE GROUPS,2
TENNESSEE,2006,ACS UNCLAIMED PROPERTY CLEARING HOUSE,no,,1
TENNESSEE,2006,ACT INC-EAST REGION,no,,1
TENNESSEE,2006,ADVANCE AMERICA CASH ADVANCE CENTERS,yes,PAYDAY/TITLE LOANS,2
TENNESSEE,2006,ADVANTAGE BEHAVIORAL HEALTH,no,,5
TENNESSEE,2006,AECOM CONSULT,no,,4
TENNESSEE,2006,AETNA,yes,INSURANCE,5
TENNESSEE,2006,AGL RESOURCES,yes,OIL & GAS,3
TENNESSEE,2006,AIR EVAC LIFETEAM,no,HEALTH SERVICES,3
TENNESSEE,2006,ALCOA,yes,,3
TENNESSEE,2006,ALEXIAN BROTHERS,no,CLERGY,2
TENNESSEE,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
TENNESSEE,2006,ALLSTATE INSURANCE,yes,INSURANCE,4
TENNESSEE,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,4
TENNESSEE,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF TENN,no,,1
TENNESSEE,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
TENNESSEE,2006,AMERICAN DIABETES ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
TENNESSEE,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",2
TENNESSEE,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,2
TENNESSEE,2006,AMERICAN FOREST & PAPER ASSOCIATION,yes,FORESTRY & FOREST PRODUCTS,2
TENNESSEE,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
TENNESSEE,2006,AMERICAN INSTITUTE ARCHITECTS,no,,1
TENNESSEE,2006,AMERICAN INSTITUTE OF ARCHITECTS TENNESSEE,yes,CONSTRUCTION SERVICES,1
TENNESSEE,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
TENNESSEE,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",6
TENNESSEE,2006,AMERICAN LEGAL FINANCE ASSOCIATION / STATESIDE ASSOCIATES,no,,4
TENNESSEE,2006,AMERICAN LUNG ASSN OF TN,no,,1
TENNESSEE,2006,AMERICAN MASSAGE THERAPY ASSN-TENN CHAPTER,no,,1
TENNESSEE,2006,AMERICAN PHARMACY COOPERATIVE INC,yes,,2
TENNESSEE,2006,AMERICAN RESORT DEVELOPMENT ASSOCIATION,yes,,3
TENNESSEE,2006,AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,yes,ANIMAL RIGHTS,1
TENNESSEE,2006,AMGEN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
TENNESSEE,2006,AMPHARM,no,,1
TENNESSEE,2006,AMSOUTH BANK,yes,COMMERCIAL BANKS,2
TENNESSEE,2006,AMSURG CORPORATION,yes,,1
TENNESSEE,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
TENNESSEE,2006,AMYLIN PHARMACEUTICALS INC,yes,,2
TENNESSEE,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",4
TENNESSEE,2006,AON GROUP,no,,1
TENNESSEE,2006,AON RISK SERVICES OF MISSOURI INC,no,,1
TENNESSEE,2006,APOLLO GROUP,yes,EDUCATION,2
TENNESSEE,2006,APPALACHIAN POWER,yes,,4
TENNESSEE,2006,APPRAISAL INSTITUTE GREATER TENN / MEMPHIS TENN,no,,1
TENNESSEE,2006,APPROVED CASH ADVANCE LLC,no,,1
TENNESSEE,2006,ASSN OF HEALTH INFO OUTSOURCING C / O MULTISTATE,no,,1
TENNESSEE,2006,ASSN OF NONPROFIT EXECUTIVES,no,,1
TENNESSEE,2006,ASSOCIATED GENERAL CONTRACTORS - TN,no,,3
TENNESSEE,2006,ASSOCIATED GENERAL CONTRACTORS OF EAST TENN,no,,1
TENNESSEE,2006,ASSOCIATED PETROLEUM INDUSTRIES,yes,OIL & GAS,1
TENNESSEE,2006,ASSOCIATION OF INDEPENDENT / MUNICIPAL SCHOOLS,no,,2
TENNESSEE,2006,ASSOCIATION OF SURGICAL TECHNOLOGISTS,no,,1
TENNESSEE,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
TENNESSEE,2006,AT&T,yes,TELECOM SERVICES & EQUIPMENT,14
TENNESSEE,2006,ATMOS ENERGY,yes,OIL & GAS,3
TENNESSEE,2006,BANK ATLANTIC,yes,COMMERCIAL BANKS,1
TENNESSEE,2006,BANK OF AMERICA,yes,COMMERCIAL BANKS,3
TENNESSEE,2006,BAPTIST HEALTH SYSTEM OF E TN,no,,1
TENNESSEE,2006,BAPTIST MEMORIAL HEALTHCARE CORP,no,,3
TENNESSEE,2006,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
TENNESSEE,2006,BEAR STEARNS & COMPANY INC,no,,2
TENNESSEE,2006,"BEEHRINGER INGELHEIM PHARMACEUTICALS, INC",no,,1
TENNESSEE,2006,BELZ ENTERPRISES,yes,REAL ESTATE,3
TENNESSEE,2006,BFI WASTE SYSTEMS OF TENNESSEE LLC,no,,2
TENNESSEE,2006,BIRDSONG RESORT MARINA & CAMPGROUND,yes,LODGING & TOURISM,1
TENNESSEE,2006,BLAKE ENTERPRISES,yes,FINANCE & CREDIT COMPANIES,3
TENNESSEE,2006,BLOUNT MEMORIAL HOSPITAL,no,,1
TENNESSEE,2006,BLOUNT PARTNERSHIP,no,,1
TENNESSEE,2006,BLUE CROSS BLUE SHIELD OF TENNESSEE,yes,INSURANCE,12
TENNESSEE,2006,BNSF RAILWAY,yes,RAILROADS,2
TENNESSEE,2006,BODIE & ASSOCIATES,no,,1
TENNESSEE,2006,BOLIVAR ELECTRIC DEPARTMENT,no,,2
TENNESSEE,2006,BOWATER INC,yes,BUILDING MATERIALS & EQUIPMENT,3
TENNESSEE,2006,BOYS & GIRLS CLUB ALLIANCE,no,,3
TENNESSEE,2006,BRENTWOOD SERVICES INC,yes,,2
TENNESSEE,2006,BRIDGESTONE FIRESTONE NORTH AMERICAN TIRE,yes,AUTOMOTIVE,5
TENNESSEE,2006,BRISTOL-MYERS SQUIBB,yes,PHARMACEUTICALS & HEALTH PRODUCTS,4
TENNESSEE,2006,BROADCAST MUSIC INCORPORATED,no,,1
TENNESSEE,2006,BROWN-FORMAN,yes,"BEER, WINE & LIQUOR",5
TENNESSEE,2006,BRUSHY MOUNTAIN PRISON EMPLOYEES UNION,yes,PUBLIC SECTOR UNIONS,1
TENNESSEE,2006,BUCHART HORN INC,yes,CONSTRUCTION SERVICES,1
TENNESSEE,2006,BUSINESS RISK SERVICES LLC,no,,1
TENNESSEE,2006,CASH AMERICA INTERNATIONAL,yes,PAYDAY/TITLE LOANS,3
TENNESSEE,2006,CATERPILLAR INC C / O MULTISTATE ASSOCIATES INC,no,,2
TENNESSEE,2006,CATHOLIC PUBLIC POLICY COMMISSION,no,,3
TENNESSEE,2006,"CBOSS, INC",no,,2
TENNESSEE,2006,CBRL GROUP INC,yes,FOOD & BEVERAGE,1
TENNESSEE,2006,CEMETARY ASSOCIATION OF TENNESSEE INC,no,,5
TENNESSEE,2006,CENDANT,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
TENNESSEE,2006,CENTER FOR ENERGY & ECONOMIC DEVELOPMENT,no,MINING,2
TENNESSEE,2006,CENTRAL DEFENSE SECURITY,no,,1
TENNESSEE,2006,CENTURY II STAFFING,no,,2
TENNESSEE,2006,CHART,no,,1
TENNESSEE,2006,CHATTANOOGA AREA CHAMBER OF COMMERCE,no,,1
TENNESSEE,2006,CHATTANOOGA MANUFACTURERS ASSN,no,,1
TENNESSEE,2006,CHILDRENS HOSPITAL ALLIANCE,no,,1
TENNESSEE,2006,CHILDRENS PROGRESS,no,,2
TENNESSEE,2006,CHRISTIAN SCIENCE COMM / PUB FOR TN,no,,1
TENNESSEE,2006,CIGAR ASSOCIATION OF AMERICA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,1
TENNESSEE,2006,CIGNA CORP,yes,INSURANCE,7
TENNESSEE,2006,CINGULAR WIRELESS,yes,TELECOM SERVICES & EQUIPMENT,2
TENNESSEE,2006,CITIGROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
TENNESSEE,2006,CITY OF BARTLETT,yes,,3
TENNESSEE,2006,CITY OF BRENTWOOD,no,,3
TENNESSEE,2006,CITY OF BRISTOL,no,,1
TENNESSEE,2006,CITY OF CHATTANOOGA,no,,1
TENNESSEE,2006,CITY OF CHATTANOOGA OFFICE OF THE MAYOR,no,,1
TENNESSEE,2006,CITY OF CLEVELAND,no,,3
TENNESSEE,2006,CITY OF GATLINBURG,no,,2
TENNESSEE,2006,CITY OF GERMANTOWN,no,,3
TENNESSEE,2006,CITY OF JOHNSON CITY,no,,1
TENNESSEE,2006,CITY OF KINGSPORT,no,,1
TENNESSEE,2006,CITY OF KNOXVILLE,no,,1
TENNESSEE,2006,CITY OF MEMPHIS,no,,2
TENNESSEE,2006,CITY OF MEMPHIS / MLGW UTILITY,no,,3
TENNESSEE,2006,CITY OF OAK HILL,no,,1
TENNESSEE,2006,CITY OF OAK RIDGE,no,,1
TENNESSEE,2006,CITY OF PIGEON FORGE,no,,2
TENNESSEE,2006,CITY OF SEVIERVILLE,no,,2
TENNESSEE,2006,CITY OF TOWNSEND,no,,2
TENNESSEE,2006,CLARKSVILLE DEPARTMENT OF ELECTRICITY,no,,1
TENNESSEE,2006,CLEVELAND UTILITIES,no,,3
TENNESSEE,2006,CMT / ABATE INC,no,,1
TENNESSEE,2006,COALITION FOR AFFORDABLE HOUSING,no,,1
TENNESSEE,2006,COCKE COUNTY,no,,1
TENNESSEE,2006,COCKE COUNTY,no,,1
TENNESSEE,2006,COLLEGE OF AMERICA PATHOLOGISTS,yes,,1
TENNESSEE,2006,COLLEGE OF AMERICAN PATHOLOGISTS,yes,HEALTH PROFESSIONALS,8
TENNESSEE,2006,COLUMBIA GULF TRANSMISSION CO,no,,1
TENNESSEE,2006,COMCARE INC,no,,1
TENNESSEE,2006,COMCAST,yes,TELECOM SERVICES & EQUIPMENT,1
TENNESSEE,2006,COMDATA,yes,,1
TENNESSEE,2006,COMMISSIONED OFFICERS STATE OF TENN,no,,2
TENNESSEE,2006,COMMITTEE ON COMPENSATION & RETIREMENT,no,,3
TENNESSEE,2006,COMMON CAUSE OF TN,no,,1
TENNESSEE,2006,COMMUNITY ASSOCIATIONS INSTITUTE TENN CHAPTER,no,,1
TENNESSEE,2006,COMMUNITY HEALTH SYSTEMS,yes,HOSPITALS & NURSING HOMES,8
TENNESSEE,2006,COMMUNITY LOANS OF AMERICA,yes,PAYDAY/TITLE LOANS,1
TENNESSEE,2006,COMMUNITY REHABILITATION AGENCIES OF TENNESSEE,no,,2
TENNESSEE,2006,COMPASS LEARNING INC,no,,2
TENNESSEE,2006,"COMPETATIVE CAREERS OF THE SOUTH, INC",no,,1
TENNESSEE,2006,CONCENTRA HEALTH,no,,2
TENNESSEE,2006,CONCERNED AUTOMOTIVE RETAILERS,yes,AUTOMOTIVE,5
TENNESSEE,2006,CONEXION AMERICAS,no,,2
TENNESSEE,2006,CONSOER TOWNSEND ENVIRODYNE ENGINEERS INC,no,,4
TENNESSEE,2006,"CONSOLIDATED WASTE SYSTEMS, LLC",no,,3
TENNESSEE,2006,CONSUMER DATA INDUSTRY ASSOCIATION,yes,,2
TENNESSEE,2006,CONSUMER LENDING ALLIANCE,yes,PAYDAY/TITLE LOANS,1
TENNESSEE,2006,CONSUMERS UNION OF U S INC,no,,1
TENNESSEE,2006,CONTINENTAL CASUALTY DBA CNA INSURANCE CORP,yes,INSURANCE,2
TENNESSEE,2006,CONWOOD CO,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,2
TENNESSEE,2006,CORRECTIONAL MEDICAL SERVICES,yes,MISCELLANEOUS BUSINESS,3
TENNESSEE,2006,CORRECTIONS CORP OF AMERICA,yes,MISCELLANEOUS BUSINESS,10
TENNESSEE,2006,COUNTY OFFICIALS ASSOCIATION OF TN,yes,,2
TENNESSEE,2006,COVENTRY FIRST,yes,INSURANCE,5
TENNESSEE,2006,"CRESCENT RESOURCES, LLC (TENNESSEE)",no,,1
TENNESSEE,2006,CSX TRANSPORTATION,yes,RAILROADS,3
TENNESSEE,2006,CURAM SOFTWARE,no,,1
TENNESSEE,2006,CVS CAREMARK,yes,RETAIL SALES,6
TENNESSEE,2006,DAD OF TENNESSEE,no,,1
TENNESSEE,2006,DAILY NEWS PUBLISHING CO,no,,3
TENNESSEE,2006,DAVITA INC,no,,2
TENNESSEE,2006,DCI DONOR SERVICES,no,,2
TENNESSEE,2006,DEERFIELD COVE MARINA-RESORT,no,,1
TENNESSEE,2006,"DEFENSIVE DRIVING COURSES, INC",no,,1
TENNESSEE,2006,DELL COMPUTER CORP,no,,2
TENNESSEE,2006,DELOITTE,yes,ACCOUNTANTS,3
TENNESSEE,2006,DELTA DENTAL PLAN OF TN,yes,,2
TENNESSEE,2006,DENTAQUEST VENTURES INC,no,,2
TENNESSEE,2006,DIAGEO,yes,"BEER, WINE & LIQUOR",5
TENNESSEE,2006,DICKSON ELECTRIC SYSTEM,yes,,1
TENNESSEE,2006,DIEBOLD ELECTION SYSTEMS INC,no,,1
TENNESSEE,2006,"DIEBOLD ELECTION SYSTEMS, INC",no,,1
TENNESSEE,2006,DIRECT SELLING ASSOCIATION,yes,,1
TENNESSEE,2006,DISTRIBUTORS INSURANCE CO,no,,3
TENNESSEE,2006,"DIVERSIFIED HEALTH SOLUTIONS, INC",no,,1
TENNESSEE,2006,DMJM HARRIS,no,,4
TENNESSEE,2006,DRD MANAGEMENT INC,yes,,1
TENNESSEE,2006,DUKE ENERGY,yes,MISCELLANEOUS ENERGY,1
TENNESSEE,2006,"E & I COOPERATIVE SERVICE, INC",no,,1
TENNESSEE,2006,E I DU PONT DE NEMOURS & CO,yes,CHEMICAL & RELATED MANUFACTURING,1
TENNESSEE,2006,EAST TENNESSEE HISTORICAL SOCIETY,no,,1
TENNESSEE,2006,EASTMAN CHEMICAL,yes,CHEMICAL & RELATED MANUFACTURING,5
TENNESSEE,2006,EBAY INC,yes,,1
TENNESSEE,2006,ECKMAN FREEMAN & ASSOCIATES,no,,1
TENNESSEE,2006,ELECTION SYSTEMS & SOFTWARE,no,,1
TENNESSEE,2006,ELECTION SYSTEMS & SOFTWARE,yes,COMPUTER EQUIPMENT & SERVICES,1
TENNESSEE,2006,ELECTIONS SYSTEMS & SOFTWARE,no,,1
TENNESSEE,2006,ELECTRIC POWER BOARD OF CHATTANOOGA,no,,3
TENNESSEE,2006,ELECTRICAL INSPECTORS ASSN,no,,1
TENNESSEE,2006,ELECTRONIC DATA SYSTEMS,yes,COMPUTER EQUIPMENT & SERVICES,2
TENNESSEE,2006,ELI LILLY & CO,yes,PHARMACEUTICALS & HEALTH PRODUCTS,6
TENNESSEE,2006,EMBARQ CORP,yes,TELECOM SERVICES & EQUIPMENT,2
TENNESSEE,2006,"EMPLOYED), HAROLD S RUNSVOLD JR (SELF",no,,1
