State,Year,Name,Active,Industry,Number of Lobbyists
UTAH,2005,1-800 CONTACTS,yes,HEALTH SERVICES,1
UTAH,2005,24 HOUR FITNESS,yes,MISCELLANEOUS SERVICES,1
UTAH,2005,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,2
UTAH,2005,4-LIFE,no,,1
UTAH,2005,7-ELEVEN,yes,OIL & GAS,3
UTAH,2005,AAA UTAH,no,,1
UTAH,2005,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
UTAH,2005,ACLU OF UTAH,no,OTHER/SINGLE ISSUE GROUPS,1
UTAH,2005,AFT-UTAH,yes,,1
UTAH,2005,AFT-UTAH,no,,1
UTAH,2005,ALLIANCE DATA SYSTEMS,yes,BUSINESS SERVICES,3
UTAH,2005,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
UTAH,2005,ALLIANZ LIFE INSURANCE CO,yes,INSURANCE,1
UTAH,2005,AMDR,no,,1
UTAH,2005,AMERICAN ASSOCIATION FOR RETIRED PERSONS,no,,1
UTAH,2005,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,1
UTAH,2005,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",1
UTAH,2005,AMERICAN LEGION,no,,1
UTAH,2005,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
UTAH,2005,AMERICAN MANAGEMENT SYSTEMS,yes,BUSINESS SERVICES,2
UTAH,2005,AMERICAN PACIFIC CORPORATION,yes,,2
UTAH,2005,AMERICAN PACIFIC CORPORATION,no,,1
UTAH,2005,AMERITRADE HOLDING CORPORATION,no,,3
UTAH,2005,AMGEN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
UTAH,2005,AMTA UTAH CHAPTER,no,,1
UTAH,2005,ASSOCIATED BUILDERS & CONTRACTORS UNIDENTIFIED,yes,GENERAL CONTRACTORS,1
UTAH,2005,ASSOCIATED GENERAL CONTRACTORS / UT,no,,1
UTAH,2005,ASSOCIATION FOR UTAH COMMUNITY HEALTH,no,,1
UTAH,2005,AT&T,yes,TELECOM SERVICES & EQUIPMENT,2
UTAH,2005,ATK,yes,,1
UTAH,2005,ATLANTIC RICHFIELD COMPANY,no,OIL & GAS,1
UTAH,2005,ATTORNEYS TITLE GUARANTY FUND,no,,1
UTAH,2005,ATTORNEYS TITLE QUARANTY FUND,no,,1
UTAH,2005,AVALON HEALTH CARE INC,yes,,1
UTAH,2005,BALLARD SPAHR ANDREWS & INGERSOLL,yes,LAWYERS & LOBBYISTS,1
UTAH,2005,BANK OF AMERICA,yes,COMMERCIAL BANKS,3
UTAH,2005,BANK OF UTAH,yes,COMMERCIAL BANKS,3
UTAH,2005,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
UTAH,2005,BENEFICIAL LIFE INSURANCE COMPANY,no,,1
UTAH,2005,BENNETT & DELONEY,yes,,1
UTAH,2005,BILL BARRETT CORP,yes,OIL & GAS,1
UTAH,2005,BNSF RAILWAY,yes,RAILROADS,1
UTAH,2005,BOX ELDER COUNTY / RDA,no,,2
UTAH,2005,BOYS & GIRLS CLUBS ALLIANCE OF UTAH,no,,1
UTAH,2005,BP NORTH AMERICA,yes,OIL & GAS,1
UTAH,2005,BRIDGERLAND AREA VOC CENTER,no,,2
UTAH,2005,BRUSH RESOURCES INC,no,,2
UTAH,2005,CAA,no,,1
UTAH,2005,CALIFORNIA STATE AUTOMOBILE ASSOCIATION,yes,INSURANCE,1
UTAH,2005,CALPINE CORP,yes,ELECTRIC UTILITIES,1
UTAH,2005,"CAPITAL SOURCE, INC",no,,3
UTAH,2005,CAPITAL STRATEGIES GROUP LLC,no,,1
UTAH,2005,CAPSTONE STRATEGIES,yes,,2
UTAH,2005,CAPSTONE STRATEGIES LLC,no,,1
UTAH,2005,CASH AMERICA INTERNATIONAL,yes,PAYDAY/TITLE LOANS,2
UTAH,2005,CENDANT,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",3
UTAH,2005,CENTENNIAL BANK,no,,3
UTAH,2005,CHEVRON CORP,yes,OIL & GAS,1
UTAH,2005,CIGAR ASSOCIATION OF AMERICA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,2
UTAH,2005,CINGULAR WIRELESS,yes,TELECOM SERVICES & EQUIPMENT,1
UTAH,2005,CIRCLE FOUR GROUP,no,,1
UTAH,2005,CITIGROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",3
UTAH,2005,CITY OF HOLLADAY,no,,2
UTAH,2005,CITY OF SOUTH JORDAN,no,,2
UTAH,2005,CJD & ASSOCIATES,no,,1
UTAH,2005,CLARIA CORPORATION,no,,1
UTAH,2005,"CLAYTON, FRYS ELECTRONICS C / O DAVID L FREY, ESP FOLEY, MCINTOSH, FREY",no,,1
UTAH,2005,"CLAYTON, FRYS ELECTRONICS C / O DAVID L FREY, ESQ-FOLEY, MCINTOSH, FREY",no,,2
UTAH,2005,COALITION FOR A STRONG UTAH ECONOMY,no,,3
UTAH,2005,COALITION FOR PHYSICIAN & PATIENTS RIGHTS,no,,1
UTAH,2005,COALITION FOR PHYSICIANS & PATIENT RIGHTS,no,,1
UTAH,2005,COMCAST,yes,TELECOM SERVICES & EQUIPMENT,1
UTAH,2005,COMMUNITY EDUCATION CENTER,yes,,2
UTAH,2005,CONCERNED CITIZENS FOR SAFETY IN HOLLADAY,no,,1
UTAH,2005,CONOCOPHILLIPS,yes,OIL & GAS,1
UTAH,2005,CONSOLIDATED SEVIER BRIDGE WATER USERS,no,,1
UTAH,2005,CONSTRUCTION INDUSTRY COUNCIL,yes,GENERAL CONTRACTORS,2
UTAH,2005,CONSUMER DATA INDUSTRY ASSOCIATION,yes,,1
UTAH,2005,CORNER STONE NUTRITIONAL LABS,no,,1
UTAH,2005,CORPORATION OF THE PRESIDENT OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS,no,,2
UTAH,2005,COSMETOLOGY SCHOOLS ASSOCIATION,no,,1
UTAH,2005,COTTONWOOD HEIGHTS CITY,no,,1
UTAH,2005,COUNCIL FOR SOUND TAX POLICY,yes,TAX ISSUES,2
UTAH,2005,CR GROUP,no,,1
UTAH,2005,"CRAIG MOODY, MOODY & ASSOCIATES",no,,1
UTAH,2005,CREATERRA,no,,1
UTAH,2005,CROSS CREEK PROGRAMS,no,,1
UTAH,2005,"DAHL, BEN",no,,1
UTAH,2005,DATAMARK INC,no,,1
UTAH,2005,DAVE NICPONSKI & ASSOCIATES,yes,,1
UTAH,2005,DAVID DUNKLEY / QUIK PAY DAY,no,,2
UTAH,2005,"DAVID DUNKLEY, QUIK CHECK",no,,3
UTAH,2005,"DAVID DUNKLEY, QUIK PAY DAY",no,,1
UTAH,2005,DAVIS COUNTY COMMISSION,no,,1
UTAH,2005,DAVIS EDUCATION ASSOCIATION,yes,PUBLIC SECTOR UNIONS,2
UTAH,2005,DEHART & DARR ASSOCIATES,no,,1
UTAH,2005,DELTA AIR LINES,yes,AIR TRANSPORT,5
UTAH,2005,DESERET NEWS,no,,1
UTAH,2005,DESERT POWER LP,no,,2
UTAH,2005,"DESERT POWER, LP",no,,1
UTAH,2005,"DIANNA, DGAN A I G",no,,1
UTAH,2005,DIRECT MARKETING ASSOCIATION,yes,BUSINESS SERVICES,1
UTAH,2005,DISCOVERY CENTER,no,,2
UTAH,2005,DOLLAR FINANCIAL GROUP,yes,PAYDAY/TITLE LOANS,3
UTAH,2005,DRIVESAFETY INC,no,,1
UTAH,2005,DYNAMIC CITY,yes,,2
UTAH,2005,ELI LILLY & CO,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
UTAH,2005,EMERY TELECOM,no,,1
UTAH,2005,EMIA,no,,1
UTAH,2005,EMPLOYERS INSURANCE CO OF NEVADA,yes,INSURANCE,2
UTAH,2005,ENSIGN-BICKFORD COMPANY,no,,1
UTAH,2005,ENVIROCARE OF UTAH,yes,WASTE MANAGEMENT,4
UTAH,2005,EQUALITY UTAH,yes,GAY/LESBIAN RIGHTS & ISSUES,1
UTAH,2005,EVVIA ENTERPRISES INC,no,,1
UTAH,2005,EXORO GROUP,yes,LAWYERS & LOBBYISTS,1
UTAH,2005,EXXON MOBIL,yes,OIL & GAS,1
UTAH,2005,FIRST ELECTRONIC BANK C / O LOUIS H CALLISTER ESQ,no,,1
UTAH,2005,"FIRST ELECTRONIC BANK, C / O LOUIS H CALLISTER, ESP",no,,2
UTAH,2005,FLYING J INC,yes,,3
UTAH,2005,FORD MOTOR CO,yes,AUTOMOTIVE,1
UTAH,2005,FRANKLIN TEMPLETON BANK & TRUST FSB,no,,3
UTAH,2005,GABLES HOMEOWNERS ASSOCIATION,no,,1
UTAH,2005,GENERAL ELECTRIC FEDERAL SAVINGS BANK,no,,1
UTAH,2005,GENERAL MOTORS,yes,AUTOMOTIVE,2
UTAH,2005,"GLOBAL WATER MANAGEMENT, LLC",no,,1
UTAH,2005,GOLD CROSS SERVICES,yes,HEALTH SERVICES,1
UTAH,2005,GOLDMAN SACHS,yes,SECURITIES & INVESTMENT,3
UTAH,2005,GOOGLE,yes,COMPUTER EQUIPMENT & SERVICES,2
UTAH,2005,GREAT SALT LAKE MINERALS CORP,yes,CHEMICAL & RELATED MANUFACTURING,1
UTAH,2005,GREEN BUILDING INITIATIVE,no,,1
UTAH,2005,HEAL UTAH-HEALTHY ENCIRONMENT ALLIANCE,no,,1
UTAH,2005,HIRE CALLING PUBLIC AFFAIRS,yes,LAWYERS & LOBBYISTS,1
UTAH,2005,HNTB CORP,yes,CONSTRUCTION SERVICES,1
UTAH,2005,HOLCIM INC,no,,2
UTAH,2005,HOLCIM INC,yes,,1
UTAH,2005,HOLLAND & HART,yes,LAWYERS & LOBBYISTS,1
UTAH,2005,HOLME ROBERTS & OWEN,yes,LAWYERS & LOBBYISTS,3
UTAH,2005,HRL SERVICE CORPORATION,no,,2
UTAH,2005,HUNTINGTON-CLEVELAND IRRIGATION CO / DENNIS WARD,no,,1
UTAH,2005,IC GROUP,yes,,1
UTAH,2005,IHC HEALTH PLANS,yes,INSURANCE,2
UTAH,2005,IMERGENT INC,yes,,1
UTAH,2005,INSURE-RITE,yes,INSURANCE,2
UTAH,2005,INSURE-RITE INC,yes,,1
UTAH,2005,INTEL CORP,yes,COMPUTER EQUIPMENT & SERVICES,1
UTAH,2005,INTERMOUNTAIN HEALTH CARE OF UTAH,no,,8
UTAH,2005,INTERMOUNTAIN POWER AGENCY,yes,MISCELLANEOUS ENERGY,4
UTAH,2005,INTERNATIONAL URANIUM CORP (IUC),no,,1
UTAH,2005,JUST EMISSIONS & INSPECTION,no,,1
UTAH,2005,KENNECOTT LAND,no,,1
UTAH,2005,KENNECOTT LAND COMPANY,no,,1
UTAH,2005,KERN RIVER GAS TRANSMISSION CORP,no,,2
UTAH,2005,KERN RIVER GAS TRANSMISSION CORP,no,,1
UTAH,2005,KINGSLEY MANAGEMENT CORPORATION,no,,1
