State,Year,Name,Active,Industry,Number of Lobbyists
VERMONT,2007,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
VERMONT,2007,AAA NORTHERN NEW ENGLAND,no,,2
VERMONT,2007,AARP,yes,ELDERLY/SOCIAL SECURITY,2
VERMONT,2007,ACADIA INSURANCE COMPANY,no,,1
VERMONT,2007,ACLU OF VERMONT,no,OTHER/SINGLE ISSUE GROUPS,1
VERMONT,2007,ACT INC,yes,REAL ESTATE,1
VERMONT,2007,AFSCME COUNCIL 93,yes,PUBLIC SECTOR UNIONS,1
VERMONT,2007,AGRI-SERVICES AGENCIES,no,,1
VERMONT,2007,AIV INSURANCE SERVICES,no,,2
VERMONT,2007,ALLIANCE FOR MARRIAGE FOUNDATION,yes,,1
VERMONT,2007,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,3
VERMONT,2007,AMALGAMATED LITHOGRAPHERS OF AMERICA LOCAL 1,yes,GENERAL TRADE UNIONS,1
VERMONT,2007,AMERICAN ACADEMY OF OPHTHALMOLOGY,yes,HEALTH PROFESSIONALS,1
VERMONT,2007,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,5
VERMONT,2007,AMERICAN CHEMISTRY COUNCIL,yes,CHEMICAL & RELATED MANUFACTURING,3
VERMONT,2007,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,6
VERMONT,2007,AMERICAN DENTAL ASSOCIATION C / O KSE,no,,4
VERMONT,2007,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",6
VERMONT,2007,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,5
VERMONT,2007,AMERICAN FOREST & PAPER ASSOCIATION,yes,FORESTRY & FOREST PRODUCTS,3
VERMONT,2007,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
VERMONT,2007,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
VERMONT,2007,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",5
VERMONT,2007,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
VERMONT,2007,AMERICANS FOR DRUG FREE YOUTH,no,,1
VERMONT,2007,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,5
VERMONT,2007,AMERIHEALTH MERCY,yes,HEALTH SERVICES,1
VERMONT,2007,AMGEN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
VERMONT,2007,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
VERMONT,2007,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",4
VERMONT,2007,APPLE INC,yes,COMPUTER EQUIPMENT & SERVICES,3
VERMONT,2007,APS HEALTHCARE,yes,HOSPITALS & NURSING HOMES,3
VERMONT,2007,ASSOCIATED GENERAL CONTRACTORS,yes,,1
VERMONT,2007,ASSOCIATED GENERAL CONTRACTORS OF VERMONT,yes,GENERAL CONTRACTORS,1
VERMONT,2007,ASSOCIATED INDUSTRIES OF VERMONT,yes,BUSINESS ASSOCIATIONS,2
VERMONT,2007,ASSOCIATED PETROLEUM INDUSTRIES,yes,OIL & GAS,1
VERMONT,2007,ASSOCIATION OF VERMONT CREDIT UNIONS,yes,CREDIT UNIONS,5
VERMONT,2007,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,6
VERMONT,2007,AT&T,yes,TELECOM SERVICES & EQUIPMENT,5
VERMONT,2007,"BARTON VILLAGE, INC ELECTRIC DEPT",no,,7
VERMONT,2007,BAYER AG,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
VERMONT,2007,BEVERAGE ASSOCIATION OF VERMONT,yes,FOOD & BEVERAGE,5
VERMONT,2007,BI-STATE PRIMARY CARE ASSOCIATION,yes,HEALTH SERVICES,2
VERMONT,2007,BIOTECHNOLOGY INDUSTRY ORGANIZATION,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
VERMONT,2007,BLUE CROSS & BLUE SHIELD OF VERMONT,no,,8
VERMONT,2007,BOEHRINGER INGELHEIM PHARMACEUTICALS INC,no,,1
VERMONT,2007,BOYS & GIRLS CLUBS OF AMERICA,no,NONPROFIT INSTITUTIONS,5
VERMONT,2007,BRADLEY R TALBOTT DBA THE VLPA,no,,1
VERMONT,2007,BRISTOL-MYERS SQUIBB,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
VERMONT,2007,BUSINESS RESOURCE SERVICES,yes,INSURANCE,6
VERMONT,2007,"CABOT CREAMERY COOPERATIVE, INC C / O KIMBELL",no,,4
VERMONT,2007,CAREMARK RX INC,yes,,2
VERMONT,2007,CASELLA WASTE SYSTEMS,yes,WASTE MANAGEMENT,4
