State,Year,Name,Active,Industry,Number of Lobbyists
VIRGINIA,2002,"623 LANDFILL, INC",no,,2
VIRGINIA,2002,7-ELEVEN,yes,OIL & GAS,1
VIRGINIA,2002,AAA MID-ATLANTIC,yes,INSURANCE,5
VIRGINIA,2002,"ABATE OF VIRGINIA, INC.",yes,,1
VIRGINIA,2002,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,6
VIRGINIA,2002,ACLU OF VIRGINIA,no,OTHER/SINGLE ISSUE GROUPS,1
VIRGINIA,2002,ACROS LLC,no,,6
VIRGINIA,2002,ACTION ALLIANCE FOR VIRGINIA'S CHILDREN & YOUTH,no,,3
VIRGINIA,2002,ACUPUNCTURE SOCIETY OF VIRGINIA,no,,1
VIRGINIA,2002,ADVANCE AMERICA CASH ADVANCE CENTERS,yes,PAYDAY/TITLE LOANS,2
VIRGINIA,2002,ALBEMARLE / CHARLOTTESVILLE REGIONAL JAIL AUTHORITY,no,,1
VIRGINIA,2002,ALEXANDRIA PUBLIC SCHOOLS,no,,1
VIRGINIA,2002,ALLEGHENY ENERGY INC,yes,,1
VIRGINIA,2002,ALLIANCE FOR LOWER ELECTRICITY RATES TODAY (ALERT),no,,2
VIRGINIA,2002,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
VIRGINIA,2002,ALLTEL COMMUNICATIONS INC,no,,1
VIRGINIA,2002,ALTRIA,yes,TOBACCO COMPANIES & TOBACCO PRODUCT SALES,6
VIRGINIA,2002,"ALZHEIMER'S ASSOC., NATIONAL CAPITAL AREA CHAPTER",no,,1
VIRGINIA,2002,ALZHEIMER'S ASSOCIATION-SOUTHEASTERN VA CHAPTER,no,,1
VIRGINIA,2002,"AMERICAN ACADEMY OF PEDIATRICS, VA CHAPTER",no,,1
VIRGINIA,2002,"AMERICAN CADASTRE, INC.",no,,1
VIRGINIA,2002,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,6
VIRGINIA,2002,AMERICAN CHEMISTRY COUNCIL,yes,CHEMICAL & RELATED MANUFACTURING,2
VIRGINIA,2002,"AMERICAN COLLEGE OF NURSE MIDWIVES, VA CHAPTER",no,,2
VIRGINIA,2002,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF VA,no,,3
VIRGINIA,2002,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,2
VIRGINIA,2002,AMERICAN ELECTRIC POWER,yes,ELECTRIC UTILITIES,6
VIRGINIA,2002,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
VIRGINIA,2002,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
VIRGINIA,2002,AMERICAN INSTITUTE OF ARCHITECTS VIRGINIA,yes,CONSTRUCTION SERVICES,4
VIRGINIA,2002,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,4
VIRGINIA,2002,AMERICAN JEWISH COMMITTEE,no,,1
VIRGINIA,2002,AMERICAN LUNG ASSOC OF VA,no,,4
VIRGINIA,2002,AMERICAN MAGLEV TECHNOLOGY INC,yes,,1
VIRGINIA,2002,AMERICAN NATIONAL LAWYERS INSURANCE RECIPROCAL,no,,1
VIRGINIA,2002,AMERICAN PLASTICS COUNCIL,yes,CHEMICAL & RELATED MANUFACTURING,2
VIRGINIA,2002,AMERICAN RED CROSS,yes,OTHER/SINGLE ISSUE GROUPS,1
VIRGINIA,2002,AMERICAN TRUCKING ASSOCIATION,yes,TRUCKING,8
VIRGINIA,2002,AN ACHIEVABLE DREAM INC,no,,2
VIRGINIA,2002,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",4
VIRGINIA,2002,ANTHEM INC,yes,INSURANCE,7
VIRGINIA,2002,APA LLC,yes,,1
VIRGINIA,2002,APARTMENT & OFFICE BUILDING ASSOC OF METROPOLITAN WASHINGTON,no,,3
VIRGINIA,2002,APOLLO GROUP,yes,EDUCATION,3
VIRGINIA,2002,ARAMARK CORP,yes,MISCELLANEOUS SERVICES,2
VIRGINIA,2002,ARLINGTON COUNTY GOVERNMENT,yes,,2
VIRGINIA,2002,ARLINGTON PUBLIC SCHOOLS,no,,1
VIRGINIA,2002,ASSOC OF INDEPENDENT FUNERAL HOMES OF VA,no,,5
VIRGINIA,2002,ASSOCIATED BUILDERS & CONTRACTORS VIRGINIA CHAPTER,yes,,1
VIRGINIA,2002,ASSOCIATED DISTRIBUTORS,yes,"BEER, WINE & LIQUOR",1
VIRGINIA,2002,ASSOCIATED GENERAL CONTRACTORS OF VA INC,yes,,4
VIRGINIA,2002,ASSOCIATED PETROLEUM INDUSTRIES,yes,OIL & GAS,1
VIRGINIA,2002,AT&T,yes,TELECOM SERVICES & EQUIPMENT,6
