State,Year,Name,Active,Industry,Number of Lobbyists
WEST VIRGINIA,2005,1-800 CONTACTS,yes,HEALTH SERVICES,1
WEST VIRGINIA,2005,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
WEST VIRGINIA,2005,705-FIVE DEVELOPMENT GROUP LLC,no,,1
WEST VIRGINIA,2005,AARP,yes,ELDERLY/SOCIAL SECURITY,2
WEST VIRGINIA,2005,ACADEMY FAMILY PHYSICIANS / WV,no,,1
WEST VIRGINIA,2005,ACEC / WV [ENGINEERING],no,,1
WEST VIRGINIA,2005,ACHIEVEMENT TECHNOLOGIES,yes,EDUCATION,1
WEST VIRGINIA,2005,ACLU OF WEST VIRGINIA,no,OTHER/SINGLE ISSUE GROUPS,2
WEST VIRGINIA,2005,ACORDIA,no,,4
WEST VIRGINIA,2005,ACORDIA EMPLOYERS SERVICE,no,,1
WEST VIRGINIA,2005,ACS GOVERNMENT SYSTEMS,no,,2
WEST VIRGINIA,2005,AEP WHEELING POWER CO,no,,1
WEST VIRGINIA,2005,AFFILIATED CONSTRUCTION TRADES,no,,1
WEST VIRGINIA,2005,AFSCME COUNCIL 77,yes,PUBLIC SECTOR UNIONS,2
WEST VIRGINIA,2005,AFSCME RETIREE CHAPTER 77,no,,1
WEST VIRGINIA,2005,AIG,no,,2
WEST VIRGINIA,2005,AIG-VALIC (VARIABLE LIFE ANNUITY),no,,2
WEST VIRGINIA,2005,AIRPORT AUTHORITY / CENT WV REGION,no,,1
WEST VIRGINIA,2005,ALCOHOL & DRUG ABUSE CNSLRS / WV,no,,2
WEST VIRGINIA,2005,ALLEGHENY ENERGY,yes,ELECTRIC UTILITIES,3
WEST VIRGINIA,2005,ALLEGHENY INSURANCE SERVICES INC,no,,1
WEST VIRGINIA,2005,ALLEGHENY WOOD PRODUCTS INC,no,,1
WEST VIRGINIA,2005,ALLIANCE COAL,yes,MINING,1
WEST VIRGINIA,2005,ALLIANCE FOR CHILDREN INC,no,,2
WEST VIRGINIA,2005,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
WEST VIRGINIA,2005,ALLIANCE RESOURCE PARTNERS L P,no,,2
WEST VIRGINIA,2005,ALLSTATE INSURANCE,yes,INSURANCE,2
WEST VIRGINIA,2005,ALLTEL COMMUNICATIONS,yes,TELECOM SERVICES & EQUIPMENT,1
WEST VIRGINIA,2005,ALZHEIMERS ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
WEST VIRGINIA,2005,AMER ASSOC MARRIAGE & FAMILY THERA,no,,1
WEST VIRGINIA,2005,AMER PETROLEUM INSTITUTE,no,,1
WEST VIRGINIA,2005,AMERICAN ASSOCIATION OF PUBLISHERS,yes,PRINTING & PUBLISHING,1
WEST VIRGINIA,2005,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,3
WEST VIRGINIA,2005,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
WEST VIRGINIA,2005,AMERICAN ELECTRIC POWER,yes,ELECTRIC UTILITIES,6
WEST VIRGINIA,2005,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",2
WEST VIRGINIA,2005,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,3
WEST VIRGINIA,2005,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
WEST VIRGINIA,2005,AMERICAN INSTITUTE OF ARCHITECTS,yes,CONSTRUCTION SERVICES,2
WEST VIRGINIA,2005,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
WEST VIRGINIA,2005,AMERICAN LUNG ASSOCIATION OF WV,no,,1
WEST VIRGINIA,2005,AMERICAN MASSAGE THERAPY ASSN / WV,no,,1
WEST VIRGINIA,2005,AMERICAN PUBLIC UNIVERSITY SYSTEM,no,,1
WEST VIRGINIA,2005,AMERICAS HEALTH INCURANCE PLAN,no,,1
