State,Year,Name,Active,Industry,Number of Lobbyists
WISCONSIN,2006,1000 FRIENDS OF WISCONSIN,no,PRO-ENVIRONMENTAL POLICY,3
WISCONSIN,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,6
WISCONSIN,2006,AAA WISCONSIN,no,INSURANCE,1
WISCONSIN,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,3
WISCONSIN,2006,ABBOTT LABORATORIES,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
WISCONSIN,2006,ACADEMIC STAFF PUBLIC REPRESENTATION ORGANIZATION (ASPRO),no,,2
WISCONSIN,2006,ACC CAPITAL HOLDINGS,no,,2
WISCONSIN,2006,ACCENTURE,yes,BUSINESS SERVICES,2
WISCONSIN,2006,ACLU OF WISCONSIN,yes,OTHER/SINGLE ISSUE GROUPS,1
WISCONSIN,2006,ACTION WISCONSIN,yes,GAY/LESBIAN RIGHTS & ISSUES,1
WISCONSIN,2006,AFFILIATED COMPUTER SERVICES,yes,COMPUTER EQUIPMENT & SERVICES,1
WISCONSIN,2006,AFFINITY HEALTH SYSTEM,no,,1
WISCONSIN,2006,AFSCME COUNCIL 11,yes,,3
WISCONSIN,2006,AFSCME COUNCIL 48,no,,1
WISCONSIN,2006,AFSCME UNIDENTIFIED,yes,PUBLIC SECTOR UNIONS,1
WISCONSIN,2006,AFSCME WISCONSIN,yes,PUBLIC SECTOR UNIONS,3
WISCONSIN,2006,AGGREGATE PRODUCERS OF WISCONSIN,yes,BUILDING MATERIALS & EQUIPMENT,2
WISCONSIN,2006,AIDS RESOURCE CENTER OF WISCONSIN,no,HEALTH SERVICES,3
WISCONSIN,2006,AIR WISCONSIN AIRLINES CORPORATION,no,,2
WISCONSIN,2006,ALEXANDER COMPANY INC,no,,1
WISCONSIN,2006,ALL SAINTS HEALTHCARE,no,,1
WISCONSIN,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,2
WISCONSIN,2006,ALLIANT ENERGY,yes,ELECTRIC UTILITIES,3
WISCONSIN,2006,ALLIED HEALTH OF WISCONSIN SC,no,,1
WISCONSIN,2006,ALZHEIMERS ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
WISCONSIN,2006,AMALGAMATED TRANSIT UNION LOCAL 998,yes,TRANSPORTATION UNIONS,1
WISCONSIN,2006,AMERICAN ASSOCIATION OF NEUROMUSCULAR & ELECTRODIAGNOSTIC MEDICINE,no,,1
WISCONSIN,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,8
WISCONSIN,2006,AMERICAN CHEMISTRY COUNCIL,yes,CHEMICAL & RELATED MANUFACTURING,3
WISCONSIN,2006,AMERICAN COLLEGE OF NURSE-MIDWIVES (WI CHAPTER),no,,1
WISCONSIN,2006,AMERICAN COUNCIL OF ENGINEERING COMPANIES OF WISCONSIN,yes,CONSTRUCTION SERVICES,3
WISCONSIN,2006,AMERICAN COUNCIL ON REGULATORY COMPLIANCE (ACRC),no,,1
WISCONSIN,2006,AMERICAN EXPRESS,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",2
WISCONSIN,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,4
WISCONSIN,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,3
WISCONSIN,2006,AMERICAN INTERNATIONAL GROUP,yes,"MISCELLANEOUS FINANCE, INSURANCE & REAL ESTATE",2
WISCONSIN,2006,AMERICAN LUNG ASSOCIATION,yes,HEALTH & WELFARE POLICY,2
WISCONSIN,2006,AMERICAN MEDICAL SECURITY FROM PACIFICARE (FORMERLY AMERICAN MEDICAL SECUR,no,,1
WISCONSIN,2006,AMERICAN ONLINE INC,no,,2
WISCONSIN,2006,AMERICAN RED CROSS,yes,OTHER/SINGLE ISSUE GROUPS,2
WISCONSIN,2006,AMERICAN RESORT DEVELOPMENT ASSOCIATION,yes,LODGING & TOURISM,3
WISCONSIN,2006,AMERICAN SUBCONTRACTORS ASSOCIATION OF GREATER MILWAUKEE,no,,1
WISCONSIN,2006,AMERICAN TISSUE SERVICE FOUNDATION,no,,1
WISCONSIN,2006,AMERICAN TISSUE SERVICES FOUNDATION,no,,3
WISCONSIN,2006,AMERICAN TRANSMISSION CO,yes,MISCELLANEOUS ENERGY,3
WISCONSIN,2006,AMERICANS FOR PROSPERITY,yes,CONSERVATIVE POLICY ORGANIZATION,3
WISCONSIN,2006,AMERICAS HEALTH INSURANCE PLANS,yes,INSURANCE,3
WISCONSIN,2006,AMGEN,yes,PHARMACEUTICALS & HEALTH PRODUCTS,1
WISCONSIN,2006,AMYLIN PHARMACEUTICALS,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
WISCONSIN,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",4
WISCONSIN,2006,ANVAN DEVELOPMENT CORPORATION,no,,1
WISCONSIN,2006,APARTMENT ASSOCIATION OF SOUTHEASTERN WISCONSIN,no,REAL ESTATE,2
WISCONSIN,2006,APPLE INC,yes,COMPUTER EQUIPMENT & SERVICES,4
WISCONSIN,2006,AQUATIC ALLIANCE,no,,1
WISCONSIN,2006,ARC-WISCONSIN DISABILITY ASSOCIATION THE,no,,1
WISCONSIN,2006,ARJO WIGGINS APPLETON LIMITED,no,,11
WISCONSIN,2006,ARJO WISCONSIN APPLETON LIMITED,no,,1
WISCONSIN,2006,ASHLEY FURNITURE INDUSTRIES INC,no,,1
WISCONSIN,2006,ASSN OF HEALTH INFORMATION OUTSOURCING SERVICES,no,,2
WISCONSIN,2006,ASSOCIATED BUILDERS & CONTRACTORS OF WISCONSIN,yes,GENERAL CONTRACTORS,3
