State,Year,Name,Active,Industry,Number of Lobbyists
WYOMING,2006,3M CO,yes,MISCELLANEOUS MANUFACTURING & DISTRIBUTING,1
WYOMING,2006,AAA-MOUNTAIN WEST,no,,1
WYOMING,2006,AARP,yes,ELDERLY/SOCIAL SECURITY,11
WYOMING,2006,ABATE OF CHEYENNE,no,,1
WYOMING,2006,ACEC OF WYOMING,no,,2
WYOMING,2006,ACLU OF WYOMING,no,OTHER/SINGLE ISSUE GROUPS,1
WYOMING,2006,ACMS / LLC,no,,1
WYOMING,2006,ACMS LLC,no,,1
WYOMING,2006,AIG INSURANCE,no,,1
WYOMING,2006,ALLIANCE FOR MARRIAGE FOUNDATION,yes,,1
WYOMING,2006,ALLIANCE OF AUTOMOBILE MANUFACTURERS,yes,AUTOMOTIVE,1
WYOMING,2006,ALLTEL COMMUNICATIONS,yes,TELECOM SERVICES & EQUIPMENT,1
WYOMING,2006,AMERICAN CANCER SOCIETY,yes,HEALTH & WELFARE POLICY,3
WYOMING,2006,AMERICAN CIVIL LIBERTIES UNION / ACLU,yes,OTHER/SINGLE ISSUE GROUPS,1
WYOMING,2006,AMERICAN COUNCIL OF LIFE INSURERS,yes,INSURANCE,1
WYOMING,2006,AMERICAN FAMILY LIFE ASSURANCE CO / AFLAC,yes,INSURANCE,1
WYOMING,2006,AMERICAN HEART ASSOCIATION,yes,HEALTH & WELFARE POLICY,1
WYOMING,2006,AMERICAN INSURANCE ASSOCIATION,yes,INSURANCE,1
WYOMING,2006,"AMERICAN NORTEL COMMUNICATIONS, INC",no,,1
WYOMING,2006,AMERICAN TORT REFORM ASSOCIATION,yes,,1
WYOMING,2006,AMIP,no,,2
WYOMING,2006,ANADARKO PETROLEUM,yes,OIL & GAS,1
WYOMING,2006,ANHEUSER-BUSCH,yes,"BEER, WINE & LIQUOR",1
WYOMING,2006,APPLE INC,yes,COMPUTER EQUIPMENT & SERVICES,1
WYOMING,2006,APS HEALTHCARE,yes,HEALTH SERVICES,1
WYOMING,2006,ASSOCIATED BUILDERS & CONTRACTORS OF WYOMING,yes,,1
WYOMING,2006,ASSOCIATED GENERAL CONTRACTORS OF WYOMING,yes,GENERAL CONTRACTORS,4
WYOMING,2006,ASSOCIATION OF WYOMING INSURANCE AGENTS,no,,1
WYOMING,2006,ASTRAZENECA,yes,PHARMACEUTICALS & HEALTH PRODUCTS,2
WYOMING,2006,AT&T,yes,TELECOM SERVICES & EQUIPMENT,1
WYOMING,2006,"ATTENTION HOMES, INC",no,,1
