State,StateAbbr,Year,Client,Amount,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Iowa,IA,2012,3M Company,11442.0,Dan Garry,,,,,,,,,,,
Iowa,IA,2012,American Chemisty Council,3331.47,John Easter,,,,,,,,,,,
Iowa,IA,2012,American Council of Engineering Companies,0.0,David Scott,,,,,,,,,,,
Iowa,IA,2012,American Cancer Society,23000.0,PolicyWorks,Justin Hupfer,John Cacciatore,,,,,,,,,
Iowa,IA,2012,American Civil Liberties Union of IA (ACLU-IA),32553.0,Lyle Krewson,Rita Bettis,Anna Dey,Ben Stone,,,,,,,,
Iowa,IA,2012,American Coalition for Clean Coal Electricity (ACCCE),49920.0,PolicyWorks,Justin Hupfer,John Cacciatore,,,,,,,,,
Iowa,IA,2012,American Cancer Society Cancer Action Network,0.0,Cathy Callaway,,,,,,,,,,,
Iowa,IA,2012,Amco Insurance Company,0.0,0,,,,,,,,,,,
Iowa,IA,2012,Alzheimers Assn. Midlands Chapter,750.0,Clayton Freeman,,,,,,,,,,,
Iowa,IA,2012,Alzheimers Assn. Great IA Chapter,6120.0,Marian Johnsen,Carol Sipfle,Campbell/Patterson Consulting,Amy Campbell,Craig Patterson,,,,,,,
Iowa,IA,2012,Alzheimers Assn. East Central IA Chapter,0.0,Kelly Hauer,,,,,,,,,,,
Iowa,IA,2012,Altria Client Services Inc. and its Affiliates,164184.55,Richard Schwarm,Calvin Hultman,David Scott,Garth Alston,Crawford Law Firm,#NAME?,#NAME?,Jeff Richman,,,,
Iowa,IA,2012,Alter Trading Corporation,2700.0,"Eide & Heisinger, LLC",Matt Eide,John Pederson,,,,,,,,,
Iowa,IA,2012,Alter Trading Corporation,2300.0,Curtis Beason,Bob Ellis,,,,,,,,,,
Iowa,IA,2012,Allied Insurance,23000.0,Brown Winick Graves Gross,Adam Gregg,Marc Beltrame,,,,,,,,,
Iowa,IA,2012,Alliant Energy Corporation,15932.78,Terry Harrmann,Tom Aller,,,,,,,,,,
Iowa,IA,2012,Youth Homes of Mid-America,13500.0,Nyemaster Goode PC,Keith Luchtel,Paula Dierenfeld,Scott Sundstrom,Brad Epperly,,,,,,,
Iowa,IA,2012,YMCA State Alliance,7200.0,Advocacy Strategies,Kent Hartwig,Threase Harms,Jennifer Schulte,,,,,,,,
Iowa,IA,2012,YMCA State Alliance,7200.0,"Advocacy Strategies,LLC",Jennifer Schulte,Kent Hartwig,Threase Harms,,,,,,,,
Iowa,IA,2012,"Xerox Business Service, LLC and its Affiliates",15000.0,David Adelman,,,,,,,,,,,
Iowa,IA,2012,"Xerox Business Service, LLC and its Affiliates",0.0,LS2group,Chuck Larson,Susan Fenton,Andrea Jansa,,,,,,,,
Iowa,IA,2012,World Peace Organization for the One World Government,0.0,Karen Holmes,,,,,,,,,,,
Iowa,IA,2012,Woodward Academy,0.0,None,,,,,,,,,,,
Iowa,IA,2012,Windstream Communications Corporation,15000.0,"Capitol Strategies Group, Inc.",R. Scott Weiser,Daniel R. Weiser,,,,,,,,,
Iowa,IA,2012,"Wild Rose Entertainment, LLC",63375.7,F. Thornton,Ed Failor,Matthew Whitaker,Chuck Larson,,,,,,,,
Iowa,IA,2012,Wild Rose Emmetsburg LLC,0.0,F. Thornton,Matthew Whitaker,Ed Failor,,,,,,,,,
Iowa,IA,2012,Wild Rose Clinton LLC,0.0,F. Thornton,Matthew Whitaker,Ed Failor,,,,,,,,,
Iowa,IA,2012,Whirlpool,3134.0,Luke Harms,,,,,,,,,,,
Iowa,IA,2012,Western IA Tech Community College,20646.0,Dr. Terry Murrell,Julie Stoik,IACCT (Iowa Assn of Comm.,College Trustees),,,,,,,,
Iowa,IA,2012,Western Governors University,0.0,[none],,,,,,,,,,,
Iowa,IA,2012,Wells Fargo Financial,0.0,Scott Fontenot,,,,,,,,,,,
Iowa,IA,2012,Wells Fargo,39068.67,Carney Appleby Firm,Jim Carney,Jenny Tyler,George Appleby,Personal Representatives,Larry Pope,Julie Smith,Scott Fontenot,,,,
Iowa,IA,2012,"Wellmark, Inc.",126523.94,Frank J. Stork,M. Michelle Lickteig,,,,,,,,,,
Iowa,IA,2012,Weinberg Investments,14500.0,"Eide & Heisinger, LLC",Matt Eide,John Pederson,,,,,,,,,
Iowa,IA,2012,Weber Farms,750.0,Jim Obradovich,,,,,,,,,,,
Iowa,IA,2012,Water Management Consulting Group,8000.0,Dick Thornton,,,,,,,,,,,
Iowa,IA,2012,Warren County Board of Supervisors,0,nobody,,,,,,,,,,,
Iowa,IA,2012,Walter Kidde Portable Equipment Inc.,0.0,No Lobbyist activities,,,,,,,,,,,
Iowa,IA,2012,Waldorf College,0.0,"Eide & Heisinger, LLC",Matt Eide,John Pederson,,,,,,,,,
Iowa,IA,2012,"Wal-Mart Stores, Inc.",121850.14,Ryan Irsik,Sandra Jaques,Larson Shannahan Slifka Grp,Andrea Jansa,Chuck Larson,Susan Fenton,,,,,,
Iowa,IA,2012,Visiting Nurse Services of IA,20437.0,Mary O'Brien,,,,,,,,,,,
Iowa,IA,2012,VISA,1000.0,David Adelman,,,,,,,,,,,
Iowa,IA,2012,Veterans National Recovery Center,0.0,Bob Krause,,,,,,,,,,,
Iowa,IA,2012,Verizon Wireless,0.0,LS2group,Joe Shannahan,Susan Fenton,Andrea Jansa,John Flannery,,,,,,,
Iowa,IA,2012,Verizon Communications,34500.0,Craig Walter,Person Representatives,Ned Chiodo,LS2 Group,Susan Fenton,Joe Shannahan,,,,,,
Iowa,IA,2012,Verizon Communications,14300.0,craig walter,,,,,,,,,,,
Iowa,IA,2012,Veridus LLC representing Recovery Audit Specialists LLC,0.0,Michael Triplett,,,,,,,,,,,
Iowa,IA,2012,Veridus LLC representing Recovery Audit Specialists LLC,0.0,Mark Briggs,,,,,,,,,,,
Iowa,IA,2012,Veridian Credit Union,45000.0,Michael Harvey,,,,,,,,,,,
Iowa,IA,2012,Verallia,73400.0,BrownWinick,Adam Gregg,Marc Beltrame,,,,,,,,,
Iowa,IA,2012,"USDG, Inc.",40000.0,PRI/NC Consulting,Frank Chiodo,Ned Chiodo,Scott Newhard,,,,,,,,
Iowa,IA,2012,"US Assets, LLC",0.0,None,,,,,,,,,,,
Iowa,IA,2012,Urbandale-Windsor Heights Sanitary District,2500.0,Brick Gentry PC,Robert Rafferty,,,,,,,,,,
Iowa,IA,2012,Urbandale-Windsor Heights Sanitary District,2500.0,"Brick Gentry, P.C.",Robert L Rafferty,,,,,,,,,,
