Lobbyist,Client
Diane D. Alexander,AstraZeneca Pharmaceuticals LP
Marsha M. Allen,Wyoming Automobile Dealers Association
Naomi L. Allen,AARP Wyoming
Jannice E. Alvaney,
Carole S. Anderson,"The First Church of Christ, Scientist"
Lawrence Anderson,WASA
Lawrence Anderson,WBSA
Jim L. Angell,Wyoming Press Association
Alfred A. Atkins,Wyoming School Boards Association
Betty Jo Beardsley,Wyoming Public Employees Association
Michele M. Barlow,Wyoming Outdoor Council
Andrew W. Baldwin,Northern Arapaho Tribe
Arthur T. Badgett,Wyoming Assocation of Municipalities
Larry T. Atwell,Greater Cheyenne Chamber of Commerce
Erin L. Bertoli,American Heart Association
Nick J. Bettas,The Pittsburg & Midway Coal Mining
Robert B. Betts,Wyoming Community Foundation
John C. Bishop,National Electrical Conducter Assn.
Lynn Birleffi,American Health Insurance
Mike Blenkush,Powder River Energy
Leslie Blythe,PacifiCorp
Kevin D. Bohnenblust,Wyoming Association of Psychiatric
Randy A. Bolles,Devon Energy Corporation
Roger A. Bredehoft,Wyoming Game Warden's Assn.
Sharon Breitweiser,NARAL Pro-Choice Wyoming
Liz Brimmer,Jackson Hole Mountain Resourt
Liz Brimmer,
Dru D. Bower,Devon Energy Corporation
Troy J. Broussard,Wyoming State Alliance of Boys and Girls
Linda D. Burt,ACLU
Keith S. Burron,Wyoming Water Association
Brendan M. Burns,American Heart Assocation
Bruce Burkland,Wyoming Youth Service Administration
Bruce Burkland,United Steelworkers
Scott D. Brown,"MedImmune, Inc."
Renee M. Brower,Wyoming Society of CPA's
Larry D. Byrne,Devils Tower Centennial Committee
Aaron Carr,Fremont County School Distict #24
Marcille Carter,
Joshua Joel R. Carnahan,Wyoming Associated Builders
Kim Capron,Wyoming Chamber of Commerce Executives
Rita Campbell,Fremont County School District #24
Matt T. Callahan,USW
Judy Catchpole,"ACCESS Business Group, Inc."
Michael A. Ceballos,Qwest
Lynn Conzelman,Devils Tower Centennial
Gary Collins,Arapaho Alliance
Rick Clifton,Compass Point Wellness Center
Barbara A. Christensen-Boner,Novartis Pharmaceuticals
Steve Chasson,Wyoming Primary Care Assn.
Phone,Marathon Oil Company
Christopher L Chandler,Prudential Financial
Ericka S. Cook,Petroleum Association of Wyoming
Charles W. Custis,WRTA
Organization Address,Blue Cross Blue Shield of Wyoming
Steven Cranfill,"Dream Games of Arizona, Inc."
William H. Courter,McLeodUSA and its subsidaries
Becki J. Dale,Independent
Roberta M. Darnall,UW Alumni Association
Alexander K. Davison,Contact Communications
Fax,Compass Point Wellness Center
Fax,The Nature Conservancy
"Carl R. Demshar, Jr.",City of Rock Springs
James Demshar,Compass Point Wellness Center
Organization Address,BMWED
Patricia A. Dowd,Greater Yellowstone Coalition
Jody Downey,Fremont County School District #24
Organization Address,Sierra Club
W. Perry Dray,"Motion Picture Association of American, Inc."
Jonathan E. Dowing,Wyoming Contractors Association
Ogden Driskill,
Jan Drury,American Heart Association
Bernie J. Du Monthier,
Gregory C. Dyekman,Community Financial Services Association
Donn L. Edmunds,Patriots Memorial Park
Todd Ennenga,Devon Energy
Todd Ennenga,Wyoming Family Coalition
Marvin E. Emrich,Wyoming Family Coalition
Junius Elmore Jr.,WY Professional Towing Assoc
"Walter E. Eggers, III",Bresnan Communications
Brad M. Enzi,"IGC Management, Inc."
Jerry A. Erdahl,Fremont County School District #24
Ken A. Esquibel,
Joseph M. Evans,Wyoming County Commissioners Assoc.
Sami L. Falzone,Bresnan Communications
Anhtony F. Fasone,Burlington Resources Oil & Gas Co. LP
Vince Fate,Federated Firefighters of Wyoming
Teffany Fegler,Fremont County School District #24
Kim A. Floyd,Wyo. State AFL-CIO
Organization Address,Echostar
Roger C. Fransen,"Kinder Morgan, Inc."
Bobbie K. Frank,Wyoming Assn. of Conservation Districts
