State,StateAbbr,Year,Client,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Tri County Tel. Assn.,Donald C. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"UST Public Affairs, Inc.",Daniel C. Fuchs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Trucking Association,Donald B. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Kinder Morgan Inc.,Norman Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Cycle Wyoming,Elizabeth A. Brimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Qwest,Jody L. Levin,Michael A. Ceballos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Philip Morris USA Inc.by its service company,Tracy Mihas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Far West Equipment Dealers Assn.,Tom Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Youth Service Association,Bruce Burkland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,National Outdoor Leadership School,Aaron J. Bannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Solvay Minerals, Inc.",Patrick R. Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Powder River Basin Resouce Council,Norman Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,"Conwood, LP",Laurie Urbigkit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Automobile Dealers Association,Marsha M. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,WY,2006,Wyoming Community Foundation,Budd Betts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
