State,StateAbbr,Year,Client,Lobbyist1,Lobbyist2,Lobbyist3,Lobbyist4,Lobbyist5,Lobbyist6,Lobbyist7,Lobbyist8,Lobbyist9,Lobbyist10,Lobbyist11,Lobbyist12
Wyoming,WY,2013,MedImmune Inc,S Joel Hastings,,,,,,,,,,,
Wyoming,WY,2013,Encana Oil & Gas (USA) Inc,Sherrie Merrow,Wyomign Sportsmen's Alliance,,,,,,,,,,
Wyoming,WY,2013,Wyoming Primary Care Association (WYPCA),Jan Cartwright,,,,,,,,,,,
Wyoming,WY,2013,National Association of Mutual Insurance,Christian John Rataj,,,,,,,,,,,
Wyoming,WY,2013,Ciris Energy Inc,Dave Johnson,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Trout Unlimited,David P Sweet,,,,,,,,,,,
Wyoming,WY,2013,People First of Wyoming,Earl S Leighan,,,,,,,,,,,
Wyoming,WY,2013,Express Scripts Holding Co,Michelle D Mack,,,,,,,,,,,
Wyoming,WY,2013,Union Pacific Railroad,Matt E Thompson,,,,,,,,,,,
Wyoming,WY,2013,Lawyers & Advocates for Wyoming,Mark L Aronowitz,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Youth Service Association,Bruce J Burkland,,,,,,,,,,,
Wyoming,WY,2013,CSC Holdings LLC,Wyoming Peace Officers Association,,,,,,,,,,,
Wyoming,WY,2013,Republic Free choice,Tony Rose,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Outdoor Council,Richard M Garrett,,,,,,,,,,,
Wyoming,WY,2013,Constitution Party of Wyoming,Jennifer L Young,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Retired Education Personnel,Dwayne B Trembly,,,,,,,,,,,
Wyoming,WY,2013,Union Pacific,Charles Gray,,,,,,,,,,,
Wyoming,WY,2013,Equality State Policy Center,Cristina Colling,Hannah M Nerone,,,,,,,,,,
Wyoming,WY,2013,University of Wyoming,Michael A Massie,,,,,,,,,,,
Wyoming,WY,2013,Chesapeake Energy Corp,Kelsey C Campbell,,,,,,,,,,,
Wyoming,WY,2013,Jona Inc,Mary Ann Collins,,,,,,,,,,,
Wyoming,WY,2013,Petroleum Association of Wyoming,Bruce A Hinchey,James Wamsley,John T Robitaille,,,,,,,,,
Wyoming,WY,2013,Cheyenne Chamber of Commerce,Lance A Markley,,,,,,,,,,,
Wyoming,WY,2013,Human Rights Campaign,Jeran Artery,,,,,,,,,,,
Wyoming,WY,2013,Prime Therapeutics LLC,David Root,,,,,,,,,,,
Wyoming,WY,2013,Ambre Energy North America,Daniel C Cardenas,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Farm Bureau Federation,Brett R Moline,Ken Hamilton,,,,,,,,,,
Wyoming,WY,2013,Associated Builders & Contractors,Laurie Urbigkit,Michael A Moser,,,,,,,,,,
Wyoming,WY,2013,Wyoming Horse Council,Bill Gentle,,,,,,,,,,,
Wyoming,WY,2013,United Steel Workers,Matt Hamblin,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Farm Bureau,Dominique Giroux,,,,,,,,,,,
Wyoming,WY,2013,Friends of Pathways,Liz A Brimmer,,,,,,,,,,,
Wyoming,WY,2013,Weber Merritt,Norman G Kohn,,,,,,,,,,,
Wyoming,WY,2013,American Council Of Life Insurers,David D Uchner,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Association of Municipalities,Dave Johnson,John F Parr,Kevin Smith,,,,,,,,,
Wyoming,WY,2013,FML Wyoming Corp,John V Corra,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Education Association,Coleen Haines,Greg W Herold,Miles D Dahlby,Ronald P Sniffin,,,,,,,,
Wyoming,WY,2013,Fire Chiefs Association,Gerald F Munger,,,,,,,,,,,
Wyoming,WY,2013,Amreican Health Insurance Plans,Chris M Brown,,,,,,,,,,,
Wyoming,WY,2013,Federated Firefighters of Wyoming,David Root,Roger E Peterson,,,,,,,,,,
Wyoming,WY,2013,WY Health Care Association,Carolyn Paseneaux,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Trial Lawyers Association,Marcia K Shanor,Thomas B Jubin,,,,,,,,,,
Wyoming,WY,2013,University of Wyominig,Anthony Bouchard,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Rural Electric Association,Matt E Thompson,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Society of CPAs,Renee M Brower,,,,,,,,,,,
Wyoming,WY,2013,Crowley Fleck PLLP,Lynnette J Boomgaarden,,,,,,,,,,,
Wyoming,WY,2013,SAFE Project,Sara Flitner,,,,,,,,,,,
Wyoming,WY,2013,American Civil Liberties Union (ACLU),Linda D Burt,,,,,,,,,,,
Wyoming,WY,2013,Prudential Financial,Christopher L Chandler,,,,,,,,,,,
Wyoming,WY,2013,Wyoming Family Coalition,Charles Gray,,,,,,,,,,,
